step,phase,step_in_phase,dt,accept_rate,step_size,sigma_V,sigma_W
0,burn-in,1,9.078683665953577,1.0,0.011993961507782811,1.9994449587829972,2.0022677856709383
1,burn-in,2,9.331376028247178,1.0,0.0160207789071453,2.0859673370517164,1.8987107096573264
2,burn-in,3,9.529939241707325,1.0,0.022238398588592417,2.088730869854292,1.8499318738977366
3,burn-in,4,9.261978057213128,1.0,0.03135134378287501,1.889346120713412,1.6216333370315665
4,burn-in,5,9.309719311073422,1.0,0.04439398498838423,1.746069790593506,1.6658727170771577
5,burn-in,6,9.46423901990056,1.0,0.06277168951918688,1.6198805049337401,1.7879707748516722
6,burn-in,7,9.41674645151943,1.0,0.08834394510158475,1.4732579114239228,1.561858940049557
7,burn-in,8,9.585787452757359,1.0,0.12353681541806213,0.7985067489758038,0.9894611444645607
8,burn-in,9,9.370268468745053,1.0,0.12827232496737218,0.7727081510832237,1.526168480244932
9,burn-in,10,9.45409779343754,1.0,0.1766066193577247,0.5981264611571125,1.4211086347240152
10,burn-in,11,9.513911745510995,1.0,0.23324806480726554,0.8211677797567594,1.0938853665572088
11,burn-in,12,9.618393619544804,1.0,0.28688221517319057,0.6777448813489018,1.5106219345608918
12,burn-in,13,9.564874053001404,1.0,0.27856171033842475,0.9658434436297774,1.2260060747142703
13,burn-in,14,9.52441263385117,1.0,0.3735968498757957,0.8249625642351709,1.3740089910916071
14,burn-in,15,9.406528962776065,0.9333333333333333,0.027341519750513396,0.8249625642351709,1.3740089910916071
15,burn-in,16,9.475563001818955,0.9375,0.036824709011321025,0.7944631828302764,1.5066790877039347
16,burn-in,17,9.405602376908064,0.9411764705882353,0.04949824380399813,0.7266326942753965,1.339757965760604
17,burn-in,18,9.406127762049437,0.9444444444444444,0.06389534289761395,0.7119380758471272,1.657288568937159
18,burn-in,19,9.514947527088225,0.9473684210526315,0.08502760684042425,0.6260880749553235,1.0809202173535277
19,burn-in,20,9.463205697014928,0.95,0.11256405730891969,0.5853845220845576,1.6488932774476244
20,burn-in,21,9.373354847542942,0.9523809523809523,0.1482551080373657,0.7429487195830916,1.0272499331639684
21,burn-in,22,9.374587927944958,0.9545454545454546,0.1659519779107278,0.6688037735357331,1.7440093935352283
22,burn-in,23,9.373856632970273,0.9565217391304348,0.1756250587836512,0.6793676957940813,1.0174147131995044
23,burn-in,24,9.197958370670676,0.9583333333333334,0.22862041618299206,0.6795443032553832,1.5931256210255202
24,burn-in,25,9.144241068512201,0.96,0.24571932603815638,0.9603849404270126,1.3364909639047107
25,burn-in,26,9.170622966252267,0.9615384615384616,0.31740495904804356,0.7284159096980055,1.6361823838114447
26,burn-in,27,9.252910205163062,0.9629629629629629,0.4081716669695422,0.9094477991977378,1.23547860388056
27,burn-in,28,9.168818889185786,0.9285714285714286,0.04001381159586271,0.9094477991977378,1.23547860388056
28,burn-in,29,9.124836659990251,0.9310344827586207,0.05195164211193037,0.9671393450497645,1.2021211821178972
29,burn-in,30,9.247088643722236,0.9333333333333333,0.06556505804366859,0.967251614944415,1.4426049481820904
30,burn-in,31,9.182363653555512,0.9354838709677419,0.08469887381491764,0.687465287023784,1.4457034852914237
31,burn-in,32,9.143441122956574,0.9375,0.09996125315304707,1.0202998759235855,1.26055508275694
32,burn-in,33,9.197151247411966,0.9393939393939394,0.12816226796705016,0.5562773510854951,1.2392931580618307
33,burn-in,34,9.256958609446883,0.9411764705882353,0.1636707378150929,0.804531014668378,1.4757356052913067
34,burn-in,35,9.185157604515553,0.9428571428571428,0.208216557584293,0.6235638572113359,1.2111788551975933
35,burn-in,36,9.140262764878571,0.9444444444444444,0.08625213136272472,0.8769114094157511,1.6908115370664945
36,burn-in,37,9.263464159332216,0.9459459459459459,0.10987685259586594,0.6032753543159981,1.0364989483713964
37,burn-in,38,9.105657974258065,0.9473684210526315,0.13946040016986377,1.0131473315034458,1.402585692411245
38,burn-in,39,9.150036190636456,0.9487179487179487,0.1763806700201041,0.6582292154397844,1.5489062361204986
39,burn-in,40,9.180286727845669,0.95,0.2123797133470282,0.6084851753105452,1.183752591439425
40,burn-in,41,9.293669289909303,0.9512195121951219,0.18769320039568793,0.9000936028501967,1.3609117472746877
41,burn-in,42,9.146666964516044,0.9523809523809523,0.23569509274628864,0.7807699538694096,1.5098948110328496
42,burn-in,43,9.10613911319524,0.9534883720930233,0.2950247886123713,0.7962719953038928,1.3986570516255419
43,burn-in,44,9.168966889381409,0.9545454545454546,0.36814006311959424,0.6829463317393615,1.4667757961367085
44,burn-in,45,9.217720471322536,0.9555555555555556,0.34937109397784244,0.6986044386001286,1.1570863562604625
45,burn-in,46,9.160306100733578,0.9565217391304348,0.3144214987880507,0.6368489862350795,1.615852010000635
46,burn-in,47,9.45152617432177,0.9574468085106383,0.3904946604128866,0.8567598272900464,1.3107855952618566
