step,phase,step_in_phase,dt,accept_rate,step_size,obs_noise_std
0,burn-in,1,0.6697187526151538,1.0,0.010592920070763462,1.999458936209023
1,burn-in,2,0.6590932533144951,1.0,0.013639348353792815,2.079225322104248
2,burn-in,3,0.6593108400702477,1.0,0.014432777687814405,2.088440155229899
3,burn-in,4,0.6575062219053507,1.0,0.019721622712775173,1.9759586084476417
4,burn-in,5,0.662173330783844,1.0,0.027368676933685505,1.9195252462298718
5,burn-in,6,0.6634139688685536,1.0,0.024024300203101503,1.904709208705016
6,burn-in,7,0.6633130144327879,1.0,0.02265659168023591,1.9578789159366774
7,burn-in,8,0.6603307295590639,1.0,0.03126864744881348,1.8745610485108082
8,burn-in,9,0.6655075224116445,1.0,0.04311705366062878,1.56053321759337
9,burn-in,10,0.6800248380750418,1.0,0.059274230765597756,1.4802048384537307
10,burn-in,11,0.6717753037810326,0.9090909090909091,0.04904102756425922,1.4802048384537307
11,burn-in,12,0.6797940907999873,0.9166666666666666,0.0668726365295433,1.0797451621197924
12,burn-in,13,0.6872211890295148,0.8461538461538461,0.017125542642881363,1.0797451621197924
13,burn-in,14,0.6882580099627376,0.8571428571428571,0.007777790699519572,1.0262956349707586
14,burn-in,15,0.687202475965023,0.8666666666666667,0.00745053637086736,1.0393363065603054
15,burn-in,16,0.6868710713461041,0.8125,0.00425359643342613,1.0393363065603054
16,burn-in,17,0.6829945100471377,0.8235294117647058,0.004306868433592088,1.0328919314011906
17,burn-in,18,0.6858805790543556,0.8333333333333334,0.005869633430911266,1.0336199087517919
18,burn-in,19,0.6906615383923054,0.8421052631578947,0.005565221673177873,1.0239634875494543
19,burn-in,20,0.6956983208656311,0.85,0.005370012370685636,1.00326709177189
20,burn-in,21,0.6889366181567311,0.8571428571428571,0.0070307258090618625,0.996373424179726
21,burn-in,22,0.6860782457515597,0.8636363636363636,0.009453819720208922,0.9676062185823197
22,burn-in,23,0.6888855351135135,0.8695652173913043,0.010664703404994614,0.9816253792244877
23,burn-in,24,0.6865126518532634,0.875,0.014218806747933304,0.991920267215141
24,burn-in,25,0.6854333151131868,0.88,0.018864351768028434,0.9802358890795616
25,burn-in,26,0.6863982044160366,0.8461538461538461,0.01897495450256403,0.9802358890795616
26,burn-in,27,0.6844083676114678,0.8518518518518519,0.008941139334508073,0.9663357225604474
27,burn-in,28,0.6913233483210206,0.8571428571428571,0.011823733216288705,0.9388311784857302
28,burn-in,29,0.6889631198719144,0.8620689655172413,0.015562511300806492,0.9730158829453976
29,burn-in,30,0.6858897376805544,0.8666666666666667,0.016714950687804722,1.0084775642347528
30,burn-in,31,0.6844410859048367,0.8709677419354839,0.018395595162224356,0.9687430054366556
31,burn-in,32,0.6820852719247341,0.875,0.023962583903305926,1.0903806890671033
32,burn-in,33,0.6863072048872709,0.8484848484848485,0.018454773913806084,1.0903806890671033
33,burn-in,34,0.6825201073661447,0.8529411764705882,0.023937487588328584,1.070182339353218
34,burn-in,35,0.6794131631031632,0.8571428571428571,0.022361556600489167,1.0588482247045545
35,burn-in,36,0.6919357068836689,0.8611111111111112,0.011405684274124436,0.9445028372571994
36,burn-in,37,0.6878281561657786,0.8648648648648649,0.005289777618253102,0.9228337054424998
37,burn-in,38,0.6899944506585598,0.868421052631579,0.006872470394720035,0.9327893096446872
38,burn-in,39,0.6750632468611002,0.8461538461538461,0.00475943882314579,0.9327893096446872
39,burn-in,40,0.6802788376808167,0.825,0.004017612077568572,0.9327893096446872
40,burn-in,41,0.687713191844523,0.8292682926829268,0.0027282473270011983,0.9318075072509658
41,burn-in,42,0.6921288287267089,0.8333333333333334,0.0035340895533457566,0.9266340615589053
42,burn-in,43,0.6883717132732272,0.8372093023255814,0.004560598970373834,0.925780937570656
43,burn-in,44,0.6809195121750236,0.8409090909090909,0.005863581114188954,0.9331093355102945
44,burn-in,45,0.6812631050124764,0.8444444444444444,0.006352802273783878,0.9298773066000937
45,burn-in,46,0.6764400815591216,0.8478260869565217,0.008119754875908868,0.9476495675888812
46,burn-in,47,0.6789968200027943,0.851063829787234,0.004538701474122197,0.9763377565019156
47,burn-in,48,0.6739132413640618,0.8541666666666666,0.005794730614768604,0.9733361852430983
48,burn-in,49,0.6854195026680827,0.8367346938775511,0.003378554250822218,0.9733361852430983
49,burn-in,50,0.6825223248451948,0.84,0.0032026655045642744,0.9722882336463697
50,burn-in,51,0.6933738039806485,0.84,0.004078178179649499,0.9767510989976864
51,burn-in,52,0.6896480955183506,0.84,0.005176471613158053,0.9712060063429598
52,burn-in,53,0.6780320955440402,0.84,0.004133628283929953,0.9858033660740283
53,burn-in,54,0.6862984811887145,0.84,0.0040920963303802725,0.9675515783266925
54,burn-in,55,0.6914775352925062,0.84,0.005089562279371373,0.9668047476895063
55,burn-in,56,0.6844875188544393,0.84,0.006412008474851588,0.961414196903053
56,burn-in,57,0.6850537601858377,0.84,0.006724306745729991,0.9508130846135315
57,burn-in,58,0.6893874946981668,0.84,0.00843292126763681,0.9391270396043003
58,burn-in,59,0.6891025714576244,0.84,0.010546705414131661,0.9865003805833596
59,burn-in,60,0.6876445971429348,0.84,0.013155096913047993,1.0603631782562328
60,burn-in,61,0.686327806673944,0.86,0.01636586489350205,1.0725448238474196
61,burn-in,62,0.6844885693863034,0.86,0.011896155255800794,1.0565366502673874
62,burn-in,63,0.6765154609456658,0.88,0.014771082181250198,1.0814984889655
63,burn-in,64,0.6773648709058762,0.88,0.018295557174697413,1.0807239892742693
64,burn-in,65,0.6796807665377855,0.88,0.022301303165508008,1.1077028531437703
65,burn-in,66,0.677488412708044,0.9,0.027323515663804063,1.1430961804954165
66,burn-in,67,0.6805577287450433,0.9,0.016644316053751065,1.0200172592206664
67,burn-in,68,0.6805095206946135,0.9,0.013470957778374225,0.9878912890922519
68,burn-in,69,0.6892735315486789,0.9,0.009762803972709774,0.9496918893400036
69,burn-in,70,0.6936554536223412,0.9,0.012035656424442091,0.9980704366783153
70,burn-in,71,0.6926127504557371,0.9,0.011806694517659729,1.0204357270868023
71,burn-in,72,0.6894303290173411,0.9,0.014508732819490057,1.086789834183192
72,burn-in,73,0.6863524736836553,0.9,0.017790969605572433,1.1471324346187357
73,burn-in,74,0.6906284959986806,0.9,0.021770059470431584,1.1594621655066348
74,burn-in,75,0.6857338203117251,0.9,0.02658457411960952,1.2407973386145439
75,burn-in,76,0.6806309726089239,0.92,0.03239884253571045,1.1643813241976457
76,burn-in,77,0.6754624107852578,0.92,0.019636359170633135,1.1113781295054934
77,burn-in,78,0.6860924307256937,0.9,0.010883177021472725,1.1113781295054934
78,burn-in,79,0.6784397605806589,0.9,0.01328368694754481,1.1277178405720105
79,burn-in,80,0.6809451729059219,0.9,0.014772005055360266,1.1070287518295698
80,burn-in,81,0.6816849578171968,0.9,0.012638660204490582,1.1042874474281892
81,burn-in,82,0.6779149463400245,0.9,0.01537121606693088,1.1096374807550244
82,burn-in,83,0.6754187233746052,0.9,0.011015265006511024,1.1096374807550244
83,burn-in,84,0.6775428336113691,0.9,0.013380938599439432,1.1001831349703752
84,burn-in,85,0.6738512143492699,0.88,0.010204582583156542,1.1001831349703752
