step,phase,step_in_phase,dt,accept_rate,step_size,obs_noise_std
0,burn-in,1,0.6361570134758949,1.0,0.010144229116426524,1.999461489368437
1,burn-in,2,0.6262779980897903,1.0,0.012209558711469047,2.0764291543319904
2,burn-in,3,0.6217650203034282,1.0,0.016358498324792747,2.0863685130644294
3,burn-in,4,0.6233082646504045,1.0,0.022556128615396253,1.9554042730196752
4,burn-in,5,0.6209390480071306,1.0,0.031485647472447316,1.887168212295683
5,burn-in,6,0.638629405759275,1.0,0.03134837623002326,1.8632703987090744
6,burn-in,7,0.6223046751692891,1.0,0.04361403820985424,1.9154427454609961
7,burn-in,8,0.6281924936920404,1.0,0.06057404869222697,1.6785186524279172
8,burn-in,9,0.6267992882058024,1.0,0.08379447020688997,1.073373436183806
9,burn-in,10,0.6265687635168433,0.9,0.03965845090386182,1.073373436183806
10,burn-in,11,0.6292978022247553,0.8181818181818182,0.048901227245595466,1.073373436183806
11,burn-in,12,0.6426086723804474,0.75,0.004250358920480699,1.073373436183806
12,burn-in,13,0.6309537570923567,0.7692307692307693,0.004965783912995291,1.0694550694160216
13,burn-in,14,0.6277507245540619,0.7857142857142857,0.00507945345354166,1.0540993543735853
14,burn-in,15,0.6298646219074726,0.8,0.005248558659025228,1.0624675173591553
15,burn-in,16,0.6303374422714114,0.8125,0.0071714757841488085,1.0588778765352247
16,burn-in,17,0.6258343746885657,0.8235294117647058,0.009757022002340875,1.0473707406187795
17,burn-in,18,0.6255605965852737,0.8333333333333334,0.010321546477984188,1.047913541893976
18,burn-in,19,0.6259991461411119,0.8421052631578947,0.0038260287006073495,1.0296929567025441
19,burn-in,20,0.6237779473885894,0.85,0.0051958911746443695,1.015219992576864
20,burn-in,21,0.6252999072894454,0.8571428571428571,0.00702160229623095,1.0080905215926885
21,burn-in,22,0.6299108499661088,0.8636363636363636,0.0034844634206598456,0.978419900211602
22,burn-in,23,0.624546380713582,0.8695652173913043,0.00470178283368681,0.9831334174373751
23,burn-in,24,0.6228945609182119,0.875,0.0035406294181967828,0.9871178852195754
24,burn-in,25,0.6292629474774003,0.88,0.004753521157355145,0.9836426488680096
25,burn-in,26,0.6238277237862349,0.8846153846153846,0.006350311372466483,0.9867396082007169
26,burn-in,27,0.6251840526238084,0.8888888888888888,0.005999496685762784,0.9808256798762814
27,burn-in,28,0.6289875190705061,0.8928571428571429,0.006521449444443477,0.96123072390113
28,burn-in,29,0.6274726297706366,0.896551724137931,0.008626574741929734,0.9791758009547958
29,burn-in,30,0.6230369424447417,0.9,0.007196631225291971,0.9973605160358263
30,burn-in,31,0.6183010851964355,0.9032258064516129,0.009146810900904846,0.9796001045937469
31,burn-in,32,0.6242734985426068,0.90625,0.011983248208421653,1.0377779465203079
32,burn-in,33,0.6203697100281715,0.8787878787878788,0.007967533806756215,1.0377779465203079
33,burn-in,34,0.6214751461520791,0.8823529411764706,0.008668719569124909,1.0300453620635035
34,burn-in,35,0.626362276263535,0.8857142857142857,0.010631741298331191,1.027522696752222
35,burn-in,36,0.6336179245263338,0.8888888888888888,0.010737250233797487,0.9717338212852246
36,burn-in,37,0.6358195645734668,0.8918918918918919,0.0039323979722808745,0.9492741989789101
37,burn-in,38,0.6391579238697886,0.8947368421052632,0.005120627552466753,0.956448598183478
38,burn-in,39,0.6327868374064565,0.8717948717948718,0.004573170635179685,0.956448598183478
39,burn-in,40,0.6308979410678148,0.85,0.00456299612678033,0.956448598183478
40,burn-in,41,0.640626828186214,0.8536585365853658,0.005309322963232482,0.9551085011236209
41,burn-in,42,0.6382579552009702,0.8571428571428571,0.0053027254327829764,0.9447611525669934
42,burn-in,43,0.6273464635014534,0.8604651162790697,0.006547652886674916,0.9432538415609936
43,burn-in,44,0.6369310859590769,0.8636363636363636,0.00503945261136899,0.9536853624224298
44,burn-in,45,0.6383158471435308,0.8666666666666667,0.006462971324601987,0.9504833993636047
45,burn-in,46,0.6352499071508646,0.8695652173913043,0.006554058346437454,0.9682854283058778
46,burn-in,47,0.6299429908394814,0.8723404255319149,0.007214728017031901,0.9908925899106037
47,burn-in,48,0.6371099436655641,0.875,0.009182151973082094,0.98555078904808
48,burn-in,49,0.6288354098796844,0.8775510204081632,0.009486257577389193,0.9483114250925049
49,burn-in,50,0.6395297097042203,0.86,0.005093016778127115,0.9483114250925049
50,burn-in,51,0.6413143035024405,0.84,0.004505216804090297,0.9483114250925049
51,burn-in,52,0.6429169569164515,0.84,0.0055116764183849145,0.942172703090556
52,burn-in,53,0.6375438114628196,0.84,0.006332496899220981,0.9573969125323819
53,burn-in,54,0.6331098498776555,0.84,0.004517865994992698,0.929935391564116
54,burn-in,55,0.6297121159732342,0.84,0.005704434278751586,0.9290011857121304
55,burn-in,56,0.6348796188831329,0.84,0.007181533992901104,0.9228847230712957
56,burn-in,57,0.633445649407804,0.84,0.004723429301442771,0.9111172112210884
57,burn-in,58,0.6311021531000733,0.82,0.004769181669990019,0.9111172112210884
58,burn-in,59,0.6342899706214666,0.82,0.005985164430307295,0.936848347440854
59,burn-in,60,0.6272539971396327,0.84,0.007490684786139921,0.9771861991184988
60,burn-in,61,0.6305167013779283,0.86,0.008596375999218973,0.9846170505382945
61,burn-in,62,0.617805895395577,0.88,0.007737658580729566,0.9776743299331638
62,burn-in,63,0.6181967705488205,0.88,0.009631507539948238,0.9937049353474035
63,burn-in,64,0.6276957197114825,0.88,0.00914257059463252,0.9942433808671087
64,burn-in,65,0.6228886041790247,0.88,0.011341199896068145,1.0084810085704656
65,burn-in,66,0.6185477217659354,0.88,0.01403463731710154,1.0281771259101975
66,burn-in,67,0.6262842928990722,0.88,0.010826578979314501,0.9711048566404186
67,burn-in,68,0.6263843523338437,0.86,0.004836699797092614,0.9711048566404186
68,burn-in,69,0.6277718460187316,0.86,0.003633466834395976,0.9567873894973586
69,burn-in,70,0.6275147264823318,0.86,0.004503202525318695,0.9742819761461581
70,burn-in,71,0.6320047909393907,0.86,0.005568262386736351,0.982102196263478
71,burn-in,72,0.6247087912634015,0.86,0.0068697156443959075,1.0125088016925616
72,burn-in,73,0.6203669458627701,0.86,0.008456699193336773,1.0406727916707108
73,burn-in,74,0.6222414383664727,0.86,0.010387895117984184,1.0482958140077414
74,burn-in,75,0.6280360324308276,0.86,0.007845035326760137,1.0893702100893639
75,burn-in,76,0.6270698187872767,0.86,0.008118398163213018,1.0729720379726368
76,burn-in,77,0.6346937650814652,0.86,0.009943320590336027,1.0649666311218582
77,burn-in,78,0.6239002160727978,0.86,0.007916415461350895,1.0092018794609485
78,burn-in,79,0.6267362693324685,0.86,0.007451178374798143,1.0211006398227422
79,burn-in,80,0.6392621034756303,0.86,0.007133339061193623,1.0110667039244994
80,burn-in,81,0.6246749656274915,0.86,0.007133339061193623,1.0109123906533184
81,burn-in,82,0.6281453175470233,0.86,0.007133339061193623,1.0145205298818387
82,burn-in,83,0.6236958559602499,0.88,0.007133339061193623,1.0198788070007865
83,burn-in,84,0.6265308251604438,0.88,0.007133339061193623,1.0146644580954676
84,burn-in,85,0.6235734466463327,0.88,0.007133339061193623,1.0205437393391332
85,burn-in,86,0.6245117336511612,0.88,0.007133339061193623,1.0582405866974007
86,burn-in,87,0.6197202242910862,0.86,0.007133339061193623,1.0582405866974007
87,burn-in,88,0.6245225463062525,0.86,0.007133339061193623,1.0353831742228574
88,burn-in,89,0.6271452875807881,0.88,0.007133339061193623,1.038233856677709
89,burn-in,90,0.6262385696172714,0.9,0.007133339061193623,1.0332559547020927
90,burn-in,91,0.6266387272626162,0.9,0.007133339061193623,1.018833981072832
91,burn-in,92,0.622030833736062,0.9,0.007133339061193623,1.0122119661914513
92,burn-in,93,0.6278136828914285,0.9,0.007133339061193623,1.0023626996711252
93,burn-in,94,0.6230466114357114,0.9,0.007133339061193623,0.9723550125589726
94,burn-in,95,0.6229332815855742,0.9,0.007133339061193623,0.9916636450789658
95,burn-in,96,0.6237522829324007,0.9,0.007133339061193623,1.001953536795379
96,burn-in,97,0.6251378608867526,0.9,0.007133339061193623,0.9989200020176041
97,burn-in,98,0.6184040028601885,0.9,0.007133339061193623,1.0158220976603065
98,burn-in,99,0.6228576162829995,0.9,0.007133339061193623,0.9923557468763109
99,burn-in,100,0.6246015559881926,0.92,0.007133339061193623,1.0258971794738863
100,sample,1,0.6219555260613561,0.94,0.007133339061193623,1.0039987638305967
101,sample,2,0.6239254791289568,0.94,0.007133339061193623,1.0190942287157176
102,sample,3,0.6322363773360848,0.94,0.007133339061193623,1.0182691560877832
103,sample,4,0.6267957761883736,0.92,0.007133339061193623,1.0182691560877832
104,sample,5,0.6252759778872132,0.92,0.007133339061193623,1.0070449499476166
105,sample,6,0.629635383374989,0.92,0.007133339061193623,0.9959084178869145
106,sample,7,0.6296739177778363,0.92,0.007133339061193623,0.9979199315914838
107,sample,8,0.6215269761160016,0.94,0.007133339061193623,0.9624285154461577
108,sample,9,0.6244119890034199,0.94,0.007133339061193623,0.947718270520879
109,sample,10,0.6269750334322453,0.94,0.007133339061193623,0.942359994389051
110,sample,11,0.6278041154146194,0.92,0.007133339061193623,0.942359994389051
111,sample,12,0.6304090321063995,0.92,0.007133339061193623,0.9436802158276477
112,sample,13,0.6269286628812551,0.92,0.007133339061193623,0.9392535353043623
113,sample,14,0.6217844290658832,0.92,0.007133339061193623,0.9501680145527054
114,sample,15,0.6218339158222079,0.92,0.007133339061193623,0.959983092918542
115,sample,16,0.6245850455015898,0.92,0.007133339061193623,0.9281239458081959
116,sample,17,0.6315441485494375,0.9,0.007133339061193623,0.9281239458081959
117,sample,18,0.6287222094833851,0.92,0.007133339061193623,0.9502930698118427
118,sample,19,0.6302819000557065,0.92,0.007133339061193623,0.9826865511984467
119,sample,20,0.619894384406507,0.92,0.007133339061193623,1.0096360421866402
120,sample,21,0.6282045301049948,0.92,0.007133339061193623,0.9973459572108336
121,sample,22,0.6204554652795196,0.92,0.007133339061193623,1.0064757946999618
122,sample,23,0.6275188578292727,0.92,0.007133339061193623,1.0059278842587374
123,sample,24,0.6221320535987616,0.92,0.007133339061193623,1.030212600712029
124,sample,25,0.6217826111242175,0.92,0.007133339061193623,1.0679482595922845
125,sample,26,0.6224878886714578,0.92,0.007133339061193623,1.0638838254000156
126,sample,27,0.6232726667076349,0.92,0.007133339061193623,1.0136588577802017
127,sample,28,0.627374448813498,0.92,0.007133339061193623,0.9953818316150053
128,sample,29,0.6216930821537971,0.92,0.007133339061193623,1.0239933456547923
129,sample,30,0.6205943720415235,0.92,0.007133339061193623,1.07194228040162
130,sample,31,0.6354107148945332,0.92,0.007133339061193623,1.0769829533301214
131,sample,32,0.6303301500156522,0.92,0.007133339061193623,1.1068680697199573
132,sample,33,0.6303208107128739,0.92,0.007133339061193623,1.1001751211622497
133,sample,34,0.6234101913869381,0.92,0.007133339061193623,1.0762324308327411
134,sample,35,0.6250788168981671,0.92,0.007133339061193623,1.1201317343813837
135,sample,36,0.6242207027971745,0.92,0.007133339061193623,1.1262255737557476
136,sample,37,0.6219767509028316,0.92,0.007133339061193623,1.1262255737557476
137,sample,38,0.6219658507034183,0.92,0.007133339061193623,1.107111916032564
138,sample,39,0.630240187048912,0.92,0.007133339061193623,1.1763948548673138
139,sample,40,0.6268580500036478,0.92,0.007133339061193623,1.1886473858887796
140,sample,41,0.6336489235982299,0.92,0.007133339061193623,1.1939301562728066
141,sample,42,0.6295359684154391,0.92,0.007133339061193623,1.1930102830879565
142,sample,43,0.624754037708044,0.92,0.007133339061193623,1.1927482485171623
143,sample,44,0.6294913692399859,0.92,0.007133339061193623,1.239596018974014
144,sample,45,0.6367609901353717,0.92,0.007133339061193623,1.2464910506925102
145,sample,46,0.6336318617686629,0.92,0.007133339061193623,1.2353961093666463
146,sample,47,0.626817187294364,0.92,0.007133339061193623,1.2142220991957633
147,sample,48,0.6335054757073522,0.92,0.007133339061193623,1.229600664014575
148,sample,49,0.635048077441752,0.92,0.007133339061193623,1.2123933347544729
149,sample,50,0.6334426030516624,0.92,0.007133339061193623,1.2068894829242622
150,sample,51,0.6305175181478262,0.92,0.007133339061193623,1.2051876562095902
151,sample,52,0.6304309340193868,0.92,0.007133339061193623,1.200503667934617
152,sample,53,0.6320469453930855,0.92,0.007133339061193623,1.2296810658665307
153,sample,54,0.627899058163166,0.94,0.007133339061193623,1.2353733883250275
154,sample,55,0.6303616110235453,0.94,0.007133339061193623,1.2355879028563683
155,sample,56,0.6338542485609651,0.94,0.007133339061193623,1.2538122456506702
156,sample,57,0.6298856707289815,0.94,0.007133339061193623,1.2980584797992
157,sample,58,0.6263998728245497,0.94,0.007133339061193623,1.3399725749975822
158,sample,59,0.6241967407986522,0.94,0.007133339061193623,1.3730260531254683
159,sample,60,0.6310347709804773,0.94,0.007133339061193623,1.4045803193448554
160,sample,61,0.6393569028005004,0.94,0.007133339061193623,1.4045803193448554
161,sample,62,0.6328823454678059,0.94,0.007133339061193623,1.4037138442057087
162,sample,63,0.6219673650339246,0.94,0.007133339061193623,1.4355161700514754
163,sample,64,0.6265841284766793,0.94,0.007133339061193623,1.448705767407805
164,sample,65,0.6288325656205416,0.94,0.007133339061193623,1.4670007647158239
165,sample,66,0.6257703434675932,0.94,0.007133339061193623,1.4051380745871485
166,sample,67,0.6255138944834471,0.96,0.007133339061193623,1.4420608051024109
167,sample,68,0.6336105251684785,0.96,0.007133339061193623,1.4603861177361057
168,sample,69,0.6227094912901521,0.96,0.007133339061193623,1.4805076535523918
169,sample,70,0.6220108363777399,0.96,0.007133339061193623,1.4815213329632686
170,sample,71,0.6192459668964148,0.96,0.007133339061193623,1.5233760201973843
171,sample,72,0.6209379648789763,0.96,0.007133339061193623,1.5107578863494362
172,sample,73,0.613463637419045,0.96,0.007133339061193623,1.521903417203618
173,sample,74,0.6189573239535093,0.96,0.007133339061193623,1.5241106959088182
174,sample,75,0.6269748881459236,0.96,0.007133339061193623,1.5020612219366565
175,sample,76,0.6181673174723983,0.96,0.007133339061193623,1.5069690931778321
176,sample,77,0.6254930477589369,0.96,0.007133339061193623,1.4926629720600737
177,sample,78,0.6304443748667836,0.96,0.007133339061193623,1.5343051845019893
178,sample,79,0.6161404857411981,0.96,0.007133339061193623,1.4848325931478898
179,sample,80,0.6250873021781445,0.96,0.007133339061193623,1.4786022930588574
180,sample,81,0.6315976465120912,0.96,0.007133339061193623,1.41163327750943
181,sample,82,0.6239682156592607,0.96,0.007133339061193623,1.4701027048466047
182,sample,83,0.6201792024075985,0.96,0.007133339061193623,1.4491739562614177
183,sample,84,0.6314330631867051,0.96,0.007133339061193623,1.455555472164053
