step,phase,step_in_phase,dt,accept_rate,step_size,obs_noise_std
0,burn-in,1,6.850159740075469,1.0,0.011993961507782811,1.9994520523722168
1,burn-in,2,6.845511824823916,1.0,0.016017357870397625,2.087003496324644
2,burn-in,3,6.9004509402439,1.0,0.022233710708411427,2.0917388904340743
3,burn-in,4,7.024473689496517,1.0,0.03134425762976385,1.8975847551085492
4,burn-in,5,7.037903727963567,1.0,0.04438351447079926,1.7707093477374918
5,burn-in,6,7.041469600982964,1.0,0.0627564851517943,1.6791572202476905
6,burn-in,7,7.028108121827245,1.0,0.08832219181356332,1.6007551836902632
7,burn-in,8,7.190864591859281,1.0,0.12350610283131816,1.0391668378034729
8,burn-in,9,7.115780464373529,1.0,0.17060985168500759,1.0269936610679327
9,burn-in,10,7.110721191391349,1.0,0.23499035649673847,1.1624656953082466
10,burn-in,11,7.093321486376226,0.9090909090909091,0.2576368937634315,1.1624656953082466
11,burn-in,12,7.061392682604492,0.9166666666666666,0.14180145374447745,1.4169148239796807
12,burn-in,13,7.054276946932077,0.9230769230769231,0.18251786853887622,0.852205041841398
13,burn-in,14,7.203340488485992,0.9285714285714286,0.21880694175609144,1.4762924057537108
14,burn-in,15,6.904203467071056,0.9333333333333333,0.2925313853603701,0.9539516824332838
15,burn-in,16,6.8194394474849105,0.9375,0.38579323075938027,0.9533943775645994
16,burn-in,17,6.829570356756449,0.9411764705882353,0.5096299810040558,1.2025193109026253
17,burn-in,18,6.888303009793162,0.9444444444444444,0.11369570603558465,0.8904403424327337
18,burn-in,19,6.876387511380017,0.9473684210526315,0.15060045170730288,1.2204162983546003
19,burn-in,20,6.984660338610411,0.95,0.1984381082834077,1.0076326927137946
20,burn-in,21,6.885025869123638,0.9523809523809523,0.25155732922928786,1.2268190205023872
21,burn-in,22,6.884092363528907,0.9545454545454546,0.18285906040519745,1.4076015443620724
22,burn-in,23,6.914269092492759,0.9565217391304348,0.22628069423309585,0.8598072922132378
23,burn-in,24,6.896396344527602,0.9583333333333334,0.29392497759053743,1.0969757060563976
24,burn-in,25,6.982619966380298,0.96,0.37946572566734543,1.0917318668800866
25,burn-in,26,7.176218044012785,0.9230769230769231,0.4601721526661372,1.0917318668800866
26,burn-in,27,7.090130398049951,0.9259259259259259,0.4333005103784147,1.1954853331026034
27,burn-in,28,7.065440463833511,0.8928571428571429,0.03514810844012937,1.1954853331026034
28,burn-in,29,7.043129749596119,0.896551724137931,0.04565540753085233,1.2749563965566653
29,burn-in,30,7.049274089746177,0.9,0.0590746360754804,1.3091489467651394
30,burn-in,31,7.085118602961302,0.9032258064516129,0.07638011976200816,1.0602229673557666
31,burn-in,32,7.099922256544232,0.90625,0.08746541669632912,1.4849184211358082
32,burn-in,33,7.01927269808948,0.9090909090909091,0.11226265161714025,0.9038563837505025
33,burn-in,34,7.005401610396802,0.9117647058823529,0.14351857460060916,1.2282700917900335
34,burn-in,35,6.920076995156705,0.9142857142857143,0.18213384585792347,0.9893615088976556
35,burn-in,36,6.893654201179743,0.9166666666666666,0.15404774141134073,1.4173433221435794
36,burn-in,37,6.868331491947174,0.918918918918919,0.1934665428588482,0.8574019905063178
37,burn-in,38,6.912672968581319,0.9210526315789473,0.24449008029104463,1.262510383873768
38,burn-in,39,6.760193164460361,0.8974358974358975,0.25338258409858655,1.262510383873768
39,burn-in,40,6.7301301984116435,0.9,0.318489847023346,1.193714418293687
40,burn-in,41,6.780099540948868,0.9024390243902439,0.3990086787881193,1.1584450016071521
41,burn-in,42,6.775297010317445,0.9047619047619048,0.4982869538266707,1.085524222872405
42,burn-in,43,6.899645866826177,0.9069767441860465,0.2441254451989668,0.952395762902275
43,burn-in,44,6.990943698212504,0.9090909090909091,0.3050404613180103,0.9669256349810382
44,burn-in,45,6.9071191512048244,0.9111111111111111,0.36241237482937033,0.9598407301310076
45,burn-in,46,6.9136157454922795,0.9130434782608695,0.21910053347063876,1.3672875531641506
46,burn-in,47,6.906848370097578,0.9148936170212766,0.2625990920013493,0.8718751400486093
47,burn-in,48,6.881848476827145,0.9166666666666666,0.3260900949637737,0.9748788268488613
48,burn-in,49,6.904225549660623,0.8979591836734694,0.1135687127315707,0.9748788268488613
49,burn-in,50,7.047861524857581,0.9,0.14143935713924538,1.187672730980051
50,burn-in,51,6.934315978549421,0.9,0.17565378510961144,1.048869278195422
51,burn-in,52,6.937770742923021,0.9,0.21199817944496577,1.1943199415540424
52,burn-in,53,6.923931011930108,0.9,0.21733263034727948,0.9337257522458426
53,burn-in,54,6.915131965652108,0.9,0.17461656794850705,1.447035854356123
54,burn-in,55,6.8741634506732225,0.9,0.2154519085077786,0.8607338006443144
55,burn-in,56,6.940794723108411,0.9,0.26516471399283137,1.2723415463055006
56,burn-in,57,6.9035023069009185,0.9,0.2930390015935504,1.3105347822894948
57,burn-in,58,6.9279481042176485,0.9,0.35407017774674965,1.3138592252260521
58,burn-in,59,6.889347231946886,0.88,0.13223847477621706,1.3138592252260521
59,burn-in,60,6.8540332689881325,0.88,0.16247312397447064,1.2648873860850418
60,burn-in,61,6.8507262440398335,0.9,0.1960962678844935,0.9541001945451694
61,burn-in,62,6.92814926803112,0.9,0.2398350984941068,1.2468133867612408
62,burn-in,63,6.832389234565198,0.9,0.29267328160656253,1.0307134065349086
63,burn-in,64,6.811335390433669,0.9,0.3563724404344214,1.0310551492490747
64,burn-in,65,6.956936822272837,0.9,0.34081132532617947,1.242591911471478
65,burn-in,66,7.06488170940429,0.9,0.360914825834306,1.2786578247507643
66,burn-in,67,6.999169457703829,0.9,0.16358308736465774,0.8228342920219599
67,burn-in,68,7.0829790430143476,0.9,0.19902790656741365,1.486728900795529
68,burn-in,69,6.978262395597994,0.9,0.24165579527005707,1.0905872504017058
69,burn-in,70,6.9893657667562366,0.88,0.14782731787106887,1.0905872504017058
70,burn-in,71,6.875205811113119,0.88,0.17883289239178624,1.132705593994214
71,burn-in,72,6.854391748085618,0.88,0.2132907497762659,0.9999476360962885
72,burn-in,73,7.013425413519144,0.88,0.23118502627876258,0.9498901795745035
73,burn-in,74,7.11490638460964,0.88,0.27917253516468726,1.0395725018615773
74,burn-in,75,6.947764025069773,0.88,0.25964570063246073,0.9506881823010095
75,burn-in,76,6.935359446331859,0.9,0.31280393576650756,1.0834807177650625
76,burn-in,77,6.903393051587045,0.9,0.3657129070998741,1.0562693628570234
77,burn-in,78,6.910715567879379,0.9,0.07432845495459718,1.0562693628570234
78,burn-in,79,6.896326004527509,0.9,0.08956230048619095,1.1841836722774295
79,burn-in,80,6.9962242767214775,0.9,0.2049654698848693,1.0214348169824348
80,burn-in,81,6.8921182211488485,0.9,0.2049654698848693,1.141014595413572
81,burn-in,82,6.849284608848393,0.9,0.2049654698848693,1.0585075132285988
82,burn-in,83,6.887081127613783,0.9,0.2049654698848693,1.0830191283033597
83,burn-in,84,6.909281145781279,0.9,0.2049654698848693,1.146412165325404
84,burn-in,85,6.91911800019443,0.9,0.2049654698848693,1.0396298328315214
85,burn-in,86,7.004041753709316,0.9,0.2049654698848693,0.9326578389077138
86,burn-in,87,6.83664873894304,0.9,0.2049654698848693,1.1666372980747763
87,burn-in,88,6.8619241658598185,0.9,0.2049654698848693,1.2519101805982278
88,burn-in,89,6.886860963888466,0.92,0.2049654698848693,1.022410121409644
89,burn-in,90,6.923822270706296,0.92,0.2049654698848693,1.1729662115586597
90,burn-in,91,6.91380147729069,0.92,0.2049654698848693,1.183690028230857
91,burn-in,92,7.005005802027881,0.92,0.2049654698848693,1.1185693173254163
92,burn-in,93,6.912238536402583,0.92,0.2049654698848693,1.168765130674865
93,burn-in,94,6.904955932870507,0.92,0.2049654698848693,1.3250895996739078
94,burn-in,95,6.891137516126037,0.92,0.2049654698848693,0.8866742416022194
95,burn-in,96,6.88088951818645,0.92,0.2049654698848693,1.1735209000855003
96,burn-in,97,6.873755656182766,0.92,0.2049654698848693,1.0961517414486615
97,burn-in,98,7.01309462916106,0.92,0.2049654698848693,0.992132911484537
98,burn-in,99,6.889615183696151,0.94,0.2049654698848693,1.3422788722530818
99,burn-in,100,6.783565339632332,0.94,0.2049654698848693,0.7997685726884004
100,sample,1,6.793096891604364,0.94,0.2049654698848693,1.500310165428611
101,sample,2,6.911111571826041,0.94,0.2049654698848693,0.8458906277583724
102,sample,3,6.89034753665328,0.94,0.2049654698848693,1.284862783620561
103,sample,4,6.9440812496468425,0.94,0.2049654698848693,1.0005422580395271
104,sample,5,6.944795100018382,0.94,0.2049654698848693,1.2341512806151265
105,sample,6,6.961468333378434,0.94,0.2049654698848693,1.1393814317732018
106,sample,7,6.777816725894809,0.94,0.2049654698848693,1.071207511208813
107,sample,8,6.785647449083626,0.94,0.2049654698848693,1.4170554775696964
108,sample,9,6.907548029907048,0.96,0.2049654698848693,1.1148345785918266
109,sample,10,7.0106217777356505,0.96,0.2049654698848693,1.1429713852881809
110,sample,11,6.921308105811477,0.96,0.2049654698848693,1.237117208313782
111,sample,12,6.910575139336288,0.96,0.2049654698848693,1.0451338010001374
112,sample,13,6.868653888814151,0.96,0.2049654698848693,1.1641657120380493
113,sample,14,6.858708118088543,0.96,0.2049654698848693,1.001515322416892
114,sample,15,6.854571816511452,0.96,0.2049654698848693,1.087988706368557
115,sample,16,6.914085996337235,0.96,0.2049654698848693,1.3872742488343799
116,sample,17,6.843040296807885,0.96,0.2049654698848693,1.0946837408646974
117,sample,18,6.858696944080293,0.96,0.2049654698848693,0.962487155135886
118,sample,19,6.911719789728522,0.96,0.2049654698848693,1.0059758002879886
119,sample,20,6.882773540914059,0.98,0.2049654698848693,0.9931221569528517
120,sample,21,6.924277750775218,0.98,0.2049654698848693,1.2478062263697756
121,sample,22,6.992159550078213,0.98,0.2049654698848693,0.9805925075969837
122,sample,23,7.064565098844469,0.98,0.2049654698848693,1.1678117293719106
123,sample,24,7.023511476814747,0.98,0.2049654698848693,0.9193685027668342
124,sample,25,6.984004798345268,0.98,0.2049654698848693,1.0354370170440979
125,sample,26,6.963322156108916,0.98,0.2049654698848693,1.157872131483049
126,sample,27,7.00026498734951,0.98,0.2049654698848693,1.5016077127072132
127,sample,28,6.981082473881543,1.0,0.2049654698848693,1.1033274126040826
128,sample,29,6.916717542335391,1.0,0.2049654698848693,0.9275948552952034
129,sample,30,6.8487140610814095,1.0,0.2049654698848693,1.014994055809649
130,sample,31,6.853305192664266,1.0,0.2049654698848693,1.1072764413490663
131,sample,32,6.826345996931195,1.0,0.2049654698848693,0.923650308198004
132,sample,33,6.852436196058989,1.0,0.2049654698848693,1.2446640486477778
133,sample,34,6.906237383373082,1.0,0.2049654698848693,1.2285035284754804
134,sample,35,6.843997293151915,1.0,0.2049654698848693,0.8119085864930577
135,sample,36,6.852945430204272,1.0,0.2049654698848693,1.2826778781037083
136,sample,37,6.851838520728052,0.98,0.2049654698848693,1.2826778781037083
137,sample,38,6.85433345194906,0.98,0.2049654698848693,1.1728036845250338
138,sample,39,6.877659549936652,0.96,0.2049654698848693,1.1728036845250338
139,sample,40,6.975848214700818,0.96,0.2049654698848693,0.9894753408407484
140,sample,41,6.770348408259451,0.96,0.2049654698848693,1.1186742221022328
141,sample,42,6.762096647173166,0.96,0.2049654698848693,1.093351947267497
142,sample,43,6.791741198860109,0.96,0.2049654698848693,1.1002448554155386
143,sample,44,6.859454918652773,0.96,0.2049654698848693,0.8767602429974511
144,sample,45,6.813476148061454,0.96,0.2049654698848693,1.2012389832076493
145,sample,46,6.933792745694518,0.96,0.2049654698848693,1.1312589316704054
146,sample,47,6.846946737729013,0.96,0.2049654698848693,1.23145940503393
147,sample,48,6.871764399111271,0.96,0.2049654698848693,0.9485955836336787
148,sample,49,6.8137559508904815,0.96,0.2049654698848693,1.2942222525901488
149,sample,50,6.798848199658096,0.96,0.2049654698848693,1.0625455093191873
150,sample,51,6.814285574480891,0.96,0.2049654698848693,1.1243856571859596
151,sample,52,6.961297111585736,0.96,0.2049654698848693,1.1166299185516624
152,sample,53,6.841928460635245,0.96,0.2049654698848693,0.9273729503623906
153,sample,54,6.847378560341895,0.96,0.2049654698848693,1.1617542431566923
154,sample,55,6.807965204119682,0.96,0.2049654698848693,1.0689730112443374
155,sample,56,6.905452759936452,0.96,0.2049654698848693,1.0033211123108876
156,sample,57,6.874929248355329,0.96,0.2049654698848693,0.9521395474313291
157,sample,58,6.918528962880373,0.96,0.2049654698848693,1.0018196583945607
158,sample,59,6.885069155134261,0.96,0.2049654698848693,0.985336201933944
159,sample,60,6.833354695700109,0.96,0.2049654698848693,1.00259568764373
160,sample,61,6.8640930680558085,0.94,0.2049654698848693,1.00259568764373
161,sample,62,6.855150151997805,0.94,0.2049654698848693,1.141988728274696
162,sample,63,6.871592071838677,0.94,0.2049654698848693,0.9085755216268584
163,sample,64,6.863518708385527,0.94,0.2049654698848693,1.1377389941906841
164,sample,65,6.797160520218313,0.94,0.2049654698848693,0.9717843040974068
165,sample,66,6.888093890622258,0.92,0.2049654698848693,0.9717843040974068
166,sample,67,6.847984079271555,0.92,0.2049654698848693,0.9973846303142369
167,sample,68,6.859988476149738,0.92,0.2049654698848693,1.0465112403141044
168,sample,69,6.852093460969627,0.92,0.2049654698848693,1.0080722027697122
169,sample,70,6.965487954206765,0.92,0.2049654698848693,1.126489939238286
170,sample,71,6.82855920214206,0.92,0.2049654698848693,0.8833940007281268
171,sample,72,6.86850169301033,0.92,0.2049654698848693,1.296996540730832
172,sample,73,6.799409721978009,0.92,0.2049654698848693,0.9485716726124697
173,sample,74,6.854564039967954,0.92,0.2049654698848693,1.1585493803655733
174,sample,75,6.902260143309832,0.92,0.2049654698848693,1.2020037427335053
175,sample,76,6.979019000194967,0.92,0.2049654698848693,1.0183237854167224
176,sample,77,6.8809867314994335,0.92,0.2049654698848693,1.2117875662186797
177,sample,78,6.910021608695388,0.92,0.2049654698848693,0.8429377818896521
178,sample,79,6.912886758334935,0.92,0.2049654698848693,1.6011275441261117
179,sample,80,6.902632138691843,0.92,0.2049654698848693,0.9343987843613112
180,sample,81,6.927123939618468,0.92,0.2049654698848693,1.6735802721526405
181,sample,82,6.995081258006394,0.92,0.2049654698848693,0.6188584005498322
182,sample,83,6.901882098056376,0.92,0.2049654698848693,1.8145059830244967
183,sample,84,6.914215583354235,0.92,0.2049654698848693,0.7518067925104572
184,sample,85,6.826130039058626,0.92,0.2049654698848693,1.3649906419254925
185,sample,86,6.83150436449796,0.92,0.2049654698848693,1.4289305537417694
186,sample,87,6.847756201401353,0.94,0.2049654698848693,1.1015572504958377
187,sample,88,6.959927032701671,0.94,0.2049654698848693,1.1838106273005884
188,sample,89,7.0353440484032035,0.96,0.2049654698848693,1.0388227831949233
189,sample,90,7.0245601842179894,0.96,0.2049654698848693,1.5907577414888783
190,sample,91,6.957556501030922,0.96,0.2049654698848693,0.8263076331854026
191,sample,92,6.986559417098761,0.96,0.2049654698848693,1.4159006948793693
192,sample,93,7.035719187930226,0.96,0.2049654698848693,1.3937913757853895
193,sample,94,7.027289805933833,0.96,0.2049654698848693,0.8973496273719582
194,sample,95,7.024791853502393,0.96,0.2049654698848693,1.4019791056997024
195,sample,96,7.0446797888726,0.96,0.2049654698848693,0.8190636183555778
196,sample,97,6.994966298341751,0.96,0.2049654698848693,1.398199899682549
197,sample,98,6.9799059350043535,0.96,0.2049654698848693,1.1946632414474763
198,sample,99,6.991645308211446,0.96,0.2049654698848693,1.24532004127576
199,sample,100,7.048028559423983,0.96,0.2049654698848693,1.161078950203759
200,sample,101,6.999295554123819,0.96,0.2049654698848693,1.0997617902729617
201,sample,102,7.029081431217492,0.96,0.2049654698848693,1.1195835961902507
202,sample,103,6.992730726487935,0.96,0.2049654698848693,1.1244899041198593
203,sample,104,6.93669749610126,0.96,0.2049654698848693,1.2325264658955175
204,sample,105,7.033416997641325,0.96,0.2049654698848693,0.9301823612208
205,sample,106,7.072440907359123,0.96,0.2049654698848693,1.5913076353481057
206,sample,107,6.989782694727182,0.96,0.2049654698848693,0.865856790555806
207,sample,108,6.985626000910997,0.96,0.2049654698848693,1.1251627845258374
208,sample,109,7.043796614743769,0.96,0.2049654698848693,1.0101262104845983
209,sample,110,7.095806245692074,0.96,0.2049654698848693,1.2609655159980728
210,sample,111,7.095454185269773,0.98,0.2049654698848693,0.9475715556789703
211,sample,112,7.17567112762481,0.98,0.2049654698848693,1.3348756798081949
212,sample,113,7.087119113653898,0.98,0.2049654698848693,1.147401620247787
213,sample,114,7.10072566755116,0.98,0.2049654698848693,1.021728606036693
214,sample,115,7.10083325766027,0.98,0.2049654698848693,1.1706242450419948
215,sample,116,7.099288751371205,1.0,0.2049654698848693,0.9592863864596057
216,sample,117,6.985361905768514,1.0,0.2049654698848693,1.0043163129690256
217,sample,118,6.963863944634795,1.0,0.2049654698848693,1.3405763764308927
218,sample,119,6.8437359649688005,1.0,0.2049654698848693,1.2194474096243928
219,sample,120,6.837344812229276,1.0,0.2049654698848693,0.9747176410847682
220,sample,121,6.842863620258868,1.0,0.2049654698848693,1.2195523706598417
221,sample,122,6.836118085309863,1.0,0.2049654698848693,1.480839086522941
222,sample,123,6.886797051876783,1.0,0.2049654698848693,1.035189060453479
223,sample,124,6.959568778052926,1.0,0.2049654698848693,1.0132060111238552
224,sample,125,6.883845210075378,1.0,0.2049654698848693,0.9416785865215781
225,sample,126,6.975253088399768,1.0,0.2049654698848693,1.443888093125599
226,sample,127,6.97842953633517,1.0,0.2049654698848693,0.8542897041928659
227,sample,128,6.943164279684424,1.0,0.2049654698848693,1.142121693206548
228,sample,129,7.0300594214349985,1.0,0.2049654698848693,1.2077610957942897
229,sample,130,7.033285214565694,1.0,0.2049654698848693,1.237841993556231
230,sample,131,6.8574224365875125,1.0,0.2049654698848693,1.0523093388186673
231,sample,132,6.863160866312683,1.0,0.2049654698848693,1.0128893264755252
232,sample,133,6.835558943450451,1.0,0.2049654698848693,1.0170223996625072
233,sample,134,6.866963194683194,1.0,0.2049654698848693,1.2971270871492082
234,sample,135,6.817547229118645,1.0,0.2049654698848693,1.0872084947389153
235,sample,136,6.9084565388038754,1.0,0.2049654698848693,1.1223684061799808
236,sample,137,6.8192640552297235,1.0,0.2049654698848693,1.0888236491389947
237,sample,138,6.836072108708322,1.0,0.2049654698848693,1.0065658149094887
238,sample,139,6.852467782795429,1.0,0.2049654698848693,1.2935334770048859
239,sample,140,6.8647529585286975,1.0,0.2049654698848693,1.0414021696143632
240,sample,141,6.855688046664,1.0,0.2049654698848693,1.1955678103057743
241,sample,142,6.917639782652259,1.0,0.2049654698848693,1.0851086467526105
242,sample,143,6.795666671358049,1.0,0.2049654698848693,1.0556206762582874
243,sample,144,6.829977786168456,1.0,0.2049654698848693,1.1064995224830134
244,sample,145,6.849986864253879,1.0,0.2049654698848693,1.2254101771769264
245,sample,146,6.817504560574889,1.0,0.2049654698848693,0.9385967452685727
246,sample,147,6.838038053363562,1.0,0.2049654698848693,1.1332752076882315
247,sample,148,6.865174977108836,1.0,0.2049654698848693,1.105163816923375
248,sample,149,6.738811836577952,1.0,0.2049654698848693,0.9122102204420709
249,sample,150,6.867000232450664,1.0,0.2049654698848693,1.0351713498672424
250,sample,151,6.819827096536756,1.0,0.2049654698848693,1.2707459758334205
251,sample,152,6.7325612381100655,1.0,0.2049654698848693,0.7672882117783126
252,sample,153,6.853187766857445,1.0,0.2049654698848693,1.5896087478700272
253,sample,154,6.994017933495343,1.0,0.2049654698848693,0.7212324897913063
254,sample,155,6.920156446285546,1.0,0.2049654698848693,1.7554120520794854
255,sample,156,6.878015304915607,1.0,0.2049654698848693,0.8583911876989283
256,sample,157,6.916111098602414,1.0,0.2049654698848693,1.1398385659990484
257,sample,158,7.0433070519939065,1.0,0.2049654698848693,0.9207318842128525
258,sample,159,6.917018616572022,1.0,0.2049654698848693,1.086669210781572
259,sample,160,6.9266509329900146,1.0,0.2049654698848693,1.261301052726287
260,sample,161,6.827698226086795,1.0,0.2049654698848693,1.1350259823974045
261,sample,162,6.793654657900333,1.0,0.2049654698848693,1.0463566473240897
262,sample,163,6.763004780746996,1.0,0.2049654698848693,1.2560664671170982
263,sample,164,6.821000177413225,1.0,0.2049654698848693,0.9836318750300462
264,sample,165,6.833321297541261,1.0,0.2049654698848693,1.0437382268860491
265,sample,166,7.1406490579247475,1.0,0.2049654698848693,1.1236646458802582
266,sample,167,6.901135265827179,1.0,0.2049654698848693,0.997982409516943
267,sample,168,7.066051839850843,1.0,0.2049654698848693,1.0729990959621385
268,sample,169,7.067862625233829,1.0,0.2049654698848693,1.393999505475976
269,sample,170,7.014709216542542,1.0,0.2049654698848693,0.9598046324261187
270,sample,171,6.973916871473193,1.0,0.2049654698848693,1.1754605011517927
271,sample,172,7.155692216008902,1.0,0.2049654698848693,1.306096194032643
272,sample,173,7.035344217903912,1.0,0.2049654698848693,1.0588410092362075
273,sample,174,7.048874655738473,1.0,0.2049654698848693,1.0930934323162804
274,sample,175,6.9287219196558,1.0,0.2049654698848693,1.1930044693759296
275,sample,176,6.892286476679146,1.0,0.2049654698848693,1.30510694394299
276,sample,177,6.85691384691745,1.0,0.2049654698848693,1.0442711735654129
277,sample,178,6.948337197303772,1.0,0.2049654698848693,1.2869543375151158
278,sample,179,6.827365485019982,1.0,0.2049654698848693,1.0528844440731207
279,sample,180,6.912782273255289,1.0,0.2049654698848693,1.3869896102655084
280,sample,181,6.947379597462714,1.0,0.2049654698848693,0.7902137784105933
281,sample,182,6.956403900869191,1.0,0.2049654698848693,1.3129401856586334
282,sample,183,6.944947772659361,1.0,0.2049654698848693,0.9743977780934423
283,sample,184,6.9698609402403235,1.0,0.2049654698848693,1.0994263621342202
284,sample,185,6.919518222101033,1.0,0.2049654698848693,1.2170515108679811
285,sample,186,6.886487542651594,1.0,0.2049654698848693,1.3129083095196086
286,sample,187,6.893650987185538,1.0,0.2049654698848693,1.002579448190686
287,sample,188,6.992290980182588,1.0,0.2049654698848693,1.1051685587560294
288,sample,189,6.9843145636841655,1.0,0.2049654698848693,1.1705002472558186
289,sample,190,7.123093686066568,1.0,0.2049654698848693,1.1264755488346656
290,sample,191,6.936497630551457,1.0,0.2049654698848693,1.034895594232797
291,sample,192,6.822325337678194,1.0,0.2049654698848693,0.9186190204056331
292,sample,193,6.811260431073606,1.0,0.2049654698848693,1.1074396350346802
293,sample,194,6.779179560951889,1.0,0.2049654698848693,0.9253754005408906
294,sample,195,6.762766747735441,1.0,0.2049654698848693,1.1483672173175026
295,sample,196,6.951016651466489,1.0,0.2049654698848693,1.2513450872010705
