step,phase,step_in_phase,dt,accept_rate,step_size,obs_noise_std
0,burn-in,1,7.113352745771408,1.0,0.01872495487885944,1.9994534991460722
1,burn-in,2,7.1795656168833375,1.0,0.04690158233906461,2.122026932320238
2,burn-in,3,7.089108583517373,1.0,0.14582826832885934,1.9648937463425222
3,burn-in,4,7.124252748675644,0.75,0.10312262062002482,1.9648937463425222
4,burn-in,5,7.119102315977216,0.6,0.15650646113527805,1.9648937463425222
5,burn-in,6,7.1205793069675565,0.6666666666666666,0.23387264493359078,0.6512340542733845
6,burn-in,7,7.128351840190589,0.7142857142857143,0.7325184147969309,1.2144695343066008
7,burn-in,8,7.116714121773839,0.625,0.09900666829943708,1.2144695343066008
8,burn-in,9,7.113343725912273,0.6666666666666666,0.30233550226453393,0.8205344683402626
9,burn-in,10,7.172979780472815,0.7,0.657515719799024,0.8115923989884476
10,burn-in,11,7.087201242335141,0.6363636363636364,0.08397939785593875,0.8115923989884476
11,burn-in,12,7.152240825816989,0.6666666666666666,0.15209880706883414,0.9035341784381666
12,burn-in,13,7.0871290899813175,0.6923076923076923,0.4502664197659923,1.3321184903402061
13,burn-in,14,7.134183826856315,0.6428571428571429,0.06548052630364955,1.3321184903402061
14,burn-in,15,7.132878023199737,0.6666666666666666,0.19139491574520434,1.2745167916935527
15,burn-in,16,7.071015292778611,0.6875,0.5504929921115161,1.0140527683480078
16,burn-in,17,7.137631478719413,0.6470588235294118,0.07340250614057231,1.0140527683480078
17,burn-in,18,7.147611394524574,0.6666666666666666,0.07967162607175264,1.1017001052490585
18,burn-in,19,7.2056139931082726,0.6842105263157895,0.22439466273526462,1.016052040164679
19,burn-in,20,7.0937042366713285,0.7,0.6209999498252157,1.3445315927616823
20,burn-in,21,7.135879484936595,0.6666666666666666,0.08780260157819762,1.3445315927616823
21,burn-in,22,7.111963759176433,0.6818181818181818,0.1431967765942982,0.8656130807909207
22,burn-in,23,7.120855771005154,0.6956521739130435,0.387171818900011,1.410411886674211
23,burn-in,24,7.126127699390054,0.7083333333333334,1.028925304868803,1.0382136285789874
24,burn-in,25,7.14759112149477,0.68,0.15440149687632418,1.0382136285789874
25,burn-in,26,7.117907768115401,0.6923076923076923,0.40654820361590044,1.1737554605525429
26,burn-in,27,7.125057145953178,0.7037037037037037,1.052888428737395,1.014689289541526
27,burn-in,28,7.1678142212331295,0.6785714285714286,0.16562056130187042,1.014689289541526
28,burn-in,29,7.121411300264299,0.6896551724137931,0.42526115551483085,1.1858327491154592
29,burn-in,30,7.148376855999231,0.7,0.6886529896653368,0.9918730385392314
30,burn-in,31,7.103221642784774,0.7096774193548387,0.16200853745542285,0.7888707464127614
31,burn-in,32,7.174711364321411,0.71875,0.2130264186749661,1.6450811582101443
32,burn-in,33,7.17829217761755,0.7272727272727273,0.5294112902421899,1.112418841933607
33,burn-in,34,7.158994382247329,0.7058823529411765,0.25854762982936724,1.112418841933607
34,burn-in,35,7.17089922260493,0.7142857142857143,0.6323925842586953,1.1152299374658645
35,burn-in,36,7.168121913447976,0.6944444444444444,0.11230894610269275,1.1152299374658645
36,burn-in,37,7.138537448830903,0.7027027027027027,0.26823724133410787,1.0054442356011184
37,burn-in,38,7.185319433920085,0.7105263157894737,0.6426213767702104,0.9576296140364955
38,burn-in,39,7.131143511272967,0.6923076923076923,0.11875595860859163,0.9576296140364955
39,burn-in,40,7.116625406779349,0.675,0.12030291376231768,0.9576296140364955
40,burn-in,41,7.178802314214408,0.6829268292682927,0.09398172389422187,1.2082405685663182
41,burn-in,42,7.1480745719745755,0.6904761904761905,0.2211978216368202,0.976406788949966
42,burn-in,43,7.100726770237088,0.6976744186046512,0.505458821108829,1.1605414371665657
43,burn-in,44,7.160568051040173,0.7045454545454546,0.8801378518611578,1.0708854806805888
44,burn-in,45,7.118657273240387,0.6888888888888889,0.17464739013029681,1.0708854806805888
45,burn-in,46,7.169688556343317,0.6956521739130435,0.3736701551963794,1.096338563000305
46,burn-in,47,7.154611150734127,0.7021276595744681,0.2988135144145454,1.4046348610219093
47,burn-in,48,7.143271844834089,0.7083333333333334,0.6736696858412321,1.39125848900918
48,burn-in,49,7.147932353429496,0.6938775510204082,0.29181619546342624,1.39125848900918
49,burn-in,50,7.13856156822294,0.7,0.5642772622665211,1.3892028299083423
