step,phase,step_in_phase,dt,accept_rate,step_size,obs_noise_std
0,burn-in,1,7.200768396258354,1.0,0.016891334986901357,1.999459896710817
1,burn-in,2,7.176390387117863,0.5,0.029431401292505946,1.999459896710817
2,burn-in,3,7.1827921606600285,0.6666666666666666,0.08610893106012427,1.9706107994315871
3,burn-in,4,7.170743045397103,0.75,0.2734473299643594,0.9549315967934857
4,burn-in,5,7.13761362247169,0.8,0.8965220901784707,1.057635209566933
5,burn-in,6,7.116129526868463,0.6666666666666666,0.1383258456912143,1.057635209566933
6,burn-in,7,7.179172297008336,0.7142857142857143,0.35757630630800696,1.2877087459333356
7,burn-in,8,7.126190208829939,0.75,1.1118952829680022,1.1614156713690944
8,burn-in,9,7.186733664944768,0.6666666666666666,0.14605352154741283,1.1614156713690944
9,burn-in,10,7.1770645612850785,0.7,0.4434087132008485,1.088641734528378
10,burn-in,11,7.086505452170968,0.6363636363636364,0.4094937622633509,1.088641734528378
11,burn-in,12,7.1323856161907315,0.6666666666666666,0.1522256657376692,0.7954927291495999
12,burn-in,13,7.162849538959563,0.6923076923076923,0.4506403055896887,1.4728587796324861
13,burn-in,14,7.108889834955335,0.7142857142857143,1.3143243111803475,1.0332326241191028
14,burn-in,15,7.153448350727558,0.6666666666666666,0.17009633388342796,1.0332326241191028
15,burn-in,16,7.121477241627872,0.6875,0.48963367230540206,1.1898191377868519
16,burn-in,17,7.120541828684509,0.7058823529411765,0.5014982153897192,1.29583137109617
17,burn-in,18,7.099013017490506,0.7222222222222222,1.405132471388243,1.2257276460512305
18,burn-in,19,7.131403696723282,0.6842105263157895,0.19137026074422353,1.2257276460512305
19,burn-in,20,7.1682632472366095,0.7,0.4555605545480371,1.14806008161602
20,burn-in,21,7.145249599590898,0.7142857142857143,0.8702845887329119,1.1919396901906334
21,burn-in,22,7.1404844196513295,0.6818181818181818,0.12465961446976104,1.1919396901906334
22,burn-in,23,7.174445212818682,0.6956521739130435,0.3089383693076411,1.1158704938222235
23,burn-in,24,7.161258341744542,0.7083333333333334,0.778191180112746,1.116977374171744
24,burn-in,25,7.1139367977157235,0.68,0.11705496171318852,1.116977374171744
25,burn-in,26,7.1814473029226065,0.6923076923076923,0.3089409487073611,1.1330648395712721
26,burn-in,27,7.132774271070957,0.7037037037037037,0.8019705196520521,1.1353098487749216
27,burn-in,28,7.191543192602694,0.6785714285714286,0.12644134948982752,1.1353098487749216
28,burn-in,29,7.173290868289769,0.6551724137931034,0.1378336464789255,1.1353098487749216
29,burn-in,30,7.103502141311765,0.6666666666666666,0.3049993154913541,1.1487069070089087
30,burn-in,31,7.127398823387921,0.6774193548387096,0.38074922472785455,1.2044960270929754
31,burn-in,32,7.127744729630649,0.65625,0.11955233114562347,1.2044960270929754
32,burn-in,33,7.143774603493512,0.6363636363636364,0.251415374293728,1.2044960270929754
33,burn-in,34,7.204981936141849,0.6470588235294118,0.6194692347116837,1.1791148888680685
34,burn-in,35,7.196744033135474,0.6285714285714286,0.14126053768367902,1.1791148888680685
35,burn-in,36,7.171758252196014,0.6388888888888888,0.24761844588537243,0.9080456806323869
36,burn-in,37,7.110709930770099,0.6486486486486487,0.5975726405515883,1.2530423776374118
37,burn-in,38,7.109183610416949,0.631578947368421,0.11097978719762588,1.2530423776374118
38,burn-in,39,7.145111775957048,0.6410256410256411,0.2415536401801365,1.3169372062012419
39,burn-in,40,7.161252487450838,0.65,0.5716897496561268,1.0998869603465875
40,burn-in,41,7.146232478320599,0.6341463414634146,0.1102052244675914,1.0998869603465875
41,burn-in,42,7.1217659106478095,0.6428571428571429,0.2590787798473789,1.0180543744897672
42,burn-in,43,7.156108169816434,0.6511627906976745,0.6015997932896987,1.1055528576184668
43,burn-in,44,7.354957373812795,0.6363636363636364,0.118311060623153,1.1055528576184668
44,burn-in,45,7.135601411573589,0.6444444444444445,0.2517514898335744,1.0831681822191186
45,burn-in,46,7.186003975570202,0.6304347826086957,0.2355811558722667,1.0831681822191186
46,burn-in,47,7.18379501439631,0.6382978723404256,0.23508109161073792,0.8881720041038668
47,burn-in,48,7.256086145527661,0.6458333333333334,0.5308566183331292,1.2407701205373032
48,burn-in,49,7.143932359293103,0.6326530612244898,0.1105272195826148,1.2407701205373032
49,burn-in,50,7.214479357935488,0.62,0.16006763495856038,1.2407701205373032
50,burn-in,51,7.219801311381161,0.6,0.23554838703201195,1.2407701205373032
51,burn-in,52,7.179682034999132,0.62,0.24875067171080717,1.1868879703947854
52,burn-in,53,7.1880414905026555,0.62,0.4165451755717684,0.9314163481827367
53,burn-in,54,7.162675814703107,0.62,0.9086257473196632,0.9517505183886105
54,burn-in,55,7.173705987632275,0.6,0.20038516961293568,0.9517505183886105
55,burn-in,56,7.187087096273899,0.62,0.24790555859611463,1.3000450427756887
56,burn-in,57,7.171833051368594,0.62,0.48556920785772856,1.2455814984426912
57,burn-in,58,7.202342908829451,0.6,0.1645145789658759,1.2455814984426912
58,burn-in,59,7.164791813120246,0.62,0.35260559607984376,1.0498779752644969
59,burn-in,60,7.152384897693992,0.62,0.16192117298878775,1.4035099897945944
60,burn-in,61,7.166469281539321,0.64,0.21954465888051514,0.8443606415644488
61,burn-in,62,7.170784150250256,0.64,0.4636120760591834,1.327782829871622
62,burn-in,63,7.1659612180665135,0.64,0.1390518732404128,0.7565394551537611
63,burn-in,64,7.12351362593472,0.64,0.29194349159742755,1.496527566132929
64,burn-in,65,7.195317076519132,0.66,0.6078683169387457,1.3454441845877694
65,burn-in,66,7.129655139520764,0.64,0.148018350965588,1.3454441845877694
66,burn-in,67,7.143265886232257,0.64,0.306904434985792,0.8500349770613707
67,burn-in,68,7.145455120131373,0.64,0.4054804636714033,0.890269354958006
68,burn-in,69,7.161227256059647,0.66,0.829661035087892,0.9997436348395807
69,burn-in,70,7.178072724491358,0.64,0.20803743136034844,0.9997436348395807
70,burn-in,71,7.164769402705133,0.64,0.42401507533151844,1.127038149738131
71,burn-in,72,7.16812099236995,0.64,0.15216924104708,1.127038149738131
72,burn-in,73,7.086727970279753,0.64,0.21206922362199335,1.2100191366269464
73,burn-in,74,7.155997906811535,0.64,0.4275250466384258,1.0060759147787335
74,burn-in,75,7.119893532246351,0.64,0.17174837569777981,1.0060759147787335
75,burn-in,76,7.132666543126106,0.64,0.2382244298017797,1.244691755875145
76,burn-in,77,7.136677240021527,0.64,0.4750181968700563,1.1536591865591073
77,burn-in,78,7.173043504357338,0.64,0.30642756208065614,1.1536591865591073
78,burn-in,79,7.165052285417914,0.66,0.6062072115313573,1.1195639862936102
79,burn-in,80,7.190982076339424,0.64,0.28558968966960097,1.1195639862936102
80,burn-in,81,7.191812630742788,0.64,0.28558968966960097,1.122038758377357
81,burn-in,82,7.203471907414496,0.66,0.28558968966960097,1.1001047034280693
82,burn-in,83,7.171727010048926,0.68,0.28558968966960097,1.0837336929912769
83,burn-in,84,7.153078415431082,0.68,0.28558968966960097,1.106999519631499
84,burn-in,85,7.1888378001749516,0.68,0.28558968966960097,1.106999519631499
85,burn-in,86,7.161043418571353,0.68,0.28558968966960097,0.8301709540507611
86,burn-in,87,7.175800922326744,0.68,0.28558968966960097,0.8668878924362786
87,burn-in,88,7.164743158966303,0.7,0.28558968966960097,1.0794538428484433
88,burn-in,89,7.133528823964298,0.68,0.28558968966960097,1.0794538428484433
89,burn-in,90,7.148012714460492,0.68,0.28558968966960097,1.1286983244142141
90,burn-in,91,7.372474222443998,0.7,0.28558968966960097,1.2266315911661096
91,burn-in,92,7.165732909925282,0.7,0.28558968966960097,1.2395238374777369
92,burn-in,93,7.195810271427035,0.7,0.28558968966960097,1.2806304220531832
93,burn-in,94,7.173423956148326,0.72,0.28558968966960097,1.4444312305898164
94,burn-in,95,7.156257106922567,0.72,0.28558968966960097,1.177478913126176
95,burn-in,96,7.1809541173279285,0.74,0.28558968966960097,1.097058526916445
96,burn-in,97,7.232781286351383,0.74,0.28558968966960097,1.1018300144851305
97,burn-in,98,7.176608509384096,0.74,0.28558968966960097,0.9961346444675693
98,burn-in,99,7.164340176619589,0.76,0.28558968966960097,1.1240578316511414
99,burn-in,100,7.19805343542248,0.78,0.28558968966960097,0.9461699916391062
100,sample,1,7.149460175074637,0.8,0.28558968966960097,1.105792435854728
101,sample,2,7.165805136784911,0.8,0.28558968966960097,1.023866653451988
102,sample,3,7.16996063105762,0.8,0.28558968966960097,1.0339235721075444
103,sample,4,7.2024636482819915,0.8,0.28558968966960097,1.047534205968702
104,sample,5,7.167005421593785,0.82,0.28558968966960097,1.1128568846039641
105,sample,6,7.120902423746884,0.82,0.28558968966960097,1.184452380889926
106,sample,7,7.158627320080996,0.82,0.28558968966960097,1.144664616646295
107,sample,8,7.152830561622977,0.84,0.28558968966960097,1.3402715223999746
108,sample,9,7.122326445765793,0.84,0.28558968966960097,1.405435484442511
109,sample,10,7.128099660389125,0.84,0.28558968966960097,1.3491837053332079
110,sample,11,7.1291613057255745,0.84,0.28558968966960097,1.420221504279693
111,sample,12,7.209546943195164,0.84,0.28558968966960097,1.3261225171442763
112,sample,13,7.214673661626875,0.82,0.28558968966960097,1.3261225171442763
113,sample,14,7.153243445791304,0.82,0.28558968966960097,1.191234429323678
114,sample,15,7.114818417467177,0.82,0.28558968966960097,1.1150509476194872
115,sample,16,7.093946076929569,0.84,0.28558968966960097,1.3915814898078465
116,sample,17,7.171528082340956,0.84,0.28558968966960097,1.3984812831754447
117,sample,18,7.159476303495467,0.84,0.28558968966960097,1.188177990813726
118,sample,19,7.211108827963471,0.84,0.28558968966960097,1.0489173994037206
119,sample,20,7.1815315475687385,0.84,0.28558968966960097,1.0489173994037206
120,sample,21,7.1690666088834405,0.84,0.28558968966960097,1.0669254519704665
121,sample,22,7.209202307276428,0.86,0.28558968966960097,1.0201639600961083
122,sample,23,7.179925532080233,0.86,0.28558968966960097,1.0397254030234309
123,sample,24,7.149909566156566,0.86,0.28558968966960097,0.897278152392096
124,sample,25,7.163672751747072,0.86,0.28558968966960097,0.897278152392096
125,sample,26,7.152073769830167,0.86,0.28558968966960097,0.9824179043284934
126,sample,27,7.201095557771623,0.84,0.28558968966960097,0.9824179043284934
127,sample,28,7.177670347504318,0.86,0.28558968966960097,1.147248246848616
128,sample,29,7.167066835798323,0.86,0.28558968966960097,0.9559656938411897
129,sample,30,7.183993331156671,0.86,0.28558968966960097,0.9559656938411897
130,sample,31,7.218832366168499,0.86,0.28558968966960097,0.9644425996196514
131,sample,32,7.2218070132657886,0.84,0.28558968966960097,0.9644425996196514
132,sample,33,7.157366085797548,0.82,0.28558968966960097,0.9644425996196514
133,sample,34,7.257921733893454,0.8,0.28558968966960097,0.9644425996196514
134,sample,35,7.182412744499743,0.8,0.28558968966960097,0.9644425996196514
135,sample,36,7.192905271425843,0.8,0.28558968966960097,0.9583909783698774
136,sample,37,7.175433607771993,0.78,0.28558968966960097,0.9583909783698774
137,sample,38,7.146223031915724,0.78,0.28558968966960097,1.0098488217078299
138,sample,39,7.17128983233124,0.78,0.28558968966960097,1.0098488217078299
139,sample,40,7.186347667127848,0.78,0.28558968966960097,0.9395469075533623
140,sample,41,7.189432766288519,0.78,0.28558968966960097,0.896432077863628
141,sample,42,7.175401849672198,0.78,0.28558968966960097,0.9531713574974797
142,sample,43,7.228082045912743,0.76,0.28558968966960097,0.9531713574974797
143,sample,44,7.1547167068347335,0.76,0.28558968966960097,0.7411977494564923
144,sample,45,7.230799111537635,0.76,0.28558968966960097,0.8130646489737895
145,sample,46,7.158217656426132,0.76,0.28558968966960097,0.9599737682629591
146,sample,47,7.1559276999905705,0.76,0.28558968966960097,1.0290750859161213
147,sample,48,7.158697985112667,0.76,0.28558968966960097,0.9631471328516784
148,sample,49,7.22936768271029,0.76,0.28558968966960097,1.1086630654246696
149,sample,50,7.146621222607791,0.76,0.28558968966960097,1.1356871086849587
150,sample,51,7.250594295561314,0.74,0.28558968966960097,1.1356871086849587
151,sample,52,7.187112078070641,0.74,0.28558968966960097,1.1507098203445416
152,sample,53,7.158054470084608,0.74,0.28558968966960097,0.9609199681416474
153,sample,54,7.201316791586578,0.74,0.28558968966960097,0.9667239994821182
154,sample,55,7.168659401126206,0.74,0.28558968966960097,0.9894907579338376
155,sample,56,7.143635186366737,0.72,0.28558968966960097,0.9894907579338376
156,sample,57,7.220855820924044,0.7,0.28558968966960097,0.9894907579338376
157,sample,58,7.158041276969016,0.68,0.28558968966960097,0.9894907579338376
158,sample,59,7.216372271068394,0.68,0.28558968966960097,0.8703034188061819
159,sample,60,7.179670678451657,0.68,0.28558968966960097,0.802014136714778
160,sample,61,7.138161711394787,0.68,0.28558968966960097,1.3370091467729261
161,sample,62,7.182480534538627,0.68,0.28558968966960097,1.2995922234391422
162,sample,63,7.0837080758064985,0.7,0.28558968966960097,1.0804148222421566
163,sample,64,7.13829798437655,0.7,0.28558968966960097,1.008555408401604
164,sample,65,7.145263503305614,0.7,0.28558968966960097,0.9101462171173949
165,sample,66,7.152490563690662,0.68,0.28558968966960097,0.9101462171173949
166,sample,67,7.101732726208866,0.68,0.28558968966960097,0.7666574291520548
167,sample,68,7.1581769324839115,0.68,0.28558968966960097,0.7765307500210094
168,sample,69,7.2300735507160425,0.68,0.28558968966960097,0.7598593108332251
169,sample,70,7.127379667945206,0.7,0.28558968966960097,0.8597511413821556
170,sample,71,7.140629625879228,0.7,0.28558968966960097,0.7189823208565992
171,sample,72,7.186924755573273,0.7,0.28558968966960097,0.9255341145923723
172,sample,73,7.120617333799601,0.7,0.28558968966960097,0.8971973649624719
173,sample,74,7.174174009822309,0.7,0.28558968966960097,0.9294239904591979
174,sample,75,7.158334854058921,0.72,0.28558968966960097,1.0494824486280492
175,sample,76,7.088259412907064,0.72,0.28558968966960097,1.0390902900128043
176,sample,77,7.124412042088807,0.74,0.28558968966960097,1.1157845306086724
177,sample,78,7.17627586144954,0.74,0.28558968966960097,0.8757674755963297
178,sample,79,7.134445789270103,0.74,0.28558968966960097,1.2491435213502928
179,sample,80,7.177120161242783,0.76,0.28558968966960097,1.2284644835453646
180,sample,81,7.191640295088291,0.76,0.28558968966960097,1.5528630821524003
181,sample,82,7.110996044240892,0.78,0.28558968966960097,0.8659489221433899
182,sample,83,7.168250393122435,0.8,0.28558968966960097,1.0360913453356595
183,sample,84,7.196141862310469,0.82,0.28558968966960097,1.0331664472806263
184,sample,85,7.199427414685488,0.84,0.28558968966960097,0.9862305986805974
185,sample,86,7.170559035614133,0.82,0.28558968966960097,0.9862305986805974
186,sample,87,7.134450638666749,0.84,0.28558968966960097,1.1247198628212693
187,sample,88,7.246847242116928,0.82,0.28558968966960097,1.1247198628212693
188,sample,89,7.175396436825395,0.84,0.28558968966960097,1.0985339714230928
189,sample,90,7.170427110977471,0.82,0.28558968966960097,1.0985339714230928
190,sample,91,7.371225683018565,0.82,0.28558968966960097,1.0281424104498351
191,sample,92,7.232097443193197,0.82,0.28558968966960097,1.1347578470420048
192,sample,93,7.1923255901783705,0.82,0.28558968966960097,1.1347578470420048
193,sample,94,7.1838757041841745,0.82,0.28558968966960097,1.0518660969073401
194,sample,95,7.206353282555938,0.82,0.28558968966960097,1.2149749919893067
195,sample,96,7.169135331176221,0.82,0.28558968966960097,0.9860646501267863
196,sample,97,7.188519070856273,0.82,0.28558968966960097,1.1169874529018964
197,sample,98,7.154746855609119,0.82,0.28558968966960097,1.2667765835026936
198,sample,99,7.194369786418974,0.82,0.28558968966960097,1.4293884049862755
199,sample,100,7.145945707336068,0.82,0.28558968966960097,1.4626818374449246
200,sample,101,7.186093021184206,0.84,0.28558968966960097,1.3853061797202733
201,sample,102,7.182869542390108,0.84,0.28558968966960097,1.334786883527581
202,sample,103,7.199041749350727,0.84,0.28558968966960097,1.3063701893826478
203,sample,104,7.190687605179846,0.84,0.28558968966960097,1.404075175200906
204,sample,105,7.169444074854255,0.84,0.28558968966960097,1.1951967181654066
205,sample,106,7.21424678619951,0.86,0.28558968966960097,1.4967584111510113
206,sample,107,7.201136177405715,0.86,0.28558968966960097,1.4967584111510113
207,sample,108,7.167574364691973,0.88,0.28558968966960097,1.1466877316861412
208,sample,109,7.188802492804825,0.88,0.28558968966960097,1.0883776178504425
209,sample,110,7.193452522158623,0.88,0.28558968966960097,1.1863293628148046
210,sample,111,7.197640210390091,0.86,0.28558968966960097,1.1863293628148046
211,sample,112,7.142565418034792,0.86,0.28558968966960097,1.1925008176078609
212,sample,113,7.183709722012281,0.86,0.28558968966960097,1.2594844519139727
213,sample,114,7.144368824549019,0.86,0.28558968966960097,1.1980251719622768
214,sample,115,7.176066399551928,0.86,0.28558968966960097,1.2041598493659937
215,sample,116,7.163722920231521,0.88,0.28558968966960097,1.0847386618446397
216,sample,117,7.143059737980366,0.88,0.28558968966960097,0.8778493985050565
217,sample,118,7.144109754823148,0.88,0.28558968966960097,1.0911194870116876
218,sample,119,7.195299465209246,0.88,0.28558968966960097,1.2708173546464225
219,sample,120,7.198528844863176,0.88,0.28558968966960097,1.156283834219822
220,sample,121,7.161464838311076,0.88,0.28558968966960097,1.1760586583360886
221,sample,122,7.103889140300453,0.88,0.28558968966960097,1.5611877564008922
222,sample,123,7.172689191065729,0.88,0.28558968966960097,1.4953917179128389
223,sample,124,7.104715506546199,0.88,0.28558968966960097,1.2558485580482532
224,sample,125,7.112246605567634,0.86,0.28558968966960097,1.2558485580482532
225,sample,126,7.147979314438999,0.86,0.28558968966960097,1.443486242619935
226,sample,127,7.1959778387099504,0.86,0.28558968966960097,1.2698283594434552
227,sample,128,7.144152113236487,0.86,0.28558968966960097,1.064411486666344
228,sample,129,7.192086313851178,0.86,0.28558968966960097,1.1697676127497068
229,sample,130,7.214021758176386,0.86,0.28558968966960097,1.2878963940900936
230,sample,131,7.158380770124495,0.86,0.28558968966960097,1.2592086933354043
231,sample,132,7.168652811087668,0.86,0.28558968966960097,1.209467992689077
232,sample,133,7.111532471142709,0.86,0.28558968966960097,1.1151943540787586
233,sample,134,7.158299812115729,0.86,0.28558968966960097,1.2425328026016105
234,sample,135,7.1257246332243085,0.86,0.28558968966960097,1.2608082614392087
235,sample,136,7.155634121969342,0.88,0.28558968966960097,1.2270612304786759
236,sample,137,7.14588054921478,0.88,0.28558968966960097,1.2015997717943327
237,sample,138,7.169160098768771,0.9,0.28558968966960097,1.091282978976883
238,sample,139,7.152020835317671,0.9,0.28558968966960097,1.2249017881312039
239,sample,140,7.12643238902092,0.92,0.28558968966960097,1.2139254471642789
240,sample,141,7.168639979325235,0.92,0.28558968966960097,1.2668068632484724
241,sample,142,7.157013952732086,0.92,0.28558968966960097,1.2854597181442111
242,sample,143,7.106600563973188,0.94,0.28558968966960097,1.1769588768236154
243,sample,144,7.091634609736502,0.94,0.28558968966960097,1.160395331108419
244,sample,145,7.145774324424565,0.92,0.28558968966960097,1.160395331108419
245,sample,146,7.1257166946306825,0.92,0.28558968966960097,1.0208162034201056
246,sample,147,7.12621349375695,0.92,0.28558968966960097,0.9861770408591904
247,sample,148,7.151290347799659,0.92,0.28558968966960097,1.0195580691245631
248,sample,149,7.106447777710855,0.9,0.28558968966960097,1.0195580691245631
249,sample,150,7.14141861628741,0.88,0.28558968966960097,1.0195580691245631
250,sample,151,7.106931293383241,0.88,0.28558968966960097,1.1504566118959905
251,sample,152,7.187484818510711,0.86,0.28558968966960097,1.1504566118959905
252,sample,153,7.121012945659459,0.86,0.28558968966960097,1.3038551775446547
253,sample,154,7.161165141500533,0.86,0.28558968966960097,1.0589684895139742
254,sample,155,7.305100079625845,0.86,0.28558968966960097,1.3137336289130568
255,sample,156,7.125306152738631,0.86,0.28558968966960097,1.2816029928356334
256,sample,157,7.101113327778876,0.88,0.28558968966960097,1.1200960895917593
257,sample,158,7.146867340430617,0.88,0.28558968966960097,0.9687976737900564
258,sample,159,7.168823139742017,0.86,0.28558968966960097,0.9687976737900564
259,sample,160,7.143051292747259,0.86,0.28558968966960097,1.1213347547284827
260,sample,161,7.154036312364042,0.88,0.28558968966960097,1.2070773921472744
261,sample,162,7.1412762561813,0.88,0.28558968966960097,1.145591465454205
262,sample,163,7.179246752522886,0.88,0.28558968966960097,1.230958082741865
263,sample,164,7.139059777371585,0.88,0.28558968966960097,1.1534207759359871
264,sample,165,7.170636615715921,0.88,0.28558968966960097,1.0221718124612942
265,sample,166,7.180006432347,0.88,0.28558968966960097,1.030307970353435
266,sample,167,7.1775696678087115,0.88,0.28558968966960097,0.9650235408384202
267,sample,168,7.195854525081813,0.88,0.28558968966960097,0.9306218728657106
268,sample,169,7.162175796926022,0.88,0.28558968966960097,1.2111217085686894
269,sample,170,7.2032187432050705,0.88,0.28558968966960097,1.1438420440477077
270,sample,171,7.185481438413262,0.88,0.28558968966960097,1.111809069959923
271,sample,172,7.153599787503481,0.88,0.28558968966960097,1.2877745613881577
272,sample,173,7.17167756985873,0.88,0.28558968966960097,1.2510374143876624
273,sample,174,7.178123784251511,0.88,0.28558968966960097,1.1988016476419987
274,sample,175,7.201660060323775,0.9,0.28558968966960097,1.2362470295112724
275,sample,176,7.1676355842500925,0.9,0.28558968966960097,1.4015859956459706
276,sample,177,7.2088429275900126,0.9,0.28558968966960097,1.351408700964016
277,sample,178,7.157394777983427,0.9,0.28558968966960097,1.361795511939247
278,sample,179,7.205623108893633,0.9,0.28558968966960097,1.3161257577117162
279,sample,180,7.1738414112478495,0.9,0.28558968966960097,1.4833251160478023
280,sample,181,7.182253235019743,0.9,0.28558968966960097,1.0571463344486602
281,sample,182,7.249336760491133,0.9,0.28558968966960097,1.0277755735914846
282,sample,183,7.18656020052731,0.9,0.28558968966960097,0.9985315834672032
283,sample,184,7.166921655647457,0.9,0.28558968966960097,0.9724057174418214
284,sample,185,7.177031293511391,0.9,0.28558968966960097,1.0421417624641949
285,sample,186,7.198511864058673,0.9,0.28558968966960097,1.2410720068241121
286,sample,187,7.155014210380614,0.9,0.28558968966960097,1.196300014946838
287,sample,188,7.190697405487299,0.9,0.28558968966960097,1.1462262452962153
288,sample,189,7.1720324624329805,0.9,0.28558968966960097,1.1961641790129665
289,sample,190,7.222716360352933,0.9,0.28558968966960097,1.2461568838734602
290,sample,191,7.174046443775296,0.9,0.28558968966960097,1.1386117565274558
291,sample,192,7.192398212850094,0.9,0.28558968966960097,0.8271672785059243
