step,phase,step_in_phase,dt,accept_rate,step_size,process_noise_std,obs_noise_std
0,burn-in,1,7.587085830979049,1.0,0.018894981280992946,1.999476423000638,2.002238972354005
1,burn-in,2,7.72045552264899,1.0,0.052061882129610826,2.1310313067609763,1.8221607778543851
2,burn-in,3,7.567241393961012,1.0,0.11556221973839592,1.978287345671725,1.5059102365919552
3,burn-in,4,7.950482758693397,1.0,0.28453688350762785,0.7930925586955541,0.5643373771653104
4,burn-in,5,8.00995571911335,0.8,0.04739809791800207,0.7930925586955541,0.5643373771653104
5,burn-in,6,8.126332113519311,0.8333333333333334,0.1443461738711711,1.1414615987660444,1.001622854908386
6,burn-in,7,7.89997976180166,0.8571428571428571,0.365542708573421,0.9676169266931862,1.0487700566784504
7,burn-in,8,8.150113916024566,0.75,0.04907609771850571,0.9676169266931862,1.0487700566784504
8,burn-in,9,8.346934154629707,0.7777777777777778,0.14935533937766288,0.7317698304144407,0.9389585586186904
9,burn-in,10,8.1311175795272,0.8,0.2815360613898105,0.7884110179959966,1.5466880656954842
10,burn-in,11,8.149409008212388,0.7272727272727273,0.6876787536127187,0.7884110179959966,1.5466880656954842
11,burn-in,12,7.765971424989402,0.6666666666666666,0.08767345265106732,0.7884110179959966,1.5466880656954842
12,burn-in,13,8.127960158511996,0.6923076923076923,0.2601773738513445,0.6721896130209751,1.3410626520413442
13,burn-in,14,8.192023290321231,0.7142857142857143,0.23680653763095036,1.1128720804311818,1.1274547770153271
14,burn-in,15,8.237179243005812,0.7333333333333333,0.6865807559916053,0.6064824716816548,1.2520216286842982
15,burn-in,16,7.843033948913217,0.6875,0.09023589018799164,0.6064824716816548,1.2520216286842982
16,burn-in,17,8.369306710548699,0.7058823529411765,0.25855299546340194,0.7070539129617741,1.1321696017764373
17,burn-in,18,8.235449071973562,0.7222222222222222,0.7281647239960479,0.9011774900447774,1.0448130013556223
18,burn-in,19,7.587954479269683,0.6842105263157895,0.09969604903204796,0.9011774900447774,1.0448130013556223
19,burn-in,20,8.28288157749921,0.7,0.0830688055331093,0.5968178054324055,1.3935534545340014
20,burn-in,21,8.455172764137387,0.7142857142857143,0.2296936524065736,0.7010827041699961,0.9696277100639961
21,burn-in,22,8.237635299563408,0.7272727272727273,0.6240825509529084,0.8382136779336887,1.076493438791789
22,burn-in,23,7.91135885566473,0.6956521739130435,0.09108932704976838,0.8382136779336887,1.076493438791789
23,burn-in,24,8.21191127691418,0.6666666666666666,0.08294722141409348,0.8382136779336887,1.076493438791789
24,burn-in,25,8.322419605217874,0.68,0.22143685409239014,0.8054492059542844,1.0751807878576658
25,burn-in,26,8.209010131657124,0.6538461538461539,0.4685039155669818,0.8054492059542844,1.0751807878576658
26,burn-in,27,7.912951414473355,0.6296296296296297,0.07305400117815969,0.8054492059542844,1.0751807878576658
27,burn-in,28,8.191078416071832,0.6428571428571429,0.06170040033784806,0.6255558445502034,1.5410941669268141
28,burn-in,29,8.167637993581593,0.6551724137931034,0.15974570187029216,0.7881606884683962,1.2890577365708469
29,burn-in,30,8.181020862422884,0.6666666666666666,0.4070798708427737,0.7013551041470967,1.0690011923011589
30,burn-in,31,8.146505089476705,0.6774193548387096,0.08214896444796695,0.9868512930928796,1.253194353431406
31,burn-in,32,7.823864512145519,0.6875,0.18105813303241108,1.2553964752447035,1.0854084911992081
32,burn-in,33,8.232836891897023,0.696969696969697,0.45055786364706746,0.5079617351209208,1.4138133765478955
33,burn-in,34,8.1357906088233,0.7058823529411765,0.5751841336777437,0.5023753734639791,1.2053119179746543
34,burn-in,35,7.586277940310538,0.6857142857142857,0.10082608903624217,0.5023753734639791,1.2053119179746543
35,burn-in,36,8.41322191618383,0.6944444444444444,0.24672445520626599,0.7436549572851879,1.2683967818971522
36,burn-in,37,8.248747567646205,0.7027027027027027,0.2715971845375761,0.8252510131893492,1.264894680987101
37,burn-in,38,8.23901963699609,0.7105263157894737,0.6506085804358037,0.7104667351112176,1.303534362769515
38,burn-in,39,7.811390841379762,0.6923076923076923,0.12022069755246056,0.7104667351112176,1.303534362769515
