step,phase,step_in_phase,dt,accept_rate,step_size,process_noise_std,obs_noise_std
0,burn-in,1,7.288692411035299,1.0,0.017173826684211104,1.999476029240298,2.0022390748363588
1,burn-in,2,7.231009479612112,1.0,0.045998910070811035,2.1219329134503444,1.8408732860829775
2,burn-in,3,7.28005451336503,1.0,0.11747132582173854,2.0170145363311662,1.5769327987789936
3,burn-in,4,7.298722260631621,0.75,0.07449257780875103,2.0170145363311662,1.5769327987789936
4,burn-in,5,7.32471342291683,0.8,0.2307991106036646,1.4591209650230343,1.404232790054436
5,burn-in,6,7.363895717076957,0.6666666666666666,0.12288688221545425,1.4591209650230343,1.404232790054436
6,burn-in,7,7.276672969572246,0.7142857142857143,0.3808106401392021,0.9994532959758377,0.821988178938863
7,burn-in,8,7.27692134398967,0.625,0.05114607396808033,0.9994532959758377,0.821988178938863
8,burn-in,9,7.3406395111233,0.6666666666666666,0.15568608614346466,0.8175957294729433,0.8416509765763242
9,burn-in,10,7.2701473673805594,0.7,0.24122066551736435,0.7725807224177176,1.630488190530891
10,burn-in,11,7.385000834241509,0.6363636363636364,0.4810984162944829,0.7725807224177176,1.630488190530891
11,burn-in,12,7.2978332825005054,0.5833333333333334,0.06140212537934235,0.7725807224177176,1.630488190530891
12,burn-in,13,7.322374087758362,0.6153846153846154,0.1440613134269538,0.6918971873493514,1.5550990680231025
13,burn-in,14,7.310253239236772,0.6428571428571429,0.25932812653483805,0.5841460905669331,1.03084408251705
14,burn-in,15,7.3085346864536405,0.6666666666666666,0.7514477146512509,0.7718971645772377,0.8456978485884789
15,burn-in,16,7.28296462725848,0.625,0.09869947601260247,0.7718971645772377,0.8456978485884789
16,burn-in,17,7.274565274827182,0.6470588235294118,0.030738605199691686,0.8940093944186388,1.386865051997401
17,burn-in,18,7.339910706505179,0.6666666666666666,0.06456761186786349,0.8762505354106965,1.5664504173441363
18,burn-in,19,7.293666730634868,0.6842105263157895,0.18216133054621966,0.7273257733697279,0.9448898451638121
19,burn-in,20,7.314478373154998,0.7,0.5049864078840388,0.5907321980135543,1.4067397825997954
20,burn-in,21,7.301214511506259,0.6666666666666666,0.07152309505481928,0.5907321980135543,1.4067397825997954
21,burn-in,22,7.345364107750356,0.6818181818181818,0.06297079517117835,0.4847333574304407,1.260576623100997
22,burn-in,23,7.343002368696034,0.6956521739130435,0.17145326724467572,0.635101632095517,1.3905162510202433
23,burn-in,24,7.339145490899682,0.7083333333333334,0.34402461447992716,0.7903505457385103,0.9762093988510483
24,burn-in,25,7.387572324834764,0.68,0.05490740060537491,0.7903505457385103,0.9762093988510483
25,burn-in,26,7.346434149891138,0.6923076923076923,0.14585417613944762,0.8608620086713117,1.0334715686986118
26,burn-in,27,7.33251628652215,0.7037037037037037,0.16643272961451522,0.6348117274081139,1.3460019043313338
27,burn-in,28,7.320161667652428,0.7142857142857143,0.43077435191868985,0.5995605744656554,1.1273427014421082
