step,phase,step_in_phase,dt,accept_rate,step_size,sigma_range,sigma_bearing
0,burn-in,1,97.86013986729085,0.0,0.03737988695502281,0.30000004172325134,0.30000004172325134
1,burn-in,2,98.4110282259062,0.0,0.006123642437160015,0.30000004172325134,0.30000004172325134
2,burn-in,3,98.34635851159692,0.0,0.000799081870354712,0.30000004172325134,0.30000004172325134
3,burn-in,4,98.91558582894504,0.0,0.00012279428483452648,0.30000004172325134,0.30000004172325134
4,burn-in,5,98.44007320608944,0.2,0.0002604639739729464,0.29984021186828613,0.30011478066444397
5,burn-in,6,98.32899961061776,0.3333333333333333,0.0006468937499448657,0.2998869717121124,0.3007398247718811
6,burn-in,7,98.1404499700293,0.2857142857142857,0.00011318479664623737,0.2998869717121124,0.3007398247718811
7,burn-in,8,97.89005723595619,0.375,0.0003184534143656492,0.2998442053794861,0.3006579279899597
8,burn-in,9,98.58670438826084,0.4444444444444444,0.0009329766617156565,0.3000400960445404,0.30129125714302063
9,burn-in,10,98.10176747944206,0.5,0.0021649401169270277,0.3017672896385193,0.301672101020813
10,burn-in,11,98.02823050972074,0.5454545454545454,0.0065684812143445015,0.30188313126564026,0.3015429973602295
11,burn-in,12,97.82082808297127,0.5,0.0012682118685916066,0.30188313126564026,0.3015429973602295
12,burn-in,13,97.74156224820763,0.5384615384615384,0.0038738814182579517,0.3030060827732086,0.3018111288547516
13,burn-in,14,98.45691414922476,0.5714285714285714,0.011701306328177452,0.3031448721885681,0.30519339442253113
14,burn-in,15,98.30728105921298,0.5333333333333333,0.001730582327581942,0.3031448721885681,0.30519339442253113
15,burn-in,16,98.16771763656288,0.5625,0.005225148983299732,0.30286988615989685,0.30580511689186096
16,burn-in,17,98.06852407567203,0.5294117647058824,0.0007912616129033267,0.30286988615989685,0.30580511689186096
17,burn-in,18,98.08352527394891,0.5555555555555556,0.0023728173691779375,0.3002236783504486,0.30715903639793396
18,burn-in,19,98.3532749870792,0.5789473684210527,0.005445555318146944,0.30073684453964233,0.3158588111400604
19,burn-in,20,97.85590464714915,0.6,0.01583501324057579,0.30822187662124634,0.3117120563983917
20,burn-in,21,97.97511505242437,0.6190476190476191,0.0025315082166343927,0.2848609685897827,0.2900424599647522
21,burn-in,22,98.08484813664109,0.6363636363636364,0.007285742554813623,0.2832575738430023,0.2884572744369507
22,burn-in,23,97.89021836128086,0.6521739130434783,0.02043808251619339,0.26766225695610046,0.292022705078125
23,burn-in,24,98.7868368178606,0.6666666666666666,0.05680176243185997,0.20998600125312805,0.2596485912799835
24,burn-in,25,98.69752351101488,0.64,0.00917352270334959,0.20998600125312805,0.2596485912799835
25,burn-in,26,98.27467112615705,0.6538461538461539,0.025207823142409325,0.21183951199054718,0.25309330224990845
26,burn-in,27,98.2471289858222,0.6296296296296297,0.004461264703422785,0.21183951199054718,0.25309330224990845
27,burn-in,28,98.83498615305871,0.6428571428571429,0.012139391154050827,0.21228817105293274,0.2510206997394562
28,burn-in,29,98.1699610920623,0.6206896551724138,0.002293405821546912,0.21228817105293274,0.2510206997394562
29,burn-in,30,98.06041769310832,0.6333333333333333,0.006144538056105375,0.208903506398201,0.2527018189430237
30,burn-in,31,98.0609219102189,0.6129032258064516,0.0012165959924459457,0.208903506398201,0.2527018189430237
31,burn-in,32,98.14377406332642,0.625,0.0032380614429712296,0.21010400354862213,0.2526710331439972
32,burn-in,33,99.09147162456065,0.6060606060606061,0.0007101639057509601,0.21010400354862213,0.2526710331439972
33,burn-in,34,97.95246726460755,0.6176470588235294,0.001851068576797843,0.2093791365623474,0.25156480073928833
34,burn-in,35,97.94327538553625,0.6285714285714286,0.004789361730217934,0.20914816856384277,0.2512209117412567
35,burn-in,36,98.14959623664618,0.6388888888888888,0.0010849680984392762,0.2043263018131256,0.2507917284965515
36,burn-in,37,98.43793214205652,0.6486486486486487,0.0006206032703630626,0.20419453084468842,0.2538142800331116
37,burn-in,38,98.89277598354965,0.6578947368421053,0.00158517190720886,0.2034655064344406,0.2538854777812958
38,burn-in,39,98.13223959784955,0.6666666666666666,0.003988920245319605,0.20392216742038727,0.25259140133857727
39,burn-in,40,98.20911319367588,0.675,0.009906294755637646,0.19824017584323883,0.24470777809619904
40,burn-in,41,98.28831009101123,0.6829268292682927,0.012948009185492992,0.1928170621395111,0.2506581246852875
41,burn-in,42,98.29656649380922,0.6904761904761905,0.016401341184973717,0.18038049340248108,0.24573564529418945
42,burn-in,43,99.10026327893138,0.6976744186046512,0.03951018303632736,0.16267047822475433,0.24841845035552979
43,burn-in,44,98.52724296785891,0.7045454545454546,0.09398014843463898,0.12242453545331955,0.1686871200799942
44,burn-in,45,99.45510308071971,0.6888888888888889,0.0212188009172678,0.12242453545331955,0.1686871200799942
45,burn-in,46,98.49048015289009,0.6956521739130435,0.05007580295205116,0.12073622643947601,0.1764366626739502
46,burn-in,47,99.04684403073043,0.6808510638297872,0.010932481847703457,0.12073622643947601,0.1764366626739502
47,burn-in,48,99.53920540586114,0.6666666666666666,0.0028349654749035835,0.12073622643947601,0.1764366626739502
48,burn-in,49,98.54783725179732,0.673469387755102,0.003393057966604829,0.12018415331840515,0.17464745044708252
49,burn-in,50,98.90771667845547,0.68,0.007919292896986008,0.11818355321884155,0.17514845728874207
50,burn-in,51,98.93565112259239,0.7,0.01827552542090416,0.11972551792860031,0.1672283560037613
51,burn-in,52,99.56207175273448,0.7,0.009540419094264507,0.11972551792860031,0.1672283560037613
52,burn-in,53,98.87216651346534,0.72,0.0040484340861439705,0.11875665932893753,0.15882456302642822
53,burn-in,54,98.90263507328928,0.74,0.00923069752752781,0.11982034146785736,0.15544909238815308
54,burn-in,55,98.8631255440414,0.74,0.02082669734954834,0.1293821632862091,0.15037041902542114
55,burn-in,56,98.61018185503781,0.74,0.03064393252134323,0.13178162276744843,0.15568505227565765
56,burn-in,57,99.58612680342048,0.74,0.007962580770254135,0.13178162276744843,0.15568505227565765
57,burn-in,58,98.51493466738611,0.72,0.0024488461203873158,0.13178162276744843,0.15568505227565765
58,burn-in,59,98.56397928390652,0.72,0.0054588825441896915,0.13261710107326508,0.15484197437763214
59,burn-in,60,98.59348140098155,0.72,0.012051551602780819,0.1309870481491089,0.1555432677268982
