step,phase,step_in_phase,dt,accept_rate,step_size,sigma_range,sigma_bearing
0,burn-in,1,25.974461250938475,0.0,0.1041269110159806,0.30000000000000004,0.30000000000000004
1,burn-in,2,26.03765337076038,0.5,0.2404599108291983,0.1392895093083165,0.027982239733095327
2,burn-in,3,26.098107531666756,0.3333333333333333,0.04770474008487607,0.1392895093083165,0.027982239733095327
3,burn-in,4,26.06301931105554,0.25,0.007061714672932975,0.1392895093083165,0.027982239733095327
4,burn-in,5,26.10226422827691,0.2,0.0009422110416815566,0.1392895093083165,0.027982239733095327
5,burn-in,6,26.314747082069516,0.16666666666666666,0.00012332161475506743,0.1392895093083165,0.027982239733095327
6,burn-in,7,26.129444341175258,0.14285714285714285,1.7181745249133625e-05,0.1392895093083165,0.027982239733095327
7,burn-in,8,26.116280884481966,0.125,2.836255747752771e-06,0.1392895093083165,0.027982239733095327
8,burn-in,9,26.142053700983524,0.1111111111111111,5.686532273147571e-07,0.1392895093083165,0.027982239733095327
9,burn-in,10,26.1368649257347,0.2,1.6913866765399538e-06,0.13928961196433143,0.027982350509592323
10,burn-in,11,26.0631962781772,0.2727272727272727,5.173527616093267e-06,0.13929055295454784,0.027982383815892492
11,burn-in,12,26.12024477403611,0.25,1.2276930948090211e-06,0.13929055295454784,0.027982383815892492
12,burn-in,13,26.106398531235754,0.3076923076923077,3.06703896907739e-06,0.1392903439227775,0.02798254798511044
13,burn-in,14,26.092243280261755,0.35714285714285715,9.662527146383319e-06,0.13928849839568064,0.02798283923299502
14,burn-in,15,26.101982980035245,0.3333333333333333,1.901986235661438e-06,0.13928849839568064,0.02798283923299502
15,burn-in,16,26.103067479096353,0.375,6.020211009058369e-06,0.1392882638280635,0.02798322451204783
16,burn-in,17,26.016138115897775,0.4117647058823529,1.6256511013342857e-06,0.13928644795502093,0.027982468790924912
17,burn-in,18,26.053808857686818,0.4444444444444444,5.0865993902752995e-06,0.13928650708753015,0.027982912596620047
18,burn-in,19,26.068217578344047,0.47368421052631576,6.154777482407564e-06,0.1392848116093629,0.02798144427541222
19,burn-in,20,26.09748964663595,0.45,1.5203810202857598e-06,0.1392848116093629,0.02798144427541222
20,burn-in,21,26.284243743866682,0.47619047619047616,4.694902420695122e-06,0.1392843981446809,0.027981058205548078
21,burn-in,22,26.085616695694625,0.45454545454545453,1.111836264786639e-06,0.1392843981446809,0.027981058205548078
22,burn-in,23,26.192832795903087,0.4782608695652174,3.388460920192264e-06,0.1392847101511053,0.027981152935130725
23,burn-in,24,26.19752591010183,0.4583333333333333,1.6873243196113631e-06,0.1392847101511053,0.027981152935130725
24,burn-in,25,26.146919259801507,0.44,1.9068136307477378e-06,0.1392847101511053,0.027981152935130725
25,burn-in,26,26.066905678249896,0.46153846153846156,5.6380822617212e-06,0.1392849735195524,0.027981000146648564
26,burn-in,27,25.967923399060965,0.4444444444444444,2.3051829549577505e-06,0.1392849735195524,0.027981000146648564
27,burn-in,28,26.078601258806884,0.4642857142857143,9.596563145430724e-07,0.13928339789861371,0.02798162482307686
28,burn-in,29,26.106157336384058,0.4827586206896552,2.779793942575483e-06,0.13928394533759728,0.027981607939226792
29,burn-in,30,25.96632617060095,0.5,7.911361596058347e-06,0.13928516432382038,0.027982203134717984
30,burn-in,31,26.045187851414084,0.5161290322580645,2.213009191249281e-05,0.13928112586720884,0.027982907531092647
31,burn-in,32,26.110463552176952,0.53125,6.086571197938581e-05,0.13931021462098436,0.027982942417017397
32,burn-in,33,26.03086275048554,0.5151515151515151,1.4688277444605726e-05,0.13931021462098436,0.027982942417017397
33,burn-in,34,26.173877749592066,0.5294117647058824,3.986817724164846e-05,0.13930759488776476,0.02798245669447229
34,burn-in,35,26.055405573919415,0.5428571428571428,0.0001064913913372775,0.1393058188127649,0.027982827271722126
35,burn-in,36,26.115885829553008,0.5555555555555556,0.00028003782706721616,0.13919343560376707,0.027964522991289393
36,burn-in,37,26.361385543830693,0.5675675675675675,0.00016377276305321,0.13907158870787506,0.02791022194685882
37,burn-in,38,26.09900060016662,0.5789473684210527,0.0004227501254228533,0.13913533137360057,0.027899790203041966
38,burn-in,39,26.138387573882937,0.5641025641025641,0.00010309614134460066,0.13913533137360057,0.027899790203041966
39,burn-in,40,26.085240446962416,0.55,2.21277057235412e-05,0.13913533137360057,0.027899790203041966
40,burn-in,41,26.079138807952404,0.5365853658536586,4.72650737313499e-06,0.13913533137360057,0.027899790203041966
41,burn-in,42,26.109656885266304,0.5238095238095238,1.088863089965893e-06,0.13913533137360057,0.027899790203041966
42,burn-in,43,26.105181723833084,0.5348837209302325,2.8126767211724707e-06,0.13913525804977933,0.027899819697054327
43,burn-in,44,26.021528688259423,0.5454545454545454,7.1645914813210415e-06,0.1391361720037938,0.027899628468993947
44,burn-in,45,26.02911615371704,0.5555555555555556,1.8003440945380642e-05,0.1391351541972615,0.02790003580111867
45,burn-in,46,26.00880642887205,0.5434782608695652,4.285547504194726e-06,0.1391351541972615,0.02790003580111867
46,burn-in,47,26.125636773183942,0.5531914893617021,1.0663145448031663e-05,0.1391382240091005,0.02789988484419011
47,burn-in,48,26.008926048874855,0.5416666666666666,2.5544310797960604e-06,0.1391382240091005,0.02789988484419011
48,burn-in,49,26.058094896376133,0.5510204081632653,6.2955623528173e-06,0.1391360383038708,0.027899890549121134
49,burn-in,50,25.940687409602106,0.54,1.5411018966857279e-06,0.1391360383038708,0.027899890549121134
50,burn-in,51,26.041417603380978,0.56,3.762952371851786e-06,0.13913647299682724,0.027900022315423097
51,burn-in,52,26.22817936912179,0.56,9.078301445402653e-06,0.13913537064775913,0.027899731740619313
52,burn-in,53,26.108514950610697,0.58,2.164702746515241e-05,0.1391405876303299,0.027901004112677846
53,burn-in,54,26.015092615038157,0.58,6.3998424403806785e-06,0.1391405876303299,0.027901004112677846
54,burn-in,55,26.07614795304835,0.6,1.4985008985596788e-05,0.13914027520760966,0.02790092605185893
55,burn-in,56,26.030611468479037,0.62,3.841775978196074e-06,0.13913671654176865,0.027900726716307438
56,burn-in,57,26.152471689507365,0.64,9.001970080985114e-06,0.1391352986172489,0.027901305336522665
57,burn-in,58,25.99030426237732,0.66,2.0683009932649092e-05,0.13913176876050234,0.027901468624892456
58,burn-in,59,26.020521199330688,0.68,4.745318066729739e-05,0.13915564147801615,0.0279066933183701
59,burn-in,60,26.034176046028733,0.68,3.237977123380642e-05,0.13922281599702802,0.027911475288338587
60,burn-in,61,26.045982017181814,0.66,1.8627963786054185e-05,0.13922281599702802,0.027911475288338587
61,burn-in,62,26.103302581235766,0.68,4.211222998045785e-05,0.13921971687081802,0.027911121023286394
62,burn-in,63,26.07416183501482,0.68,1.4423017732488708e-05,0.13923805059901712,0.027900703723566282
63,burn-in,64,26.031126565299928,0.66,7.597925790758981e-06,0.13923805059901712,0.027900703723566282
64,burn-in,65,26.08682475052774,0.68,1.7000821474930868e-05,0.13924059684924467,0.02790047161509075
65,burn-in,66,26.04622195009142,0.68,3.771650705440459e-05,0.13924696528878922,0.027897428499860873
66,burn-in,67,26.197746940888464,0.68,8.2919811989783e-05,0.13921629195354182,0.027896767431877443
67,burn-in,68,26.08393193501979,0.68,0.00018069402425307182,0.13918214022132377,0.027907334496413055
68,burn-in,69,26.00144557841122,0.66,6.799407213864597e-05,0.13918214022132377,0.027907334496413055
69,burn-in,70,26.04262181930244,0.66,3.245929901643347e-05,0.13918214022132377,0.027907334496413055
70,burn-in,71,26.035505536943674,0.66,7.016685632291139e-05,0.1391939483863769,0.02790591208147591
71,burn-in,72,26.024518155492842,0.66,2.0453801416062814e-05,0.1391939483863769,0.02790591208147591
72,burn-in,73,26.004421879537404,0.64,5.793798589344155e-06,0.1391939483863769,0.02790591208147591
73,burn-in,74,26.126161039806902,0.66,1.0391329454758619e-05,0.13919511153579994,0.027904957771254537
74,burn-in,75,26.135263176634908,0.66,6.617154814308316e-06,0.13919511153579994,0.027904957771254537
75,burn-in,76,26.10842189565301,0.66,1.4017220178157141e-05,0.13919256270357824,0.027904870821365
76,burn-in,77,25.944559446536005,0.68,2.9689382533842083e-05,0.139190159325578,0.027905873401607655
77,burn-in,78,26.057353131473064,0.66,1.8643674902736596e-05,0.139190159325578,0.027905873401607655
78,burn-in,79,26.01334278471768,0.64,6.0968896672689346e-06,0.139190159325578,0.027905873401607655
79,burn-in,80,25.939318363554776,0.64,1.5538543692427037e-05,0.1391885807640669,0.02790671736431256
80,burn-in,81,25.970853677019477,0.62,1.5538543692427037e-05,0.1391885807640669,0.02790671736431256
81,burn-in,82,26.222471782006323,0.62,1.5538543692427037e-05,0.1391903982123488,0.027905096537626774
82,burn-in,83,25.931404163129628,0.62,1.5538543692427037e-05,0.1391903982123488,0.027905096537626774
83,burn-in,84,26.05441038031131,0.6,1.5538543692427037e-05,0.1391903982123488,0.027905096537626774
84,burn-in,85,26.063876735046506,0.6,1.5538543692427037e-05,0.1391932849222136,0.027906432356382627
85,burn-in,86,26.107265632599592,0.58,1.5538543692427037e-05,0.1391932849222136,0.027906432356382627
86,burn-in,87,26.004877764731646,0.58,1.5538543692427037e-05,0.1391955089316288,0.027905915249997
87,burn-in,88,26.07375571783632,0.56,1.5538543692427037e-05,0.1391955089316288,0.027905915249997
88,burn-in,89,25.998661135323346,0.56,1.5538543692427037e-05,0.1391955089316288,0.027905915249997
89,burn-in,90,26.02457908168435,0.56,1.5538543692427037e-05,0.1391955089316288,0.027905915249997
90,burn-in,91,26.050738260149956,0.56,1.5538543692427037e-05,0.1391955089316288,0.027905915249997
91,burn-in,92,26.009906242601573,0.58,1.5538543692427037e-05,0.13919278378402825,0.027905991753154464
92,burn-in,93,26.01755693834275,0.58,1.5538543692427037e-05,0.13918856530648582,0.027906485197138124
93,burn-in,94,26.021370321512222,0.58,1.5538543692427037e-05,0.13917512758472644,0.027904029669960438
94,burn-in,95,26.026694456115365,0.56,1.5538543692427037e-05,0.13917512758472644,0.027904029669960438
95,burn-in,96,26.048959363251925,0.56,1.5538543692427037e-05,0.13917512758472644,0.027904029669960438
96,burn-in,97,26.241119421087205,0.54,1.5538543692427037e-05,0.13917512758472644,0.027904029669960438
97,burn-in,98,25.999764954671264,0.56,1.5538543692427037e-05,0.1391828531123947,0.027901390267968364
98,burn-in,99,26.092803093604743,0.56,1.5538543692427037e-05,0.1391725421704255,0.027905457019486008
99,burn-in,100,25.95422377064824,0.58,1.5538543692427037e-05,0.13918766507838015,0.027906200189136993
100,sample,1,26.037001024000347,0.58,1.5538543692427037e-05,0.13917816083255977,0.027906007338980205
101,sample,2,26.041746030561626,0.58,1.5538543692427037e-05,0.13918503843744598,0.027904504015562243
102,sample,3,26.041590061038733,0.58,1.5538543692427037e-05,0.13918482757190487,0.02790780118311162
103,sample,4,26.007285200990736,0.6,1.5538543692427037e-05,0.1391870256267769,0.027907585996444207
104,sample,5,26.072194727137685,0.58,1.5538543692427037e-05,0.1391870256267769,0.027907585996444207
105,sample,6,26.050251381471753,0.56,1.5538543692427037e-05,0.1391870256267769,0.027907585996444207
106,sample,7,26.063909678719938,0.54,1.5538543692427037e-05,0.1391870256267769,0.027907585996444207
107,sample,8,26.03515717573464,0.54,1.5538543692427037e-05,0.13917104009830264,0.02790614155874215
108,sample,9,26.10889187734574,0.54,1.5538543692427037e-05,0.13916415423070025,0.027909688087505494
109,sample,10,26.006557405926287,0.52,1.5538543692427037e-05,0.13916415423070025,0.027909688087505494
110,sample,11,26.044650440104306,0.52,1.5538543692427037e-05,0.13916415423070025,0.027909688087505494
111,sample,12,26.030320507474244,0.5,1.5538543692427037e-05,0.13916415423070025,0.027909688087505494
112,sample,13,26.18410260323435,0.48,1.5538543692427037e-05,0.13916415423070025,0.027909688087505494
113,sample,14,26.093068975023925,0.5,1.5538543692427037e-05,0.13916909396319255,0.027909183482263088
114,sample,15,25.93647262081504,0.48,1.5538543692427037e-05,0.13916909396319255,0.027909183482263088
115,sample,16,26.06681363657117,0.48,1.5538543692427037e-05,0.13915417451439938,0.02790899225232929
116,sample,17,26.04437240678817,0.46,1.5538543692427037e-05,0.13915417451439938,0.02790899225232929
117,sample,18,25.974741036072373,0.46,1.5538543692427037e-05,0.13916434057368832,0.027910085238655492
118,sample,19,25.96739619318396,0.48,1.5538543692427037e-05,0.13917903550880495,0.02790836564416424
119,sample,20,26.028283869847655,0.48,1.5538543692427037e-05,0.13917903550880495,0.02790836564416424
120,sample,21,26.082367457449436,0.48,1.5538543692427037e-05,0.1391737163690284,0.027905748464700685
121,sample,22,26.087379635311663,0.5,1.5538543692427037e-05,0.1391779796613988,0.027905029842368066
122,sample,23,26.05996043793857,0.52,1.5538543692427037e-05,0.13917786216691067,0.02790709247894865
123,sample,24,26.005247050896287,0.5,1.5538543692427037e-05,0.13917786216691067,0.02790709247894865
124,sample,25,26.046748604625463,0.52,1.5538543692427037e-05,0.13919454323414418,0.02790591459918553
125,sample,26,25.97786380071193,0.5,1.5538543692427037e-05,0.13919454323414418,0.02790591459918553
126,sample,27,25.963197760283947,0.5,1.5538543692427037e-05,0.1391727802329074,0.02790408561266742
127,sample,28,26.210395311936736,0.52,1.5538543692427037e-05,0.1391647303610777,0.027902186734815138
128,sample,29,26.06524850986898,0.52,1.5538543692427037e-05,0.1391647303610777,0.027902186734815138
129,sample,30,26.0520950993523,0.52,1.5538543692427037e-05,0.1391858522296024,0.027903330198594548
130,sample,31,26.092604552395642,0.54,1.5538543692427037e-05,0.13918834343751924,0.02790498606824508
131,sample,32,26.02785864006728,0.52,1.5538543692427037e-05,0.13918834343751924,0.02790498606824508
132,sample,33,26.00532997958362,0.52,1.5538543692427037e-05,0.13918834343751924,0.02790498606824508
133,sample,34,26.10128942411393,0.52,1.5538543692427037e-05,0.13918834343751924,0.02790498606824508
134,sample,35,26.031383933499455,0.5,1.5538543692427037e-05,0.13918834343751924,0.02790498606824508
135,sample,36,26.035213402472436,0.52,1.5538543692427037e-05,0.13919138631790917,0.02790595300280295
136,sample,37,26.037255646660924,0.52,1.5538543692427037e-05,0.13917072725995663,0.027905993266732484
137,sample,38,26.05848290026188,0.54,1.5538543692427037e-05,0.1391631991391568,0.02790621563523305
138,sample,39,26.02310964744538,0.56,1.5538543692427037e-05,0.13919252968982082,0.027905705589955334
139,sample,40,26.054327082820237,0.56,1.5538543692427037e-05,0.13919252968982082,0.027905705589955334
140,sample,41,26.03466788958758,0.58,1.5538543692427037e-05,0.13919529037869258,0.027906356445731077
141,sample,42,26.016130114905536,0.58,1.5538543692427037e-05,0.13919549461763972,0.02790637680284987
142,sample,43,26.271019126288593,0.58,1.5538543692427037e-05,0.1391959276565447,0.027904422470074346
143,sample,44,25.969922214746475,0.58,1.5538543692427037e-05,0.1392153743278474,0.02790274195205295
144,sample,45,26.06450213957578,0.58,1.5538543692427037e-05,0.1392153743278474,0.02790274195205295
145,sample,46,26.088287813588977,0.6,1.5538543692427037e-05,0.1392115864259536,0.027903130417736868
146,sample,47,26.05534533970058,0.62,1.5538543692427037e-05,0.13920367346127022,0.02790355235605581
147,sample,48,25.96643493603915,0.62,1.5538543692427037e-05,0.13921047022225172,0.027903086531653503
148,sample,49,25.982535594142973,0.6,1.5538543692427037e-05,0.13921047022225172,0.027903086531653503
149,sample,50,25.98268699273467,0.58,1.5538543692427037e-05,0.13921047022225172,0.027903086531653503
150,sample,51,25.930870261974633,0.58,1.5538543692427037e-05,0.13921027025464905,0.027902211552237995
151,sample,52,25.90643726568669,0.56,1.5538543692427037e-05,0.13921027025464905,0.027902211552237995
152,sample,53,25.941570293158293,0.54,1.5538543692427037e-05,0.13921027025464905,0.027902211552237995
153,sample,54,26.022113220766187,0.54,1.5538543692427037e-05,0.13921314252190406,0.02790000365939931
154,sample,55,26.095903741195798,0.56,1.5538543692427037e-05,0.13921381686640888,0.02790122121966026
155,sample,56,26.003412655554712,0.56,1.5538543692427037e-05,0.13921381686640888,0.02790122121966026
156,sample,57,26.024753809906542,0.56,1.5538543692427037e-05,0.13921381686640888,0.02790122121966026
157,sample,58,26.178285653702915,0.54,1.5538543692427037e-05,0.13921381686640888,0.02790122121966026
158,sample,59,26.050950709730387,0.52,1.5538543692427037e-05,0.13921381686640888,0.02790122121966026
159,sample,60,26.021522337570786,0.52,1.5538543692427037e-05,0.13921381686640888,0.02790122121966026
160,sample,61,26.16345668118447,0.52,1.5538543692427037e-05,0.13921381686640888,0.02790122121966026
161,sample,62,26.025409528054297,0.54,1.5538543692427037e-05,0.1392144930515827,0.027897869805784715
162,sample,63,26.029448891058564,0.56,1.5538543692427037e-05,0.139227389355422,0.02789463802583
163,sample,64,26.077479161322117,0.54,1.5538543692427037e-05,0.139227389355422,0.02789463802583
164,sample,65,26.076132345944643,0.56,1.5538543692427037e-05,0.13923521830220184,0.027895929726124244
165,sample,66,26.059380711056292,0.54,1.5538543692427037e-05,0.13923521830220184,0.027895929726124244
166,sample,67,26.003140361979604,0.56,1.5538543692427037e-05,0.13925002451018134,0.02789548557204914
167,sample,68,25.97353065945208,0.54,1.5538543692427037e-05,0.13925002451018134,0.02789548557204914
168,sample,69,26.058935635723174,0.52,1.5538543692427037e-05,0.13925002451018134,0.02789548557204914
169,sample,70,25.97813974879682,0.54,1.5538543692427037e-05,0.13925150146928042,0.027897909255016347
170,sample,71,25.95888744853437,0.54,1.5538543692427037e-05,0.13926785607723263,0.027894472575037355
