step,phase,step_in_phase,dt,accept_rate,step_size,sigma_range,sigma_bearing
0,burn-in,1,25.904859927482903,1.0,0.01889597172723925,0.2997797615134853,0.30061914643202986
1,burn-in,2,25.936532525345683,0.5,0.026596593589702223,0.2997797615134853,0.30061914643202986
2,burn-in,3,25.77301666792482,0.6666666666666666,0.07679302205673191,0.2572599420898241,0.23518697709455885
3,burn-in,4,25.9264846900478,0.5,0.013893151737051341,0.2572599420898241,0.23518697709455885
4,burn-in,5,25.89237589482218,0.6,0.04001271303649433,0.24195985544409485,0.23614206936475585
5,burn-in,6,26.098509619943798,0.6666666666666666,0.12129911993707469,0.18038490771878635,0.20852867540991166
6,burn-in,7,25.860421400517225,0.5714285714285714,0.017276033610036236,0.18038490771878635,0.20852867540991166
7,burn-in,8,25.85895644314587,0.625,0.019118440115836792,0.1673924276599102,0.18449793388985944
8,burn-in,9,25.860726127400994,0.6666666666666666,0.05791929430766398,0.13778134425821353,0.15761208973595203
9,burn-in,10,25.737720591947436,0.7,0.17561351582911894,0.12187411440758597,0.16774418984807232
10,burn-in,11,25.822677802294493,0.6363636363636364,0.02249870484503983,0.12187411440758597,0.16774418984807232
11,burn-in,12,25.803257723338902,0.6666666666666666,0.015755585564451818,0.1009623833760331,0.16798484447733625
12,burn-in,13,25.880511390976608,0.6923076923076923,0.026478747492418683,0.09948401937386304,0.17781585565561636
13,burn-in,14,25.931520807556808,0.7142857142857143,0.00841862160028622,0.09034663223127742,0.18286610912795573
14,burn-in,15,25.860791637562215,0.7333333333333333,0.02492738361350476,0.09257514520804282,0.19283042024102834
15,burn-in,16,25.94607024639845,0.6875,0.04962457322619853,0.09257514520804282,0.19283042024102834
16,burn-in,17,25.852369296364486,0.7058823529411765,0.1428199350686549,0.09392956305177645,0.1375529645330229
17,burn-in,18,25.88852091971785,0.6666666666666666,0.019677284995593142,0.09392956305177645,0.1375529645330229
18,burn-in,19,25.853069389238954,0.631578947368421,0.003080052269461089,0.09392956305177645,0.1375529645330229
19,burn-in,20,26.096464277245104,0.65,0.008829746383177121,0.09240345711909476,0.13949142871048553
20,burn-in,21,25.773578866384923,0.6666666666666666,0.0058039218538084416,0.0914695351329668,0.12970724693323052
21,burn-in,22,25.911587342619896,0.6363636363636364,0.0014407409493100033,0.0914695351329668,0.12970724693323052
22,burn-in,23,25.95950101967901,0.6086956521739131,0.00025511731020696327,0.0914695351329668,0.12970724693323052
23,burn-in,24,26.097339430823922,0.625,0.0007217321927337856,0.0915006239615285,0.12985511569454153
24,burn-in,25,25.78428508900106,0.6,0.0002719660444372182,0.0915006239615285,0.12985511569454153
25,burn-in,26,25.855604111216962,0.5769230769230769,0.00012658519641438483,0.0915006239615285,0.12985511569454153
26,burn-in,27,25.758269984275103,0.5555555555555556,2.352865207764404e-05,0.0915006239615285,0.12985511569454153
27,burn-in,28,25.78880064189434,0.5357142857142857,5.1989949299998955e-06,0.0915006239615285,0.12985511569454153
28,burn-in,29,25.902146724052727,0.5172413793103449,2.2378792086369194e-06,0.0915006239615285,0.12985511569454153
29,burn-in,30,26.020539454184473,0.5333333333333333,6.25932975935714e-06,0.09150128375698294,0.1298572301059269
30,burn-in,31,25.753974684514105,0.5483870967741935,3.262415137899075e-06,0.09149913366918415,0.1298596877793255
31,burn-in,32,25.89225908741355,0.5625,8.944340537039635e-06,0.09150201494861201,0.1298597074261052
32,burn-in,33,25.799089077860117,0.5454545454545454,7.498801612208579e-06,0.09150201494861201,0.1298597074261052
33,burn-in,34,25.87319671548903,0.5588235294117647,1.247015070013528e-05,0.09150111229368321,0.12985860849227274
34,burn-in,35,26.149857372045517,0.5714285714285714,1.476323222629065e-05,0.0915007227253064,0.12985909834979797
35,burn-in,36,25.82271852903068,0.5833333333333334,3.8722932124152196e-05,0.09149019127013724,0.1298478272908904
36,burn-in,37,25.93725267238915,0.5945945945945946,7.471491751366604e-05,0.09147848720829901,0.12981417118771058
37,burn-in,38,25.874419908039272,0.6052631578947368,0.00019062536615283314,0.09149769718407434,0.12979259402336604
38,burn-in,39,25.985665751621127,0.5897435897435898,5.4842485142012556e-05,0.09149769718407434,0.12979259402336604
39,burn-in,40,25.76517867576331,0.575,3.3215587072991714e-05,0.09149769718407434,0.12979259402336604
40,burn-in,41,25.86261270288378,0.5853658536585366,4.284805016531982e-05,0.09149618896303233,0.1297603746118863
41,burn-in,42,25.89695197623223,0.5952380952380952,0.00010670866714981109,0.09148411980093818,0.12973081067382936
42,burn-in,43,25.87697557732463,0.6046511627906976,0.0001210367238057089,0.09147939814403819,0.12974366644985186
43,burn-in,44,25.957312463782728,0.6136363636363636,0.0002951892440230341,0.09150601985054464,0.12970736605579655
44,burn-in,45,25.923156421631575,0.6222222222222222,0.00023724755254269964,0.09147865290574947,0.12978208419033396
45,burn-in,46,25.891280995681882,0.6086956521739131,0.00012110056142673308,0.09147865290574947,0.12978208419033396
46,burn-in,47,25.772244297899306,0.6170212765957447,0.00019013037141339778,0.0915371892672459,0.1297632884439052
47,burn-in,48,26.06668805796653,0.625,8.74867692967654e-05,0.09151835349562042,0.12989886797872122
