step,phase,step_in_phase,dt,accept_rate,step_size,sigma_range,sigma_bearing
0,burn-in,1,15.908408597111702,1.0,0.011993944818441077,0.2998575166066733,0.3006871934450994
1,burn-in,2,15.967749094590545,1.0,0.016022402758044382,0.33029051592084585,0.27159377401440515
2,burn-in,3,15.91126239579171,1.0,0.02224219804329481,0.3379315968380066,0.2596395119836445
3,burn-in,4,15.771940398029983,1.0,0.03135708708001215,0.28854695732038893,0.2050612013412335
4,burn-in,5,15.710819610394537,1.0,0.04440247137414916,0.2706195464872527,0.221196201078091
5,burn-in,6,15.388054302893579,1.0,0.06255962921884894,0.27824749675453536,0.26647820021481167
6,burn-in,7,15.345419575460255,1.0,0.08801080215762168,0.31867489941035243,0.23197797696607636
7,burn-in,8,15.413107302039862,1.0,0.12306647239453955,0.20462454240164327,0.12703394630400866
8,burn-in,9,15.302093707956374,1.0,0.17082729826803705,0.05872876123630339,0.05990887080118203
9,burn-in,10,15.3221466653049,1.0,0.2323283448999683,0.11908276677519955,0.20680621476236963
10,burn-in,11,15.334381205961108,1.0,0.3174919053477,0.12659269958960687,0.06817551746762633
11,burn-in,12,14.964889574795961,1.0,0.4305068660051206,0.07773457051421799,0.1457208315821184
12,burn-in,13,15.24810993205756,1.0,0.44074231586823526,0.12549164277447744,0.05170718936713535
13,burn-in,14,15.44135182723403,1.0,0.5896203705024912,0.14829804658368861,0.09267506305660539
14,burn-in,15,15.771471625193954,1.0,0.6953024532621339,0.1330470500260222,0.06710234882943675
15,burn-in,16,15.752877005375922,0.9375,0.6088036158305559,0.1330470500260222,0.06710234882943675
16,burn-in,17,15.592298494651914,0.9411764705882353,0.8015144995740903,0.13559160196211043,0.07110894805480791
17,burn-in,18,15.74359712190926,0.8888888888888888,0.06688153218603217,0.13559160196211043,0.07110894805480791
18,burn-in,19,15.659943256527185,0.8947368421052632,0.08758657730889848,0.10965768892933306,0.04032954988914783
19,burn-in,20,15.500754981301725,0.9,0.11592349665173432,0.06841399481880452,0.07861560360278239
20,burn-in,21,15.380406525917351,0.9047619047619048,0.14367817493534682,0.06997307759971774,0.03893286718230724
21,burn-in,22,15.439645466394722,0.9090909090909091,0.18833088006840015,0.04841253555477942,0.08022049341108696
22,burn-in,23,15.520654449239373,0.9130434782608695,0.2456423734810812,0.14650369095157706,0.14083124984079445
23,burn-in,24,15.585039083845913,0.9166666666666666,0.3188510858429867,0.08315435541487719,0.1117761225440307
24,burn-in,25,15.546194782480597,0.92,0.41193778221796973,0.11746561234306142,0.0875819115481708
25,burn-in,26,15.543251167982817,0.8846153846153846,0.485308789806288,0.11746561234306142,0.0875819115481708
26,burn-in,27,15.433538713492453,0.8888888888888888,0.5321072001516336,0.11954272926586335,0.06839630156257424
27,burn-in,28,15.42569096852094,0.8928571428571429,0.1344874181307492,0.17992201334065255,0.030118398079826726
28,burn-in,29,15.518135018646717,0.896551724137931,0.17343743625745517,0.18251480013588972,0.06976393551782414
29,burn-in,30,15.607352929189801,0.9,0.21398916634312715,0.13595527266854762,0.22083695061711592
30,burn-in,31,15.703339596278965,0.9032258064516129,0.2737486080391606,0.05990537983252709,0.09689806594210294
31,burn-in,32,15.44729483872652,0.90625,0.2616472944838645,0.27227667015351587,0.1012215654902372
32,burn-in,33,15.7559180771932,0.9090909090909091,0.301836495092652,0.031698386212300915,0.0996437326803362
33,burn-in,34,15.341738318093121,0.9117647058823529,0.382820444057336,0.288821788182537,0.09606989997319457
34,burn-in,35,15.616146158427,0.9142857142857143,0.48373396832862736,0.04109070319651196,0.09957748445692395
35,burn-in,36,15.705632221885026,0.9166666666666666,0.3128208180611789,0.25173048294478695,0.19863793311821407
36,burn-in,37,15.707621174864471,0.918918918918919,0.37386329311703975,0.03750092687035077,0.04704654900650728
37,burn-in,38,15.921050047501922,0.9210526315789473,0.47007608819444696,0.21120032608213526,0.21409090351633409
38,burn-in,39,15.789704347960651,0.8974358974358975,0.1879117673413697,0.21120032608213526,0.21409090351633409
39,burn-in,40,15.796130035072565,0.9,0.2367273743950022,0.0881883116208252,0.211598810942417
40,burn-in,41,15.921935481019318,0.9024390243902439,0.2540853013170805,0.10276204937882154,0.03249262336619283
41,burn-in,42,15.901814337819815,0.9047619047619048,0.31835803316978845,0.07852435561443565,0.1707154931194128
42,burn-in,43,15.79776010569185,0.9069767441860465,0.3976274286890731,0.12459119735458957,0.05780437228259529
43,burn-in,44,16.019899295642972,0.9090909090909091,0.4600863903574507,0.06971367066515506,0.17569727745683889
44,burn-in,45,15.909647611901164,0.9111111111111111,0.5714701710616391,0.11842246559363832,0.07223317692097074
45,burn-in,46,16.105440908111632,0.9130434782608695,0.7077572705995802,0.08949693897500063,0.08296100224019728
46,burn-in,47,16.080524249002337,0.9148936170212766,0.40301255629586874,0.1831367830639654,0.078682357135731
47,burn-in,48,16.213618716225028,0.9166666666666666,0.4989881899046088,0.07165573248753286,0.07669814185550507
48,burn-in,49,15.934498785063624,0.8979591836734694,0.46039998128415754,0.07165573248753286,0.07669814185550507
49,burn-in,50,16.177173607982695,0.9,0.5680469433326258,0.11123121877529617,0.07333436131206438
50,burn-in,51,16.025835032574832,0.9,0.6063786081726157,0.09600973397578845,0.06303225938328078
51,burn-in,52,16.139448064379394,0.9,0.744948757592193,0.09851734493585285,0.06582371058288339
52,burn-in,53,15.992530371062458,0.9,0.25311357468667084,0.18349357732570346,0.20642862549605315
53,burn-in,54,16.201775247231126,0.9,0.2650283419201338,0.03865220651347926,0.04371146065376291
54,burn-in,55,16.37599229812622,0.9,0.3261473612798049,0.21348732440993712,0.19214005439205784
55,burn-in,56,16.118314017541707,0.9,0.3939174644356027,0.0460350299504016,0.05096056445078001
56,burn-in,57,16.171799805946648,0.9,0.482435650879781,0.2161674205226264,0.12113995884304007
57,burn-in,58,16.27880235388875,0.9,0.5894522209192954,0.1503028553045361,0.0938367279900515
58,burn-in,59,16.03211107198149,0.9,0.7185535145307649,0.09711780258079974,0.0611474217134758
59,burn-in,60,15.264707422815263,0.9,0.14601934795592272,0.34725480526437,0.13982705727145836
60,burn-in,61,16.03525346983224,0.9,0.17909577452825476,0.16320501743258847,0.060881827299385724
61,burn-in,62,16.049483706243336,0.9,0.21915869672242205,0.0814907823855462,0.10051438226659064
62,burn-in,63,16.05257837474346,0.9,0.2343738054191371,0.14637753618392407,0.04581411037929762
63,burn-in,64,15.700238722376525,0.9,0.28574685698358593,0.07834742376896572,0.20661414275479228
64,burn-in,65,15.638869248330593,0.9,0.3414515340133456,0.13614154908990678,0.047867493864499976
65,burn-in,66,15.772615749388933,0.92,0.3713501455295025,0.06897201301861233,0.23170130876232697
66,burn-in,67,15.184455938637257,0.92,0.4205021428919715,0.1887073691270755,0.04794987051794004
67,burn-in,68,15.336945241317153,0.94,0.508975059226577,0.0955812626736841,0.10540680191265434
68,burn-in,69,15.082160503603518,0.94,0.4100521791874187,0.1626945360200783,0.06302730271243893
69,burn-in,70,15.43883613217622,0.92,0.38407169113548567,0.1626945360200783,0.06302730271243893
70,burn-in,71,15.521282454021275,0.92,0.43804300969446636,0.05548568460998227,0.15793297381484742
71,burn-in,72,15.38601703941822,0.92,0.5281509985143511,0.05918007504911836,0.10734739613118927
72,burn-in,73,15.821726180613041,0.9,0.3705872614296834,0.05918007504911836,0.10734739613118927
73,burn-in,74,15.91219360101968,0.9,0.446422454981149,0.14656578974238027,0.12751006376700175
74,burn-in,75,15.688283105380833,0.9,0.40784663994860276,0.04541240269584165,0.11059736610162166
75,burn-in,76,15.853333136066794,0.92,0.4902250536434851,0.21175353901352034,0.09606337127669433
76,burn-in,77,15.851169239729643,0.92,0.5882071274960804,0.1318292559591941,0.07382413478832384
77,burn-in,78,15.3034149389714,0.92,0.49150380265107624,0.18837925340955267,0.08193444980979932
78,burn-in,79,14.966137965209782,0.92,0.5887783143848049,0.08464631324435562,0.18356263599132558
79,burn-in,80,15.074476078152657,0.92,0.3946441215715597,0.09156923655989913,0.14547414241531184
80,burn-in,81,15.699820044450462,0.92,0.3946441215715597,0.10482307128097658,0.042221445810040496
81,burn-in,82,15.902589007280767,0.92,0.3946441215715597,0.08906496705382863,0.24616214355562982
82,burn-in,83,15.976107966154814,0.92,0.3946441215715597,0.09809406058682084,0.0826928579400598
83,burn-in,84,16.14746335055679,0.92,0.3946441215715597,0.10757732284800268,0.14101560622265955
84,burn-in,85,16.104604309424758,0.9,0.3946441215715597,0.10757732284800268,0.14101560622265955
85,burn-in,86,16.165402074344456,0.9,0.3946441215715597,0.05526387038618209,0.09992515444997022
86,burn-in,87,16.08048713672906,0.9,0.3946441215715597,0.14404331912271692,0.10749667010890204
87,burn-in,88,16.03703858330846,0.9,0.3946441215715597,0.10843763443498802,0.23665793413206018
88,burn-in,89,15.971234642900527,0.92,0.3946441215715597,0.08763381334501223,0.046555097908846974
