<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
Creating model: src.models.range_bearing.RangeBearingModel
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773135488.715580 3793792 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 20725 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Generating 500 time steps...
I0000 00:00:1773135488.767921 3793897 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x29139aa0
Creating filter: LocalExactDaumHuangFlow
Running LocalExactDaumHuangFlow...

  Step 1/500 | 4088.5 ms | elapsed 4.09s
  Step 2/500 | 1056.0 ms | elapsed 5.14s
  Step 3/500 | 1082.0 ms | elapsed 6.23s
  Step 4/500 | 1004.9 ms | elapsed 7.23s
  Step 5/500 | 1015.4 ms | elapsed 8.25s
  Step 6/500 | 1013.9 ms | elapsed 9.26s
  Step 7/500 | 1028.8 ms | elapsed 10.29s
  Step 8/500 | 1073.4 ms | elapsed 11.36s
  Step 9/500 | 965.6 ms | elapsed 12.33s
  Step 10/500 | 1057.4 ms | elapsed 13.39s
  Step 11/500 | 994.1 ms | elapsed 14.38s
  Step 12/500 | 1005.3 ms | elapsed 15.39s
  Step 13/500 | 953.0 ms | elapsed 16.34s
  Step 14/500 | 983.8 ms | elapsed 17.32s
  Step 15/500 | 1012.1 ms | elapsed 18.33s
  Step 16/500 | 985.0 ms | elapsed 19.32s
  Step 17/500 | 1070.8 ms | elapsed 20.39s
  Step 18/500 | 969.4 ms | elapsed 21.36s
  Step 19/500 | 1049.1 ms | elapsed 22.41s
  Step 20/500 | 949.7 ms | elapsed 23.36s
  Step 21/500 | 987.9 ms | elapsed 24.35s
  Step 22/500 | 974.7 ms | elapsed 25.32s
  Step 23/500 | 980.6 ms | elapsed 26.30s
  Step 24/500 | 994.1 ms | elapsed 27.30s
  Step 25/500 | 1048.7 ms | elapsed 28.34s
  Step 26/500 | 983.6 ms | elapsed 29.33s
  Step 27/500 | 1002.0 ms | elapsed 30.33s
  Step 28/500 | 997.0 ms | elapsed 31.33s
  Step 29/500 | 970.9 ms | elapsed 32.30s
  Step 30/500 | 1001.2 ms | elapsed 33.30s
  Step 31/500 | 945.3 ms | elapsed 34.24s
  Step 32/500 | 983.0 ms | elapsed 35.23s
