<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
Creating model: src.models.range_bearing.RangeBearingModel
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773135500.574805 3794070 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 20725 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Generating 500 time steps...
I0000 00:00:1773135500.624256 3794176 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x860a960
Creating filter: LEDHParticleFlowFilter
Running LEDHParticleFlowFilter...

  Step 1/500 | 5258.2 ms | elapsed 5.26s
  Step 2/500 | 1054.1 ms | elapsed 6.31s
  Step 3/500 | 1024.1 ms | elapsed 7.34s
  Step 4/500 | 1100.3 ms | elapsed 8.44s
  Step 5/500 | 1013.1 ms | elapsed 9.45s
  Step 6/500 | 983.0 ms | elapsed 10.43s
  Step 7/500 | 968.7 ms | elapsed 11.40s
  Step 8/500 | 1016.1 ms | elapsed 12.42s
  Step 9/500 | 1018.1 ms | elapsed 13.44s
  Step 10/500 | 1036.3 ms | elapsed 14.47s
  Step 11/500 | 1004.2 ms | elapsed 15.48s
  Step 12/500 | 975.0 ms | elapsed 16.45s
  Step 13/500 | 1025.8 ms | elapsed 17.48s
  Step 14/500 | 972.7 ms | elapsed 18.45s
  Step 15/500 | 997.3 ms | elapsed 19.45s
  Step 16/500 | 959.5 ms | elapsed 20.41s
  Step 17/500 | 995.0 ms | elapsed 21.40s
  Step 18/500 | 978.6 ms | elapsed 22.38s
  Step 19/500 | 982.4 ms | elapsed 23.36s
  Step 20/500 | 991.9 ms | elapsed 24.35s
  Step 21/500 | 1104.2 ms | elapsed 25.46s
  Step 22/500 | 1755.2 ms | elapsed 27.21s
  Step 23/500 | 2112.1 ms | elapsed 29.33s
  Step 24/500 | 2021.9 ms | elapsed 31.35s
  Step 25/500 | 2072.3 ms | elapsed 33.42s
  Step 26/500 | 2094.4 ms | elapsed 35.51s
  Step 27/500 | 2052.6 ms | elapsed 37.57s
  Step 28/500 | 2023.7 ms | elapsed 39.59s
  Step 29/500 | 2039.2 ms | elapsed 41.63s
  Step 30/500 | 2031.7 ms | elapsed 43.66s
  Step 31/500 | 2039.3 ms | elapsed 45.70s
  Step 32/500 | 2063.6 ms | elapsed 47.76s
  Step 33/500 | 2025.8 ms | elapsed 49.79s
  Step 34/500 | 1997.0 ms | elapsed 51.79s
  Step 35/500 | 2065.7 ms | elapsed 53.85s
  Step 36/500 | 1282.4 ms | elapsed 55.14s
  Step 37/500 | 1074.3 ms | elapsed 56.21s
  Step 38/500 | 1048.9 ms | elapsed 57.26s
  Step 39/500 | 1101.6 ms | elapsed 58.36s
  Step 40/500 | 1037.4 ms | elapsed 59.40s
  Step 41/500 | 1054.2 ms | elapsed 60.45s
  Step 42/500 | 989.7 ms | elapsed 61.44s
  Step 43/500 | 1030.7 ms | elapsed 62.47s
  Step 44/500 | 1082.3 ms | elapsed 63.55s
  Step 45/500 | 1023.7 ms | elapsed 64.58s
  Step 46/500 | 1057.4 ms | elapsed 65.64s
  Step 47/500 | 993.4 ms | elapsed 66.63s
  Step 48/500 | 1003.4 ms | elapsed 67.63s
  Step 49/500 | 954.2 ms | elapsed 68.59s
  Step 50/500 | 1005.9 ms | elapsed 69.59s
  Step 51/500 | 996.1 ms | elapsed 70.59s
  Step 52/500 | 1001.5 ms | elapsed 71.59s
  Step 53/500 | 1041.3 ms | elapsed 72.63s
  Step 54/500 | 1028.5 ms | elapsed 73.66s
  Step 55/500 | 983.7 ms | elapsed 74.64s
  Step 56/500 | 1004.5 ms | elapsed 75.65s
  Step 57/500 | 966.1 ms | elapsed 76.61s
  Step 58/500 | 992.0 ms | elapsed 77.61s
  Step 59/500 | 1000.6 ms | elapsed 78.61s
  Step 60/500 | 1101.5 ms | elapsed 79.71s
  Step 61/500 | 1009.5 ms | elapsed 80.72s
  Step 62/500 | 974.9 ms | elapsed 81.69s
  Step 63/500 | 1016.9 ms | elapsed 82.71s
  Step 64/500 | 1032.4 ms | elapsed 83.74s
  Step 65/500 | 1010.7 ms | elapsed 84.75s
  Step 66/500 | 1096.0 ms | elapsed 85.85s
  Step 67/500 | 1035.8 ms | elapsed 86.89s
  Step 68/500 | 966.6 ms | elapsed 87.85s
  Step 69/500 | 1037.0 ms | elapsed 88.89s
  Step 70/500 | 1091.3 ms | elapsed 89.98s
  Step 71/500 | 990.1 ms | elapsed 90.97s
  Step 72/500 | 1034.1 ms | elapsed 92.00s
  Step 73/500 | 1066.2 ms | elapsed 93.07s
  Step 74/500 | 1000.6 ms | elapsed 94.07s
  Step 75/500 | 1004.6 ms | elapsed 95.08s
  Step 76/500 | 1096.1 ms | elapsed 96.17s
  Step 77/500 | 1019.5 ms | elapsed 97.19s
  Step 78/500 | 997.9 ms | elapsed 98.19s
  Step 79/500 | 1083.5 ms | elapsed 99.27s
  Step 80/500 | 1008.0 ms | elapsed 100.28s
  Step 81/500 | 1042.3 ms | elapsed 101.32s
  Step 82/500 | 1025.8 ms | elapsed 102.35s
  Step 83/500 | 1032.2 ms | elapsed 103.38s
  Step 84/500 | 1063.7 ms | elapsed 104.44s
  Step 85/500 | 993.2 ms | elapsed 105.44s
  Step 86/500 | 1005.9 ms | elapsed 106.44s
  Step 87/500 | 990.6 ms | elapsed 107.43s
  Step 88/500 | 1079.8 ms | elapsed 108.51s
  Step 89/500 | 1031.4 ms | elapsed 109.55s
  Step 90/500 | 1050.0 ms | elapsed 110.60s
  Step 91/500 | 1058.9 ms | elapsed 111.65s
  Step 92/500 | 976.5 ms | elapsed 112.63s
  Step 93/500 | 1088.2 ms | elapsed 113.72s
  Step 94/500 | 985.0 ms | elapsed 114.70s
  Step 95/500 | 1024.8 ms | elapsed 115.73s
  Step 96/500 | 1104.9 ms | elapsed 116.83s
  Step 97/500 | 1001.2 ms | elapsed 117.83s
  Step 98/500 | 1034.4 ms | elapsed 118.87s
  Step 99/500 | 1100.6 ms | elapsed 119.97s
  Step 100/500 | 1000.2 ms | elapsed 120.97s
  Step 101/500 | 1034.8 ms | elapsed 122.00s
  Step 102/500 | 1020.9 ms | elapsed 123.03s
  Step 103/500 | 1049.4 ms | elapsed 124.07s
  Step 104/500 | 1053.7 ms | elapsed 125.13s
  Step 105/500 | 1001.6 ms | elapsed 126.13s
  Step 106/500 | 1089.5 ms | elapsed 127.22s
  Step 107/500 | 1017.5 ms | elapsed 128.24s
  Step 108/500 | 1007.2 ms | elapsed 129.24s
  Step 109/500 | 1091.1 ms | elapsed 130.34s
  Step 110/500 | 996.4 ms | elapsed 131.33s
  Step 111/500 | 1012.4 ms | elapsed 132.34s
  Step 112/500 | 1120.4 ms | elapsed 133.46s
  Step 113/500 | 1034.9 ms | elapsed 134.50s
  Step 114/500 | 1038.4 ms | elapsed 135.54s
  Step 115/500 | 980.6 ms | elapsed 136.52s
  Step 116/500 | 1093.4 ms | elapsed 137.61s
  Step 117/500 | 1068.5 ms | elapsed 138.68s
  Step 118/500 | 1057.8 ms | elapsed 139.74s
  Step 119/500 | 1050.1 ms | elapsed 140.79s
  Step 120/500 | 997.3 ms | elapsed 141.79s
  Step 121/500 | 1002.8 ms | elapsed 142.79s
  Step 122/500 | 1109.3 ms | elapsed 143.90s
  Step 123/500 | 982.0 ms | elapsed 144.88s
  Step 124/500 | 1008.8 ms | elapsed 145.89s
  Step 125/500 | 1020.7 ms | elapsed 146.91s
  Step 126/500 | 1035.9 ms | elapsed 147.95s
  Step 127/500 | 1047.0 ms | elapsed 148.99s
  Step 128/500 | 1009.7 ms | elapsed 150.00s
  Step 129/500 | 1038.0 ms | elapsed 151.04s
  Step 130/500 | 990.3 ms | elapsed 152.03s
  Step 131/500 | 1092.5 ms | elapsed 153.12s
