<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773379240.322649 4049535 service.cc:145] XLA service 0x2f1ca770 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773379240.322687 4049535 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773379240.343696 4049535 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
Creating filter: ExactDaumHuangFlow
Running ExactDaumHuangFlow...

  Step 1/500 | 3466.6 ms | elapsed 3.47s
  Step 2/500 | 131.8 ms | elapsed 3.60s
  Step 3/500 | 125.5 ms | elapsed 3.72s
  Step 4/500 | 142.6 ms | elapsed 3.87s
  Step 5/500 | 152.3 ms | elapsed 4.02s
  Step 6/500 | 159.4 ms | elapsed 4.18s
  Step 7/500 | 140.6 ms | elapsed 4.32s
  Step 8/500 | 144.8 ms | elapsed 4.46s
  Step 9/500 | 130.5 ms | elapsed 4.59s
  Step 10/500 | 119.0 ms | elapsed 4.71s
  Step 11/500 | 159.9 ms | elapsed 4.87s
  Step 12/500 | 160.3 ms | elapsed 5.03s
  Step 13/500 | 137.7 ms | elapsed 5.17s
  Step 14/500 | 127.9 ms | elapsed 5.30s
  Step 15/500 | 129.9 ms | elapsed 5.43s
  Step 16/500 | 127.5 ms | elapsed 5.56s
  Step 17/500 | 135.4 ms | elapsed 5.69s
  Step 18/500 | 122.0 ms | elapsed 5.81s
  Step 19/500 | 125.3 ms | elapsed 5.94s
  Step 20/500 | 76.1 ms | elapsed 6.01s
  Step 21/500 | 83.3 ms | elapsed 6.10s
  Step 22/500 | 84.3 ms | elapsed 6.18s
  Step 23/500 | 117.6 ms | elapsed 6.30s
  Step 24/500 | 108.6 ms | elapsed 6.41s
  Step 25/500 | 90.4 ms | elapsed 6.50s
  Step 26/500 | 152.4 ms | elapsed 6.65s
  Step 27/500 | 142.1 ms | elapsed 6.79s
  Step 28/500 | 94.7 ms | elapsed 6.89s
  Step 29/500 | 99.5 ms | elapsed 6.99s
  Step 30/500 | 103.5 ms | elapsed 7.09s
  Step 31/500 | 117.3 ms | elapsed 7.21s
  Step 32/500 | 111.1 ms | elapsed 7.32s
  Step 33/500 | 83.5 ms | elapsed 7.40s
  Step 34/500 | 76.8 ms | elapsed 7.48s
  Step 35/500 | 79.1 ms | elapsed 7.56s
  Step 36/500 | 87.9 ms | elapsed 7.65s
  Step 37/500 | 98.2 ms | elapsed 7.75s
  Step 38/500 | 134.4 ms | elapsed 7.88s
  Step 39/500 | 91.6 ms | elapsed 7.97s
  Step 40/500 | 108.6 ms | elapsed 8.08s
  Step 41/500 | 115.7 ms | elapsed 8.20s
  Step 42/500 | 113.2 ms | elapsed 8.31s
  Step 43/500 | 118.5 ms | elapsed 8.43s
  Step 44/500 | 124.6 ms | elapsed 8.55s
  Step 45/500 | 142.1 ms | elapsed 8.69s
  Step 46/500 | 116.1 ms | elapsed 8.81s
  Step 47/500 | 115.7 ms | elapsed 8.93s
  Step 48/500 | 105.2 ms | elapsed 9.03s
  Step 49/500 | 108.4 ms | elapsed 9.14s
  Step 50/500 | 102.5 ms | elapsed 9.24s
