<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773232781.554361 3902825 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 21538 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
I0000 00:00:1773232783.915111 3903199 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x2560d1f0
WARNING:tensorflow:From /home/haowu/JPML/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
  Observations transformed (e.g. log-space mode)
Creating filter: ExactDaumHuangFlow
Running ExactDaumHuangFlow...
[2026-03-11 20:39:44,378][tensorflow][WARNING] - From /home/haowu/JPML/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead

  Step 1/500 | 2551.8 ms | elapsed 2.55s
  Step 2/500 | 89.0 ms | elapsed 2.64s
  Step 3/500 | 88.6 ms | elapsed 2.73s
  Step 4/500 | 89.2 ms | elapsed 2.82s
  Step 5/500 | 88.7 ms | elapsed 2.91s
  Step 6/500 | 87.4 ms | elapsed 2.99s
  Step 7/500 | 86.0 ms | elapsed 3.08s
  Step 8/500 | 104.2 ms | elapsed 3.18s
  Step 9/500 | 109.8 ms | elapsed 3.29s
  Step 10/500 | 88.1 ms | elapsed 3.38s
  Step 11/500 | 106.7 ms | elapsed 3.49s
  Step 12/500 | 89.4 ms | elapsed 3.58s
  Step 13/500 | 87.3 ms | elapsed 3.67s
  Step 14/500 | 89.7 ms | elapsed 3.76s
  Step 15/500 | 89.5 ms | elapsed 3.85s
  Step 16/500 | 90.9 ms | elapsed 3.94s
  Step 17/500 | 90.9 ms | elapsed 4.03s
  Step 18/500 | 90.3 ms | elapsed 4.12s
  Step 19/500 | 89.8 ms | elapsed 4.21s
  Step 20/500 | 89.4 ms | elapsed 4.30s
  Step 21/500 | 87.3 ms | elapsed 4.38s
  Step 22/500 | 88.6 ms | elapsed 4.47s
  Step 23/500 | 89.6 ms | elapsed 4.56s
  Step 24/500 | 89.7 ms | elapsed 4.65s
  Step 25/500 | 92.1 ms | elapsed 4.74s
  Step 26/500 | 91.9 ms | elapsed 4.84s
  Step 27/500 | 101.5 ms | elapsed 4.94s
  Step 28/500 | 91.1 ms | elapsed 5.03s
  Step 29/500 | 90.4 ms | elapsed 5.12s
  Step 30/500 | 92.9 ms | elapsed 5.21s
  Step 31/500 | 91.9 ms | elapsed 5.30s
  Step 32/500 | 116.8 ms | elapsed 5.42s
  Step 33/500 | 94.5 ms | elapsed 5.52s
  Step 34/500 | 91.4 ms | elapsed 5.61s
  Step 35/500 | 90.6 ms | elapsed 5.70s
  Step 36/500 | 90.9 ms | elapsed 5.79s
  Step 37/500 | 92.0 ms | elapsed 5.88s
  Step 38/500 | 92.5 ms | elapsed 5.97s
  Step 39/500 | 90.3 ms | elapsed 6.06s
  Step 40/500 | 88.8 ms | elapsed 6.15s
  Step 41/500 | 88.8 ms | elapsed 6.24s
  Step 42/500 | 89.1 ms | elapsed 6.33s
  Step 43/500 | 90.1 ms | elapsed 6.42s
  Step 44/500 | 87.0 ms | elapsed 6.51s
  Step 45/500 | 89.2 ms | elapsed 6.60s
  Step 46/500 | 88.1 ms | elapsed 6.68s
  Step 47/500 | 89.1 ms | elapsed 6.77s
  Step 48/500 | 89.8 ms | elapsed 6.86s
  Step 49/500 | 89.6 ms | elapsed 6.95s
  Step 50/500 | 90.3 ms | elapsed 7.04s
  Step 51/500 | 91.8 ms | elapsed 7.13s
  Step 52/500 | 93.3 ms | elapsed 7.23s
  Step 53/500 | 95.6 ms | elapsed 7.32s
  Step 54/500 | 94.9 ms | elapsed 7.42s
  Step 55/500 | 92.7 ms | elapsed 7.51s
  Step 56/500 | 92.4 ms | elapsed 7.60s
  Step 57/500 | 93.1 ms | elapsed 7.70s
  Step 58/500 | 93.3 ms | elapsed 7.79s
  Step 59/500 | 92.5 ms | elapsed 7.88s
  Step 60/500 | 92.7 ms | elapsed 7.97s
  Step 61/500 | 93.4 ms | elapsed 8.07s
  Step 62/500 | 90.9 ms | elapsed 8.16s
  Step 63/500 | 91.9 ms | elapsed 8.25s
  Step 64/500 | 94.0 ms | elapsed 8.35s
  Step 65/500 | 93.3 ms | elapsed 8.44s
  Step 66/500 | 93.6 ms | elapsed 8.53s
  Step 67/500 | 93.0 ms | elapsed 8.63s
  Step 68/500 | 92.7 ms | elapsed 8.72s
  Step 69/500 | 91.9 ms | elapsed 8.81s
  Step 70/500 | 94.6 ms | elapsed 8.90s
  Step 71/500 | 93.0 ms | elapsed 9.00s
  Step 72/500 | 91.7 ms | elapsed 9.09s
  Step 73/500 | 90.5 ms | elapsed 9.18s
  Step 74/500 | 90.9 ms | elapsed 9.27s
  Step 75/500 | 91.3 ms | elapsed 9.36s
  Step 76/500 | 92.1 ms | elapsed 9.45s
  Step 77/500 | 90.9 ms | elapsed 9.54s
  Step 78/500 | 90.8 ms | elapsed 9.64s
  Step 79/500 | 92.6 ms | elapsed 9.73s
  Step 80/500 | 92.1 ms | elapsed 9.82s
  Step 81/500 | 90.6 ms | elapsed 9.91s
  Step 82/500 | 93.4 ms | elapsed 10.00s
  Step 83/500 | 91.3 ms | elapsed 10.10s
  Step 84/500 | 90.4 ms | elapsed 10.19s
  Step 85/500 | 92.1 ms | elapsed 10.28s
  Step 86/500 | 90.9 ms | elapsed 10.37s
  Step 87/500 | 92.6 ms | elapsed 10.46s
  Step 88/500 | 91.4 ms | elapsed 10.55s
  Step 89/500 | 93.5 ms | elapsed 10.65s
  Step 90/500 | 91.4 ms | elapsed 10.74s
  Step 91/500 | 92.0 ms | elapsed 10.83s
  Step 92/500 | 92.6 ms | elapsed 10.92s
  Step 93/500 | 92.3 ms | elapsed 11.01s
  Step 94/500 | 91.4 ms | elapsed 11.11s
  Step 95/500 | 92.4 ms | elapsed 11.20s
  Step 96/500 | 94.3 ms | elapsed 11.29s
  Step 97/500 | 94.2 ms | elapsed 11.39s
  Step 98/500 | 92.5 ms | elapsed 11.48s
  Step 99/500 | 96.7 ms | elapsed 11.58s
  Step 100/500 | 94.6 ms | elapsed 11.67s
  Step 101/500 | 92.7 ms | elapsed 11.76s
  Step 102/500 | 96.7 ms | elapsed 11.86s
  Step 103/500 | 93.0 ms | elapsed 11.95s
  Step 104/500 | 95.3 ms | elapsed 12.05s
  Step 105/500 | 92.7 ms | elapsed 12.14s
  Step 106/500 | 93.3 ms | elapsed 12.23s
  Step 107/500 | 93.9 ms | elapsed 12.33s
  Step 108/500 | 94.4 ms | elapsed 12.42s
  Step 109/500 | 98.3 ms | elapsed 12.52s
  Step 110/500 | 95.9 ms | elapsed 12.62s
  Step 111/500 | 98.7 ms | elapsed 12.72s
  Step 112/500 | 97.5 ms | elapsed 12.81s
  Step 113/500 | 96.6 ms | elapsed 12.91s
  Step 114/500 | 97.0 ms | elapsed 13.01s
  Step 115/500 | 98.4 ms | elapsed 13.11s
  Step 116/500 | 96.5 ms | elapsed 13.20s
  Step 117/500 | 93.5 ms | elapsed 13.30s
  Step 118/500 | 93.0 ms | elapsed 13.39s
  Step 119/500 | 92.1 ms | elapsed 13.48s
  Step 120/500 | 94.0 ms | elapsed 13.57s
  Step 121/500 | 94.3 ms | elapsed 13.67s
  Step 122/500 | 92.4 ms | elapsed 13.76s
  Step 123/500 | 92.3 ms | elapsed 13.85s
  Step 124/500 | 90.2 ms | elapsed 13.94s
  Step 125/500 | 92.9 ms | elapsed 14.04s
  Step 126/500 | 92.3 ms | elapsed 14.13s
  Step 127/500 | 93.2 ms | elapsed 14.22s
  Step 128/500 | 90.3 ms | elapsed 14.31s
  Step 129/500 | 91.0 ms | elapsed 14.40s
  Step 130/500 | 90.4 ms | elapsed 14.49s
  Step 131/500 | 91.0 ms | elapsed 14.58s
  Step 132/500 | 91.4 ms | elapsed 14.68s
  Step 133/500 | 94.2 ms | elapsed 14.77s
  Step 134/500 | 93.4 ms | elapsed 14.86s
  Step 135/500 | 95.7 ms | elapsed 14.96s
  Step 136/500 | 94.1 ms | elapsed 15.05s
  Step 137/500 | 109.7 ms | elapsed 15.16s
  Step 138/500 | 94.5 ms | elapsed 15.26s
  Step 139/500 | 95.8 ms | elapsed 15.35s
  Step 140/500 | 95.9 ms | elapsed 15.45s
  Step 141/500 | 94.6 ms | elapsed 15.54s
  Step 142/500 | 95.2 ms | elapsed 15.64s
  Step 143/500 | 93.9 ms | elapsed 15.73s
  Step 144/500 | 95.1 ms | elapsed 15.83s
  Step 145/500 | 95.8 ms | elapsed 15.92s
  Step 146/500 | 94.8 ms | elapsed 16.02s
  Step 147/500 | 95.7 ms | elapsed 16.11s
  Step 148/500 | 94.6 ms | elapsed 16.21s
  Step 149/500 | 92.8 ms | elapsed 16.30s
  Step 150/500 | 91.9 ms | elapsed 16.39s
  Step 151/500 | 91.1 ms | elapsed 16.48s
  Step 152/500 | 91.9 ms | elapsed 16.58s
  Step 153/500 | 90.8 ms | elapsed 16.67s
  Step 154/500 | 92.3 ms | elapsed 16.76s
  Step 155/500 | 90.5 ms | elapsed 16.85s
  Step 156/500 | 93.0 ms | elapsed 16.94s
  Step 157/500 | 95.7 ms | elapsed 17.04s
  Step 158/500 | 93.2 ms | elapsed 17.13s
  Step 159/500 | 94.2 ms | elapsed 17.23s
  Step 160/500 | 92.9 ms | elapsed 17.32s
  Step 161/500 | 92.6 ms | elapsed 17.41s
  Step 162/500 | 91.8 ms | elapsed 17.50s
  Step 163/500 | 93.0 ms | elapsed 17.60s
  Step 164/500 | 93.3 ms | elapsed 17.69s
  Step 165/500 | 91.2 ms | elapsed 17.78s
  Step 166/500 | 93.5 ms | elapsed 17.87s
  Step 167/500 | 95.1 ms | elapsed 17.97s
  Step 168/500 | 89.5 ms | elapsed 18.06s
  Step 169/500 | 92.9 ms | elapsed 18.15s
  Step 170/500 | 94.1 ms | elapsed 18.25s
  Step 171/500 | 90.9 ms | elapsed 18.34s
  Step 172/500 | 91.2 ms | elapsed 18.43s
  Step 173/500 | 92.6 ms | elapsed 18.52s
  Step 174/500 | 91.4 ms | elapsed 18.61s
  Step 175/500 | 92.3 ms | elapsed 18.70s
  Step 176/500 | 88.8 ms | elapsed 18.79s
  Step 177/500 | 94.4 ms | elapsed 18.89s
  Step 178/500 | 91.6 ms | elapsed 18.98s
  Step 179/500 | 93.2 ms | elapsed 19.07s
  Step 180/500 | 91.0 ms | elapsed 19.16s
  Step 181/500 | 91.7 ms | elapsed 19.26s
  Step 182/500 | 93.1 ms | elapsed 19.35s
  Step 183/500 | 93.2 ms | elapsed 19.44s
  Step 184/500 | 92.1 ms | elapsed 19.53s
  Step 185/500 | 89.0 ms | elapsed 19.62s
  Step 186/500 | 90.7 ms | elapsed 19.71s
  Step 187/500 | 95.8 ms | elapsed 19.81s
  Step 188/500 | 104.5 ms | elapsed 19.91s
  Step 189/500 | 99.7 ms | elapsed 20.01s
  Step 190/500 | 91.5 ms | elapsed 20.10s
  Step 191/500 | 90.1 ms | elapsed 20.19s
  Step 192/500 | 90.2 ms | elapsed 20.29s
  Step 193/500 | 90.0 ms | elapsed 20.37s
  Step 194/500 | 90.8 ms | elapsed 20.47s
  Step 195/500 | 91.9 ms | elapsed 20.56s
  Step 196/500 | 91.1 ms | elapsed 20.65s
  Step 197/500 | 92.8 ms | elapsed 20.74s
  Step 198/500 | 91.3 ms | elapsed 20.83s
  Step 199/500 | 91.2 ms | elapsed 20.92s
  Step 200/500 | 91.0 ms | elapsed 21.02s
  Step 201/500 | 90.1 ms | elapsed 21.11s
  Step 202/500 | 88.1 ms | elapsed 21.19s
  Step 203/500 | 88.3 ms | elapsed 21.28s
  Step 204/500 | 87.4 ms | elapsed 21.37s
  Step 205/500 | 89.3 ms | elapsed 21.46s
  Step 206/500 | 88.1 ms | elapsed 21.55s
  Step 207/500 | 90.8 ms | elapsed 21.64s
  Step 208/500 | 91.0 ms | elapsed 21.73s
  Step 209/500 | 92.5 ms | elapsed 21.82s
  Step 210/500 | 95.7 ms | elapsed 21.92s
  Step 211/500 | 91.5 ms | elapsed 22.01s
  Step 212/500 | 92.7 ms | elapsed 22.10s
  Step 213/500 | 91.6 ms | elapsed 22.19s
  Step 214/500 | 90.3 ms | elapsed 22.28s
  Step 215/500 | 92.9 ms | elapsed 22.38s
  Step 216/500 | 88.8 ms | elapsed 22.46s
  Step 217/500 | 87.8 ms | elapsed 22.55s
  Step 218/500 | 92.6 ms | elapsed 22.64s
  Step 219/500 | 91.6 ms | elapsed 22.74s
  Step 220/500 | 92.7 ms | elapsed 22.83s
  Step 221/500 | 92.7 ms | elapsed 22.92s
  Step 222/500 | 93.3 ms | elapsed 23.01s
  Step 223/500 | 93.1 ms | elapsed 23.11s
  Step 224/500 | 92.9 ms | elapsed 23.20s
  Step 225/500 | 91.9 ms | elapsed 23.29s
  Step 226/500 | 89.5 ms | elapsed 23.38s
  Step 227/500 | 94.0 ms | elapsed 23.48s
  Step 228/500 | 93.6 ms | elapsed 23.57s
  Step 229/500 | 91.9 ms | elapsed 23.66s
  Step 230/500 | 91.8 ms | elapsed 23.75s
  Step 231/500 | 92.1 ms | elapsed 23.85s
  Step 232/500 | 98.4 ms | elapsed 23.94s
  Step 233/500 | 92.7 ms | elapsed 24.04s
  Step 234/500 | 90.8 ms | elapsed 24.13s
  Step 235/500 | 90.1 ms | elapsed 24.22s
  Step 236/500 | 92.6 ms | elapsed 24.31s
  Step 237/500 | 90.0 ms | elapsed 24.40s
  Step 238/500 | 90.5 ms | elapsed 24.49s
  Step 239/500 | 91.7 ms | elapsed 24.58s
  Step 240/500 | 92.1 ms | elapsed 24.67s
  Step 241/500 | 89.7 ms | elapsed 24.76s
  Step 242/500 | 90.1 ms | elapsed 24.85s
  Step 243/500 | 89.6 ms | elapsed 24.94s
  Step 244/500 | 89.8 ms | elapsed 25.03s
  Step 245/500 | 90.8 ms | elapsed 25.12s
  Step 246/500 | 93.6 ms | elapsed 25.22s
  Step 247/500 | 94.1 ms | elapsed 25.31s
  Step 248/500 | 94.1 ms | elapsed 25.41s
  Step 249/500 | 94.9 ms | elapsed 25.50s
  Step 250/500 | 94.3 ms | elapsed 25.60s
  Step 251/500 | 93.3 ms | elapsed 25.69s
  Step 252/500 | 92.3 ms | elapsed 25.78s
  Step 253/500 | 93.7 ms | elapsed 25.87s
  Step 254/500 | 96.4 ms | elapsed 25.97s
  Step 255/500 | 92.0 ms | elapsed 26.06s
  Step 256/500 | 92.2 ms | elapsed 26.16s
  Step 257/500 | 92.8 ms | elapsed 26.25s
  Step 258/500 | 93.7 ms | elapsed 26.34s
  Step 259/500 | 95.1 ms | elapsed 26.44s
  Step 260/500 | 93.9 ms | elapsed 26.53s
  Step 261/500 | 92.2 ms | elapsed 26.62s
  Step 262/500 | 91.6 ms | elapsed 26.71s
  Step 263/500 | 92.3 ms | elapsed 26.81s
  Step 264/500 | 90.5 ms | elapsed 26.90s
  Step 265/500 | 90.4 ms | elapsed 26.99s
  Step 266/500 | 92.4 ms | elapsed 27.08s
  Step 267/500 | 93.0 ms | elapsed 27.17s
  Step 268/500 | 93.1 ms | elapsed 27.27s
  Step 269/500 | 92.5 ms | elapsed 27.36s
  Step 270/500 | 93.7 ms | elapsed 27.45s
  Step 271/500 | 91.9 ms | elapsed 27.54s
  Step 272/500 | 92.3 ms | elapsed 27.64s
  Step 273/500 | 92.3 ms | elapsed 27.73s
  Step 274/500 | 94.3 ms | elapsed 27.82s
  Step 275/500 | 94.2 ms | elapsed 27.92s
  Step 276/500 | 94.9 ms | elapsed 28.01s
  Step 277/500 | 99.4 ms | elapsed 28.11s
  Step 278/500 | 94.2 ms | elapsed 28.21s
  Step 279/500 | 97.7 ms | elapsed 28.30s
  Step 280/500 | 93.3 ms | elapsed 28.40s
  Step 281/500 | 90.2 ms | elapsed 28.49s
  Step 282/500 | 92.2 ms | elapsed 28.58s
  Step 283/500 | 92.0 ms | elapsed 28.67s
  Step 284/500 | 93.8 ms | elapsed 28.77s
  Step 285/500 | 93.8 ms | elapsed 28.86s
  Step 286/500 | 88.4 ms | elapsed 28.95s
  Step 287/500 | 90.5 ms | elapsed 29.04s
  Step 288/500 | 91.0 ms | elapsed 29.13s
  Step 289/500 | 91.6 ms | elapsed 29.22s
  Step 290/500 | 92.3 ms | elapsed 29.31s
  Step 291/500 | 91.3 ms | elapsed 29.40s
  Step 292/500 | 91.8 ms | elapsed 29.50s
  Step 293/500 | 96.3 ms | elapsed 29.59s
  Step 294/500 | 93.1 ms | elapsed 29.69s
  Step 295/500 | 93.1 ms | elapsed 29.78s
  Step 296/500 | 89.5 ms | elapsed 29.87s
  Step 297/500 | 108.0 ms | elapsed 29.98s
  Step 298/500 | 95.7 ms | elapsed 30.07s
  Step 299/500 | 96.0 ms | elapsed 30.17s
  Step 300/500 | 93.4 ms | elapsed 30.26s
  Step 301/500 | 90.2 ms | elapsed 30.35s
  Step 302/500 | 91.2 ms | elapsed 30.44s
  Step 303/500 | 107.0 ms | elapsed 30.55s
  Step 304/500 | 92.8 ms | elapsed 30.64s
  Step 305/500 | 93.6 ms | elapsed 30.74s
  Step 306/500 | 91.8 ms | elapsed 30.83s
  Step 307/500 | 97.4 ms | elapsed 30.93s
