<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773232167.007154 3899375 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 21472 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
I0000 00:00:1773232169.116978 3899697 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x1ddc5e60
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
  Observations transformed (e.g. log-space mode)
Creating filter: EDHParticleFlowFilter
Running EDHParticleFlowFilter...

  Step 1/500 | 3836.3 ms | elapsed 3.84s
  Step 2/500 | 111.8 ms | elapsed 3.95s
  Step 3/500 | 116.0 ms | elapsed 4.06s
  Step 4/500 | 122.2 ms | elapsed 4.19s
  Step 5/500 | 116.1 ms | elapsed 4.30s
  Step 6/500 | 114.1 ms | elapsed 4.42s
  Step 7/500 | 112.7 ms | elapsed 4.53s
  Step 8/500 | 115.3 ms | elapsed 4.64s
  Step 9/500 | 115.6 ms | elapsed 4.76s
  Step 10/500 | 123.8 ms | elapsed 4.88s
  Step 11/500 | 112.0 ms | elapsed 5.00s
  Step 12/500 | 120.9 ms | elapsed 5.12s
  Step 13/500 | 113.2 ms | elapsed 5.23s
  Step 14/500 | 132.3 ms | elapsed 5.36s
  Step 15/500 | 114.1 ms | elapsed 5.48s
  Step 16/500 | 115.1 ms | elapsed 5.59s
  Step 17/500 | 113.3 ms | elapsed 5.70s
  Step 18/500 | 112.3 ms | elapsed 5.82s
  Step 19/500 | 113.1 ms | elapsed 5.93s
  Step 20/500 | 122.0 ms | elapsed 6.05s
  Step 21/500 | 114.4 ms | elapsed 6.17s
  Step 22/500 | 114.6 ms | elapsed 6.28s
  Step 23/500 | 121.5 ms | elapsed 6.40s
  Step 24/500 | 116.2 ms | elapsed 6.52s
  Step 25/500 | 114.7 ms | elapsed 6.63s
  Step 26/500 | 113.8 ms | elapsed 6.75s
  Step 27/500 | 116.0 ms | elapsed 6.86s
  Step 28/500 | 112.9 ms | elapsed 6.98s
  Step 29/500 | 114.9 ms | elapsed 7.09s
  Step 30/500 | 118.8 ms | elapsed 7.21s
  Step 31/500 | 118.2 ms | elapsed 7.33s
  Step 32/500 | 124.8 ms | elapsed 7.45s
  Step 33/500 | 116.7 ms | elapsed 7.57s
  Step 34/500 | 119.2 ms | elapsed 7.69s
  Step 35/500 | 115.6 ms | elapsed 7.80s
  Step 36/500 | 121.7 ms | elapsed 7.93s
  Step 37/500 | 115.5 ms | elapsed 8.04s
  Step 38/500 | 124.7 ms | elapsed 8.17s
  Step 39/500 | 115.3 ms | elapsed 8.28s
  Step 40/500 | 121.4 ms | elapsed 8.40s
  Step 41/500 | 120.7 ms | elapsed 8.52s
  Step 42/500 | 115.1 ms | elapsed 8.64s
  Step 43/500 | 114.4 ms | elapsed 8.75s
  Step 44/500 | 121.3 ms | elapsed 8.87s
  Step 45/500 | 113.0 ms | elapsed 8.99s
  Step 46/500 | 116.0 ms | elapsed 9.10s
  Step 47/500 | 122.9 ms | elapsed 9.23s
  Step 48/500 | 117.3 ms | elapsed 9.34s
  Step 49/500 | 118.7 ms | elapsed 9.46s
  Step 50/500 | 117.5 ms | elapsed 9.58s
  Step 51/500 | 116.4 ms | elapsed 9.70s
  Step 52/500 | 114.7 ms | elapsed 9.81s
  Step 53/500 | 118.4 ms | elapsed 9.93s
  Step 54/500 | 123.7 ms | elapsed 10.05s
  Step 55/500 | 123.3 ms | elapsed 10.18s
  Step 56/500 | 134.5 ms | elapsed 10.31s
  Step 57/500 | 119.4 ms | elapsed 10.43s
  Step 58/500 | 124.2 ms | elapsed 10.55s
  Step 59/500 | 117.9 ms | elapsed 10.67s
  Step 60/500 | 117.8 ms | elapsed 10.79s
  Step 61/500 | 117.4 ms | elapsed 10.91s
  Step 62/500 | 114.6 ms | elapsed 11.02s
  Step 63/500 | 120.5 ms | elapsed 11.14s
  Step 64/500 | 118.5 ms | elapsed 11.26s
  Step 65/500 | 122.2 ms | elapsed 11.38s
  Step 66/500 | 116.8 ms | elapsed 11.50s
  Step 67/500 | 117.3 ms | elapsed 11.62s
  Step 68/500 | 122.8 ms | elapsed 11.74s
  Step 69/500 | 115.0 ms | elapsed 11.86s
  Step 70/500 | 123.8 ms | elapsed 11.98s
  Step 71/500 | 113.5 ms | elapsed 12.09s
  Step 72/500 | 113.1 ms | elapsed 12.21s
  Step 73/500 | 116.8 ms | elapsed 12.32s
  Step 74/500 | 136.5 ms | elapsed 12.46s
  Step 75/500 | 114.4 ms | elapsed 12.57s
  Step 76/500 | 115.9 ms | elapsed 12.69s
  Step 77/500 | 131.3 ms | elapsed 12.82s
  Step 78/500 | 144.1 ms | elapsed 12.97s
  Step 79/500 | 120.1 ms | elapsed 13.09s
  Step 80/500 | 117.0 ms | elapsed 13.20s
  Step 81/500 | 122.7 ms | elapsed 13.32s
  Step 82/500 | 115.9 ms | elapsed 13.44s
  Step 83/500 | 117.3 ms | elapsed 13.56s
  Step 84/500 | 120.1 ms | elapsed 13.68s
  Step 85/500 | 120.7 ms | elapsed 13.80s
  Step 86/500 | 123.5 ms | elapsed 13.92s
  Step 87/500 | 124.3 ms | elapsed 14.05s
  Step 88/500 | 119.9 ms | elapsed 14.17s
  Step 89/500 | 115.1 ms | elapsed 14.28s
  Step 90/500 | 114.5 ms | elapsed 14.40s
  Step 91/500 | 121.8 ms | elapsed 14.52s
  Step 92/500 | 129.8 ms | elapsed 14.65s
  Step 93/500 | 133.6 ms | elapsed 14.78s
  Step 94/500 | 116.9 ms | elapsed 14.90s
  Step 95/500 | 114.6 ms | elapsed 15.01s
  Step 96/500 | 113.8 ms | elapsed 15.13s
  Step 97/500 | 121.3 ms | elapsed 15.25s
  Step 98/500 | 116.9 ms | elapsed 15.36s
  Step 99/500 | 115.2 ms | elapsed 15.48s
  Step 100/500 | 117.3 ms | elapsed 15.60s
