<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773232781.547883 3902831 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 21538 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
I0000 00:00:1773232783.883921 3903133 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x896ca50
WARNING:tensorflow:From /home/haowu/JPML/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
  Observations transformed (e.g. log-space mode)
Creating filter: EDHParticleFlowFilter
Running EDHParticleFlowFilter...
[2026-03-11 20:39:44,337][tensorflow][WARNING] - From /home/haowu/JPML/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead

  Step 1/500 | 4659.9 ms | elapsed 4.66s
  Step 2/500 | 122.2 ms | elapsed 4.78s
  Step 3/500 | 120.8 ms | elapsed 4.90s
  Step 4/500 | 137.1 ms | elapsed 5.04s
  Step 5/500 | 126.7 ms | elapsed 5.17s
  Step 6/500 | 114.1 ms | elapsed 5.28s
  Step 7/500 | 130.9 ms | elapsed 5.41s
  Step 8/500 | 134.0 ms | elapsed 5.55s
  Step 9/500 | 118.2 ms | elapsed 5.66s
  Step 10/500 | 125.2 ms | elapsed 5.79s
  Step 11/500 | 119.3 ms | elapsed 5.91s
  Step 12/500 | 126.8 ms | elapsed 6.04s
  Step 13/500 | 119.2 ms | elapsed 6.15s
  Step 14/500 | 128.4 ms | elapsed 6.28s
  Step 15/500 | 118.4 ms | elapsed 6.40s
  Step 16/500 | 119.4 ms | elapsed 6.52s
  Step 17/500 | 118.5 ms | elapsed 6.64s
  Step 18/500 | 131.7 ms | elapsed 6.77s
  Step 19/500 | 119.6 ms | elapsed 6.89s
  Step 20/500 | 127.9 ms | elapsed 7.02s
  Step 21/500 | 118.6 ms | elapsed 7.14s
  Step 22/500 | 118.1 ms | elapsed 7.26s
  Step 23/500 | 128.3 ms | elapsed 7.38s
  Step 24/500 | 121.4 ms | elapsed 7.50s
  Step 25/500 | 119.1 ms | elapsed 7.62s
  Step 26/500 | 120.5 ms | elapsed 7.74s
  Step 27/500 | 118.7 ms | elapsed 7.86s
  Step 28/500 | 117.5 ms | elapsed 7.98s
  Step 29/500 | 119.2 ms | elapsed 8.10s
  Step 30/500 | 126.6 ms | elapsed 8.23s
  Step 31/500 | 118.2 ms | elapsed 8.34s
  Step 32/500 | 119.0 ms | elapsed 8.46s
  Step 33/500 | 119.7 ms | elapsed 8.58s
  Step 34/500 | 119.5 ms | elapsed 8.70s
  Step 35/500 | 118.8 ms | elapsed 8.82s
  Step 36/500 | 130.2 ms | elapsed 8.95s
  Step 37/500 | 118.8 ms | elapsed 9.07s
  Step 38/500 | 125.9 ms | elapsed 9.20s
  Step 39/500 | 118.0 ms | elapsed 9.31s
  Step 40/500 | 124.5 ms | elapsed 9.44s
  Step 41/500 | 129.2 ms | elapsed 9.57s
  Step 42/500 | 122.4 ms | elapsed 9.69s
  Step 43/500 | 122.3 ms | elapsed 9.81s
  Step 44/500 | 126.0 ms | elapsed 9.94s
  Step 45/500 | 127.7 ms | elapsed 10.07s
  Step 46/500 | 120.6 ms | elapsed 10.19s
  Step 47/500 | 120.1 ms | elapsed 10.31s
  Step 48/500 | 120.6 ms | elapsed 10.43s
  Step 49/500 | 120.9 ms | elapsed 10.55s
  Step 50/500 | 118.9 ms | elapsed 10.67s
  Step 51/500 | 119.0 ms | elapsed 10.79s
  Step 52/500 | 126.7 ms | elapsed 10.91s
  Step 53/500 | 123.0 ms | elapsed 11.04s
  Step 54/500 | 122.0 ms | elapsed 11.16s
  Step 55/500 | 128.2 ms | elapsed 11.29s
  Step 56/500 | 120.6 ms | elapsed 11.41s
  Step 57/500 | 119.3 ms | elapsed 11.53s
  Step 58/500 | 132.1 ms | elapsed 11.66s
  Step 59/500 | 120.1 ms | elapsed 11.78s
  Step 60/500 | 120.8 ms | elapsed 11.90s
  Step 61/500 | 119.9 ms | elapsed 12.02s
  Step 62/500 | 122.9 ms | elapsed 12.14s
  Step 63/500 | 121.4 ms | elapsed 12.26s
  Step 64/500 | 129.0 ms | elapsed 12.39s
  Step 65/500 | 129.2 ms | elapsed 12.52s
  Step 66/500 | 120.8 ms | elapsed 12.64s
  Step 67/500 | 122.5 ms | elapsed 12.77s
  Step 68/500 | 131.0 ms | elapsed 12.90s
  Step 69/500 | 120.2 ms | elapsed 13.02s
  Step 70/500 | 127.7 ms | elapsed 13.14s
  Step 71/500 | 119.7 ms | elapsed 13.26s
  Step 72/500 | 119.8 ms | elapsed 13.38s
  Step 73/500 | 120.6 ms | elapsed 13.50s
  Step 74/500 | 128.4 ms | elapsed 13.63s
  Step 75/500 | 121.2 ms | elapsed 13.75s
  Step 76/500 | 119.2 ms | elapsed 13.87s
  Step 77/500 | 127.9 ms | elapsed 14.00s
  Step 78/500 | 121.4 ms | elapsed 14.12s
  Step 79/500 | 117.6 ms | elapsed 14.24s
  Step 80/500 | 119.5 ms | elapsed 14.36s
  Step 81/500 | 124.6 ms | elapsed 14.48s
  Step 82/500 | 118.5 ms | elapsed 14.60s
  Step 83/500 | 119.8 ms | elapsed 14.72s
  Step 84/500 | 121.8 ms | elapsed 14.84s
  Step 85/500 | 119.1 ms | elapsed 14.96s
  Step 86/500 | 128.1 ms | elapsed 15.09s
  Step 87/500 | 129.4 ms | elapsed 15.22s
  Step 88/500 | 122.1 ms | elapsed 15.34s
  Step 89/500 | 123.9 ms | elapsed 15.47s
  Step 90/500 | 123.0 ms | elapsed 15.59s
  Step 91/500 | 127.7 ms | elapsed 15.72s
  Step 92/500 | 128.6 ms | elapsed 15.85s
  Step 93/500 | 119.5 ms | elapsed 15.97s
  Step 94/500 | 119.7 ms | elapsed 16.09s
  Step 95/500 | 117.9 ms | elapsed 16.20s
  Step 96/500 | 117.2 ms | elapsed 16.32s
  Step 97/500 | 123.9 ms | elapsed 16.44s
  Step 98/500 | 118.4 ms | elapsed 16.56s
  Step 99/500 | 118.4 ms | elapsed 16.68s
  Step 100/500 | 120.1 ms | elapsed 16.80s
  Step 101/500 | 125.2 ms | elapsed 16.93s
  Step 102/500 | 121.7 ms | elapsed 17.05s
  Step 103/500 | 121.4 ms | elapsed 17.17s
  Step 104/500 | 126.2 ms | elapsed 17.30s
  Step 105/500 | 121.3 ms | elapsed 17.42s
  Step 106/500 | 127.8 ms | elapsed 17.54s
  Step 107/500 | 122.3 ms | elapsed 17.67s
  Step 108/500 | 128.0 ms | elapsed 17.80s
  Step 109/500 | 124.4 ms | elapsed 17.92s
  Step 110/500 | 121.1 ms | elapsed 18.04s
  Step 111/500 | 117.7 ms | elapsed 18.16s
  Step 112/500 | 120.1 ms | elapsed 18.28s
  Step 113/500 | 124.6 ms | elapsed 18.40s
  Step 114/500 | 118.3 ms | elapsed 18.52s
  Step 115/500 | 124.6 ms | elapsed 18.65s
  Step 116/500 | 119.5 ms | elapsed 18.77s
  Step 117/500 | 132.2 ms | elapsed 18.90s
  Step 118/500 | 123.1 ms | elapsed 19.02s
  Step 119/500 | 117.8 ms | elapsed 19.14s
  Step 120/500 | 117.9 ms | elapsed 19.26s
  Step 121/500 | 122.8 ms | elapsed 19.38s
  Step 122/500 | 131.8 ms | elapsed 19.51s
  Step 123/500 | 135.9 ms | elapsed 19.65s
  Step 124/500 | 134.1 ms | elapsed 19.78s
  Step 125/500 | 126.2 ms | elapsed 19.91s
  Step 126/500 | 139.9 ms | elapsed 20.05s
  Step 127/500 | 117.5 ms | elapsed 20.16s
  Step 128/500 | 121.9 ms | elapsed 20.29s
  Step 129/500 | 122.3 ms | elapsed 20.41s
  Step 130/500 | 121.0 ms | elapsed 20.53s
  Step 131/500 | 119.9 ms | elapsed 20.65s
  Step 132/500 | 119.2 ms | elapsed 20.77s
  Step 133/500 | 128.9 ms | elapsed 20.90s
  Step 134/500 | 119.6 ms | elapsed 21.02s
  Step 135/500 | 126.9 ms | elapsed 21.14s
  Step 136/500 | 121.7 ms | elapsed 21.27s
  Step 137/500 | 119.8 ms | elapsed 21.39s
  Step 138/500 | 120.6 ms | elapsed 21.51s
  Step 139/500 | 119.0 ms | elapsed 21.63s
  Step 140/500 | 120.0 ms | elapsed 21.75s
  Step 141/500 | 125.3 ms | elapsed 21.87s
  Step 142/500 | 127.1 ms | elapsed 22.00s
  Step 143/500 | 119.4 ms | elapsed 22.12s
  Step 144/500 | 118.3 ms | elapsed 22.24s
  Step 145/500 | 128.9 ms | elapsed 22.36s
  Step 146/500 | 117.9 ms | elapsed 22.48s
  Step 147/500 | 120.0 ms | elapsed 22.60s
  Step 148/500 | 128.2 ms | elapsed 22.73s
  Step 149/500 | 117.8 ms | elapsed 22.85s
  Step 150/500 | 118.7 ms | elapsed 22.97s
  Step 151/500 | 117.9 ms | elapsed 23.09s
  Step 152/500 | 116.1 ms | elapsed 23.20s
  Step 153/500 | 122.3 ms | elapsed 23.32s
  Step 154/500 | 119.1 ms | elapsed 23.44s
  Step 155/500 | 117.4 ms | elapsed 23.56s
  Step 156/500 | 123.4 ms | elapsed 23.68s
  Step 157/500 | 116.6 ms | elapsed 23.80s
  Step 158/500 | 120.5 ms | elapsed 23.92s
  Step 159/500 | 125.8 ms | elapsed 24.05s
  Step 160/500 | 118.4 ms | elapsed 24.16s
  Step 161/500 | 124.7 ms | elapsed 24.29s
  Step 162/500 | 126.8 ms | elapsed 24.42s
  Step 163/500 | 118.7 ms | elapsed 24.53s
  Step 164/500 | 118.8 ms | elapsed 24.65s
  Step 165/500 | 121.9 ms | elapsed 24.78s
  Step 166/500 | 119.2 ms | elapsed 24.89s
  Step 167/500 | 119.4 ms | elapsed 25.01s
  Step 168/500 | 117.2 ms | elapsed 25.13s
  Step 169/500 | 117.5 ms | elapsed 25.25s
  Step 170/500 | 128.2 ms | elapsed 25.38s
  Step 171/500 | 123.3 ms | elapsed 25.50s
  Step 172/500 | 119.8 ms | elapsed 25.62s
  Step 173/500 | 122.6 ms | elapsed 25.74s
  Step 174/500 | 121.1 ms | elapsed 25.86s
  Step 175/500 | 121.3 ms | elapsed 25.99s
  Step 176/500 | 133.6 ms | elapsed 26.12s
  Step 177/500 | 125.0 ms | elapsed 26.24s
  Step 178/500 | 121.8 ms | elapsed 26.37s
  Step 179/500 | 120.7 ms | elapsed 26.49s
  Step 180/500 | 128.9 ms | elapsed 26.62s
  Step 181/500 | 121.7 ms | elapsed 26.74s
  Step 182/500 | 122.1 ms | elapsed 26.86s
  Step 183/500 | 123.3 ms | elapsed 26.98s
  Step 184/500 | 124.6 ms | elapsed 27.11s
  Step 185/500 | 128.5 ms | elapsed 27.24s
  Step 186/500 | 118.2 ms | elapsed 27.35s
  Step 187/500 | 116.2 ms | elapsed 27.47s
  Step 188/500 | 115.6 ms | elapsed 27.59s
  Step 189/500 | 123.8 ms | elapsed 27.71s
  Step 190/500 | 119.5 ms | elapsed 27.83s
  Step 191/500 | 115.4 ms | elapsed 27.94s
  Step 192/500 | 118.0 ms | elapsed 28.06s
  Step 193/500 | 118.4 ms | elapsed 28.18s
  Step 194/500 | 125.5 ms | elapsed 28.31s
  Step 195/500 | 118.3 ms | elapsed 28.42s
  Step 196/500 | 124.7 ms | elapsed 28.55s
  Step 197/500 | 118.5 ms | elapsed 28.67s
  Step 198/500 | 120.0 ms | elapsed 28.79s
  Step 199/500 | 120.2 ms | elapsed 28.91s
  Step 200/500 | 128.1 ms | elapsed 29.04s
  Step 201/500 | 118.4 ms | elapsed 29.15s
  Step 202/500 | 119.1 ms | elapsed 29.27s
  Step 203/500 | 120.1 ms | elapsed 29.39s
  Step 204/500 | 125.9 ms | elapsed 29.52s
  Step 205/500 | 123.1 ms | elapsed 29.64s
  Step 206/500 | 127.0 ms | elapsed 29.77s
  Step 207/500 | 118.3 ms | elapsed 29.89s
  Step 208/500 | 120.1 ms | elapsed 30.01s
  Step 209/500 | 127.3 ms | elapsed 30.14s
  Step 210/500 | 121.9 ms | elapsed 30.26s
  Step 211/500 | 121.8 ms | elapsed 30.38s
  Step 212/500 | 118.7 ms | elapsed 30.50s
  Step 213/500 | 125.4 ms | elapsed 30.62s
  Step 214/500 | 121.0 ms | elapsed 30.74s
  Step 215/500 | 122.3 ms | elapsed 30.87s
  Step 216/500 | 123.4 ms | elapsed 30.99s
  Step 217/500 | 129.7 ms | elapsed 31.12s
  Step 218/500 | 123.1 ms | elapsed 31.24s
  Step 219/500 | 124.5 ms | elapsed 31.37s
  Step 220/500 | 121.5 ms | elapsed 31.49s
  Step 221/500 | 118.3 ms | elapsed 31.61s
  Step 222/500 | 122.2 ms | elapsed 31.73s
  Step 223/500 | 122.3 ms | elapsed 31.85s
  Step 224/500 | 126.0 ms | elapsed 31.98s
  Step 225/500 | 127.3 ms | elapsed 32.10s
  Step 226/500 | 131.0 ms | elapsed 32.24s
  Step 227/500 | 117.8 ms | elapsed 32.35s
  Step 228/500 | 128.0 ms | elapsed 32.48s
  Step 229/500 | 127.1 ms | elapsed 32.61s
  Step 230/500 | 120.4 ms | elapsed 32.73s
  Step 231/500 | 120.6 ms | elapsed 32.85s
  Step 232/500 | 129.7 ms | elapsed 32.98s
  Step 233/500 | 120.0 ms | elapsed 33.10s
  Step 234/500 | 122.1 ms | elapsed 33.22s
  Step 235/500 | 122.3 ms | elapsed 33.34s
  Step 236/500 | 115.1 ms | elapsed 33.46s
  Step 237/500 | 123.8 ms | elapsed 33.58s
  Step 238/500 | 120.8 ms | elapsed 33.70s
  Step 239/500 | 119.7 ms | elapsed 33.82s
  Step 240/500 | 118.9 ms | elapsed 33.94s
  Step 241/500 | 124.6 ms | elapsed 34.07s
  Step 242/500 | 119.9 ms | elapsed 34.19s
  Step 243/500 | 129.8 ms | elapsed 34.32s
  Step 244/500 | 128.8 ms | elapsed 34.44s
  Step 245/500 | 130.5 ms | elapsed 34.58s
  Step 246/500 | 128.8 ms | elapsed 34.70s
  Step 247/500 | 130.0 ms | elapsed 34.83s
  Step 248/500 | 127.6 ms | elapsed 34.96s
  Step 249/500 | 127.5 ms | elapsed 35.09s
  Step 250/500 | 119.0 ms | elapsed 35.21s
  Step 251/500 | 118.0 ms | elapsed 35.33s
  Step 252/500 | 117.7 ms | elapsed 35.44s
  Step 253/500 | 127.2 ms | elapsed 35.57s
  Step 254/500 | 116.7 ms | elapsed 35.69s
  Step 255/500 | 121.6 ms | elapsed 35.81s
  Step 256/500 | 120.8 ms | elapsed 35.93s
  Step 257/500 | 130.6 ms | elapsed 36.06s
  Step 258/500 | 125.5 ms | elapsed 36.19s
  Step 259/500 | 122.8 ms | elapsed 36.31s
  Step 260/500 | 120.1 ms | elapsed 36.43s
  Step 261/500 | 123.6 ms | elapsed 36.55s
  Step 262/500 | 119.5 ms | elapsed 36.67s
  Step 263/500 | 122.5 ms | elapsed 36.80s
  Step 264/500 | 125.0 ms | elapsed 36.92s
  Step 265/500 | 127.7 ms | elapsed 37.05s
  Step 266/500 | 121.8 ms | elapsed 37.17s
  Step 267/500 | 127.0 ms | elapsed 37.30s
  Step 268/500 | 127.3 ms | elapsed 37.42s
  Step 269/500 | 122.8 ms | elapsed 37.55s
  Step 270/500 | 121.4 ms | elapsed 37.67s
  Step 271/500 | 128.4 ms | elapsed 37.80s
  Step 272/500 | 126.5 ms | elapsed 37.92s
  Step 273/500 | 128.1 ms | elapsed 38.05s
  Step 274/500 | 124.0 ms | elapsed 38.17s
  Step 275/500 | 121.3 ms | elapsed 38.30s
  Step 276/500 | 130.4 ms | elapsed 38.43s
  Step 277/500 | 121.0 ms | elapsed 38.55s
  Step 278/500 | 122.1 ms | elapsed 38.67s
  Step 279/500 | 119.7 ms | elapsed 38.79s
  Step 280/500 | 127.6 ms | elapsed 38.92s
  Step 281/500 | 125.3 ms | elapsed 39.04s
  Step 282/500 | 121.4 ms | elapsed 39.16s
  Step 283/500 | 121.5 ms | elapsed 39.29s
  Step 284/500 | 119.6 ms | elapsed 39.40s
  Step 285/500 | 119.4 ms | elapsed 39.52s
  Step 286/500 | 124.4 ms | elapsed 39.65s
  Step 287/500 | 118.7 ms | elapsed 39.77s
  Step 288/500 | 118.6 ms | elapsed 39.89s
  Step 289/500 | 126.9 ms | elapsed 40.01s
  Step 290/500 | 119.1 ms | elapsed 40.13s
  Step 291/500 | 127.9 ms | elapsed 40.26s
  Step 292/500 | 123.4 ms | elapsed 40.38s
