<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773379240.593261 4050811 service.cc:145] XLA service 0x7b2cf0006080 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773379240.593296 4050811 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773379240.611676 4050811 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
Creating filter: ExtendedKalmanFilter
Initialized ExtendedKalmanFilter with sampled initial state from model distribution
Running ExtendedKalmanFilter...

  Step 1/500 | 2315.3 ms | elapsed 2.32s
  Step 2/500 | 3.9 ms | elapsed 2.32s
  Step 3/500 | 3.8 ms | elapsed 2.32s
  Step 4/500 | 3.9 ms | elapsed 2.33s
  Step 5/500 | 3.5 ms | elapsed 2.33s
  Step 6/500 | 3.7 ms | elapsed 2.33s
  Step 7/500 | 3.7 ms | elapsed 2.34s
  Step 8/500 | 3.7 ms | elapsed 2.34s
  Step 9/500 | 4.0 ms | elapsed 2.35s
  Step 10/500 | 3.7 ms | elapsed 2.35s
  Step 11/500 | 3.6 ms | elapsed 2.35s
  Step 12/500 | 3.5 ms | elapsed 2.36s
  Step 13/500 | 3.6 ms | elapsed 2.36s
  Step 14/500 | 3.7 ms | elapsed 2.36s
  Step 15/500 | 3.7 ms | elapsed 2.37s
  Step 16/500 | 3.6 ms | elapsed 2.37s
  Step 17/500 | 3.6 ms | elapsed 2.37s
  Step 18/500 | 3.6 ms | elapsed 2.38s
  Step 19/500 | 3.6 ms | elapsed 2.38s
  Step 20/500 | 3.6 ms | elapsed 2.39s
  Step 21/500 | 3.6 ms | elapsed 2.39s
  Step 22/500 | 3.6 ms | elapsed 2.39s
  Step 23/500 | 3.5 ms | elapsed 2.40s
  Step 24/500 | 3.5 ms | elapsed 2.40s
  Step 25/500 | 3.6 ms | elapsed 2.40s
  Step 26/500 | 2.5 ms | elapsed 2.41s
  Step 27/500 | 2.3 ms | elapsed 2.41s
  Step 28/500 | 2.5 ms | elapsed 2.41s
  Step 29/500 | 2.9 ms | elapsed 2.41s
  Step 30/500 | 2.7 ms | elapsed 2.42s
  Step 31/500 | 2.5 ms | elapsed 2.42s
  Step 32/500 | 3.6 ms | elapsed 2.42s
  Step 33/500 | 3.8 ms | elapsed 2.43s
  Step 34/500 | 3.7 ms | elapsed 2.43s
  Step 35/500 | 3.7 ms | elapsed 2.43s
  Step 36/500 | 3.6 ms | elapsed 2.44s
  Step 37/500 | 3.8 ms | elapsed 2.44s
