<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
Creating filter: KernelMappingPF
Running KernelMappingPF...

  Step 1/500 | 579.7 ms | elapsed 0.58s
  Step 2/500 | 561.5 ms | elapsed 1.14s
  Step 3/500 | 443.1 ms | elapsed 1.58s
  Step 4/500 | 624.6 ms | elapsed 2.21s
  Step 5/500 | 556.1 ms | elapsed 2.76s
  Step 6/500 | 632.5 ms | elapsed 3.40s
  Step 7/500 | 627.6 ms | elapsed 4.02s
  Step 8/500 | 637.8 ms | elapsed 4.66s
  Step 9/500 | 777.2 ms | elapsed 5.44s
  Step 10/500 | 490.6 ms | elapsed 5.93s
  Step 11/500 | 429.9 ms | elapsed 6.36s
  Step 12/500 | 521.4 ms | elapsed 6.88s
  Step 13/500 | 462.1 ms | elapsed 7.34s
  Step 14/500 | 412.1 ms | elapsed 7.76s
  Step 15/500 | 553.2 ms | elapsed 8.31s
  Step 16/500 | 586.7 ms | elapsed 8.90s
  Step 17/500 | 489.1 ms | elapsed 9.39s
  Step 18/500 | 451.4 ms | elapsed 9.84s
  Step 19/500 | 420.9 ms | elapsed 10.26s
  Step 20/500 | 603.8 ms | elapsed 10.86s
  Step 21/500 | 568.4 ms | elapsed 11.43s
  Step 22/500 | 564.6 ms | elapsed 11.99s
  Step 23/500 | 690.4 ms | elapsed 12.68s
  Step 24/500 | 764.9 ms | elapsed 13.45s
  Step 25/500 | 725.5 ms | elapsed 14.18s
  Step 26/500 | 548.6 ms | elapsed 14.72s
  Step 27/500 | 519.5 ms | elapsed 15.24s
  Step 28/500 | 485.4 ms | elapsed 15.73s
  Step 29/500 | 613.3 ms | elapsed 16.34s
  Step 30/500 | 640.9 ms | elapsed 16.98s
  Step 31/500 | 601.5 ms | elapsed 17.58s
  Step 32/500 | 406.1 ms | elapsed 17.99s
  Step 33/500 | 706.5 ms | elapsed 18.70s
  Step 34/500 | 575.1 ms | elapsed 19.27s
  Step 35/500 | 551.0 ms | elapsed 19.82s
  Step 36/500 | 607.7 ms | elapsed 20.43s
  Step 37/500 | 807.9 ms | elapsed 21.24s
  Step 38/500 | 498.6 ms | elapsed 21.74s
  Step 39/500 | 580.4 ms | elapsed 22.32s
  Step 40/500 | 502.2 ms | elapsed 22.82s
  Step 41/500 | 519.7 ms | elapsed 23.34s
  Step 42/500 | 522.9 ms | elapsed 23.86s
  Step 43/500 | 525.0 ms | elapsed 24.39s
  Step 44/500 | 623.3 ms | elapsed 25.01s
  Step 45/500 | 524.2 ms | elapsed 25.53s
  Step 46/500 | 644.9 ms | elapsed 26.18s
  Step 47/500 | 554.4 ms | elapsed 26.73s
  Step 48/500 | 552.5 ms | elapsed 27.29s
  Step 49/500 | 482.7 ms | elapsed 27.77s
