<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773232213.613666 3900270 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 21364 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
I0000 00:00:1773232215.402946 3900270 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x17190540
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
  Observations transformed (e.g. log-space mode)
Creating filter: KernelMappingPF
Running KernelMappingPF...

  Step 1/500 | 1115.6 ms | elapsed 1.12s
  Step 2/500 | 487.8 ms | elapsed 1.60s
  Step 3/500 | 497.3 ms | elapsed 2.10s
  Step 4/500 | 615.0 ms | elapsed 2.72s
  Step 5/500 | 569.4 ms | elapsed 3.29s
  Step 6/500 | 559.6 ms | elapsed 3.84s
  Step 7/500 | 460.2 ms | elapsed 4.30s
  Step 8/500 | 644.8 ms | elapsed 4.95s
  Step 9/500 | 547.2 ms | elapsed 5.50s
  Step 10/500 | 770.7 ms | elapsed 6.27s
  Step 11/500 | 557.2 ms | elapsed 6.82s
  Step 12/500 | 628.3 ms | elapsed 7.45s
  Step 13/500 | 444.7 ms | elapsed 7.90s
  Step 14/500 | 687.9 ms | elapsed 8.59s
  Step 15/500 | 484.8 ms | elapsed 9.07s
  Step 16/500 | 299.7 ms | elapsed 9.37s
  Step 17/500 | 471.8 ms | elapsed 9.84s
  Step 18/500 | 528.4 ms | elapsed 10.37s
  Step 19/500 | 335.9 ms | elapsed 10.71s
  Step 20/500 | 468.8 ms | elapsed 11.18s/home/haowu/JPML/code/src/filters/particle/kernel_flow.py:350: UserWarning: PFF did not converge in 500 iterations. Final flow magnitude: 1.53e-02
  warnings.warn(f"PFF did not converge in {self.max_iter} iterations. "

  Step 21/500 | 2789.9 ms | elapsed 13.97s
  Step 22/500 | 557.5 ms | elapsed 14.52s
  Step 23/500 | 655.4 ms | elapsed 15.18s
  Step 24/500 | 482.8 ms | elapsed 15.66s
  Step 25/500 | 462.4 ms | elapsed 16.12s
  Step 26/500 | 535.4 ms | elapsed 16.66s
  Step 27/500 | 449.9 ms | elapsed 17.11s
  Step 28/500 | 464.8 ms | elapsed 17.57s
  Step 29/500 | 444.1 ms | elapsed 18.02s
  Step 30/500 | 551.7 ms | elapsed 18.57s
  Step 31/500 | 572.6 ms | elapsed 19.14s
  Step 32/500 | 497.7 ms | elapsed 19.64s
  Step 33/500 | 606.8 ms | elapsed 20.25s
  Step 34/500 | 404.8 ms | elapsed 20.65s
  Step 35/500 | 640.0 ms | elapsed 21.29s
  Step 36/500 | 469.3 ms | elapsed 21.76s
  Step 37/500 | 647.4 ms | elapsed 22.41s
  Step 38/500 | 700.4 ms | elapsed 23.11s
  Step 39/500 | 596.5 ms | elapsed 23.70s
  Step 40/500 | 662.7 ms | elapsed 24.37s
  Step 41/500 | 662.0 ms | elapsed 25.03s
  Step 42/500 | 535.9 ms | elapsed 25.57s
  Step 43/500 | 555.4 ms | elapsed 26.12s
  Step 44/500 | 681.7 ms | elapsed 26.80s
  Step 45/500 | 676.5 ms | elapsed 27.48s
  Step 46/500 | 501.8 ms | elapsed 27.98s
  Step 47/500 | 561.8 ms | elapsed 28.54s
  Step 48/500 | 459.5 ms | elapsed 29.00s
  Step 49/500 | 559.5 ms | elapsed 29.56s
  Step 50/500 | 578.3 ms | elapsed 30.14s
  Step 51/500 | 504.7 ms | elapsed 30.64s
  Step 52/500 | 594.0 ms | elapsed 31.24s
  Step 53/500 | 505.5 ms | elapsed 31.74s
  Step 54/500 | 668.0 ms | elapsed 32.41s
  Step 55/500 | 653.6 ms | elapsed 33.07s
  Step 56/500 | 577.3 ms | elapsed 33.64s
  Step 57/500 | 638.5 ms | elapsed 34.28s
  Step 58/500 | 600.1 ms | elapsed 34.88s
  Step 59/500 | 460.5 ms | elapsed 35.34s
  Step 60/500 | 563.4 ms | elapsed 35.91s
  Step 61/500 | 455.9 ms | elapsed 36.36s
  Step 62/500 | 445.3 ms | elapsed 36.81s
  Step 63/500 | 446.4 ms | elapsed 37.25s
  Step 64/500 | 563.3 ms | elapsed 37.82s
  Step 65/500 | 647.7 ms | elapsed 38.46s
  Step 66/500 | 608.4 ms | elapsed 39.07s
  Step 67/500 | 596.4 ms | elapsed 39.67s
