<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773232781.549430 3902827 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 21538 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
I0000 00:00:1773232783.916828 3903156 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x354bd1c0
WARNING:tensorflow:From /home/haowu/JPML/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
  Observations transformed (e.g. log-space mode)
Creating filter: LocalExactDaumHuangFlow
Running LocalExactDaumHuangFlow...
[2026-03-11 20:39:44,375][tensorflow][WARNING] - From /home/haowu/JPML/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead

  Step 1/500 | 2699.1 ms | elapsed 2.70s
  Step 2/500 | 138.4 ms | elapsed 2.84s
  Step 3/500 | 134.0 ms | elapsed 2.97s
  Step 4/500 | 133.3 ms | elapsed 3.10s
  Step 5/500 | 160.5 ms | elapsed 3.27s
  Step 6/500 | 142.2 ms | elapsed 3.41s
  Step 7/500 | 145.3 ms | elapsed 3.55s
  Step 8/500 | 137.1 ms | elapsed 3.69s
  Step 9/500 | 138.0 ms | elapsed 3.83s
  Step 10/500 | 139.9 ms | elapsed 3.97s
  Step 11/500 | 137.0 ms | elapsed 4.10s
  Step 12/500 | 137.3 ms | elapsed 4.24s
  Step 13/500 | 149.0 ms | elapsed 4.39s
  Step 14/500 | 138.6 ms | elapsed 4.53s
  Step 15/500 | 142.4 ms | elapsed 4.67s
  Step 16/500 | 141.7 ms | elapsed 4.81s
  Step 17/500 | 141.0 ms | elapsed 4.95s
  Step 18/500 | 138.5 ms | elapsed 5.09s
  Step 19/500 | 143.8 ms | elapsed 5.24s
  Step 20/500 | 142.7 ms | elapsed 5.38s
  Step 21/500 | 141.3 ms | elapsed 5.52s
  Step 22/500 | 141.6 ms | elapsed 5.66s
  Step 23/500 | 140.6 ms | elapsed 5.80s
  Step 24/500 | 143.2 ms | elapsed 5.95s
  Step 25/500 | 140.1 ms | elapsed 6.09s
  Step 26/500 | 145.4 ms | elapsed 6.23s
  Step 27/500 | 149.3 ms | elapsed 6.38s
  Step 28/500 | 148.9 ms | elapsed 6.53s
  Step 29/500 | 140.4 ms | elapsed 6.67s
  Step 30/500 | 141.6 ms | elapsed 6.81s
  Step 31/500 | 141.1 ms | elapsed 6.95s
  Step 32/500 | 139.8 ms | elapsed 7.09s
  Step 33/500 | 139.3 ms | elapsed 7.23s
  Step 34/500 | 136.3 ms | elapsed 7.37s
  Step 35/500 | 140.8 ms | elapsed 7.51s
  Step 36/500 | 135.5 ms | elapsed 7.65s
  Step 37/500 | 140.9 ms | elapsed 7.79s
  Step 38/500 | 139.3 ms | elapsed 7.93s
  Step 39/500 | 140.5 ms | elapsed 8.07s
  Step 40/500 | 141.6 ms | elapsed 8.21s
  Step 41/500 | 137.8 ms | elapsed 8.35s
  Step 42/500 | 139.4 ms | elapsed 8.48s
  Step 43/500 | 141.3 ms | elapsed 8.63s
  Step 44/500 | 139.8 ms | elapsed 8.77s
  Step 45/500 | 142.3 ms | elapsed 8.91s
  Step 46/500 | 142.5 ms | elapsed 9.05s
  Step 47/500 | 138.2 ms | elapsed 9.19s
  Step 48/500 | 138.4 ms | elapsed 9.33s
  Step 49/500 | 141.7 ms | elapsed 9.47s
  Step 50/500 | 140.4 ms | elapsed 9.61s
  Step 51/500 | 138.8 ms | elapsed 9.75s
  Step 52/500 | 141.5 ms | elapsed 9.89s
  Step 53/500 | 137.2 ms | elapsed 10.03s
  Step 54/500 | 137.8 ms | elapsed 10.16s
  Step 55/500 | 138.9 ms | elapsed 10.30s
  Step 56/500 | 139.5 ms | elapsed 10.44s
  Step 57/500 | 139.6 ms | elapsed 10.58s
  Step 58/500 | 139.9 ms | elapsed 10.72s
  Step 59/500 | 142.1 ms | elapsed 10.86s
  Step 60/500 | 138.8 ms | elapsed 11.00s
  Step 61/500 | 141.3 ms | elapsed 11.14s
  Step 62/500 | 136.5 ms | elapsed 11.28s
  Step 63/500 | 137.8 ms | elapsed 11.42s
  Step 64/500 | 138.6 ms | elapsed 11.56s
  Step 65/500 | 136.8 ms | elapsed 11.69s
  Step 66/500 | 136.9 ms | elapsed 11.83s
  Step 67/500 | 135.9 ms | elapsed 11.97s
  Step 68/500 | 140.6 ms | elapsed 12.11s
  Step 69/500 | 138.0 ms | elapsed 12.25s
  Step 70/500 | 137.4 ms | elapsed 12.38s
  Step 71/500 | 140.3 ms | elapsed 12.52s
  Step 72/500 | 139.0 ms | elapsed 12.66s
  Step 73/500 | 135.4 ms | elapsed 12.80s
  Step 74/500 | 137.7 ms | elapsed 12.94s
  Step 75/500 | 140.2 ms | elapsed 13.08s
  Step 76/500 | 139.2 ms | elapsed 13.21s
  Step 77/500 | 141.5 ms | elapsed 13.36s
  Step 78/500 | 135.4 ms | elapsed 13.49s
  Step 79/500 | 141.7 ms | elapsed 13.63s
  Step 80/500 | 140.6 ms | elapsed 13.77s
  Step 81/500 | 140.1 ms | elapsed 13.91s
  Step 82/500 | 140.7 ms | elapsed 14.05s
  Step 83/500 | 141.6 ms | elapsed 14.20s
  Step 84/500 | 140.7 ms | elapsed 14.34s
  Step 85/500 | 138.2 ms | elapsed 14.48s
  Step 86/500 | 138.2 ms | elapsed 14.61s
  Step 87/500 | 141.8 ms | elapsed 14.76s
  Step 88/500 | 138.9 ms | elapsed 14.89s
  Step 89/500 | 138.6 ms | elapsed 15.03s
  Step 90/500 | 137.7 ms | elapsed 15.17s
  Step 91/500 | 140.6 ms | elapsed 15.31s
  Step 92/500 | 142.3 ms | elapsed 15.45s
  Step 93/500 | 139.8 ms | elapsed 15.59s
  Step 94/500 | 140.0 ms | elapsed 15.73s
