<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773232209.671281 3900105 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 21364 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
I0000 00:00:1773232211.955169 3900210 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x2a7b9a00
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
  Observations transformed (e.g. log-space mode)
Creating filter: LEDHParticleFlowFilter
Running LEDHParticleFlowFilter...

  Step 1/500 | 3745.1 ms | elapsed 3.75s
  Step 2/500 | 136.5 ms | elapsed 3.88s
  Step 3/500 | 136.9 ms | elapsed 4.02s
  Step 4/500 | 142.4 ms | elapsed 4.16s
  Step 5/500 | 135.8 ms | elapsed 4.30s
  Step 6/500 | 136.5 ms | elapsed 4.43s
  Step 7/500 | 138.5 ms | elapsed 4.57s
  Step 8/500 | 137.4 ms | elapsed 4.71s
  Step 9/500 | 139.0 ms | elapsed 4.85s
  Step 10/500 | 143.7 ms | elapsed 4.99s
  Step 11/500 | 137.3 ms | elapsed 5.13s
  Step 12/500 | 138.2 ms | elapsed 5.27s
  Step 13/500 | 135.2 ms | elapsed 5.40s
  Step 14/500 | 144.6 ms | elapsed 5.55s
  Step 15/500 | 138.8 ms | elapsed 5.69s
  Step 16/500 | 139.7 ms | elapsed 5.83s
  Step 17/500 | 140.7 ms | elapsed 5.97s
  Step 18/500 | 139.7 ms | elapsed 6.11s
  Step 19/500 | 136.3 ms | elapsed 6.24s
  Step 20/500 | 136.0 ms | elapsed 6.38s
  Step 21/500 | 137.7 ms | elapsed 6.52s
  Step 22/500 | 146.4 ms | elapsed 6.66s
  Step 23/500 | 138.1 ms | elapsed 6.80s
  Step 24/500 | 134.9 ms | elapsed 6.94s
  Step 25/500 | 136.0 ms | elapsed 7.07s
  Step 26/500 | 147.2 ms | elapsed 7.22s
  Step 27/500 | 137.3 ms | elapsed 7.36s
  Step 28/500 | 139.6 ms | elapsed 7.50s
  Step 29/500 | 140.0 ms | elapsed 7.64s
  Step 30/500 | 142.0 ms | elapsed 7.78s
  Step 31/500 | 143.1 ms | elapsed 7.92s
  Step 32/500 | 139.3 ms | elapsed 8.06s
  Step 33/500 | 147.3 ms | elapsed 8.21s
  Step 34/500 | 138.8 ms | elapsed 8.35s
  Step 35/500 | 143.8 ms | elapsed 8.49s
  Step 36/500 | 143.1 ms | elapsed 8.63s
  Step 37/500 | 147.6 ms | elapsed 8.78s
  Step 38/500 | 136.7 ms | elapsed 8.92s
  Step 39/500 | 146.9 ms | elapsed 9.06s
  Step 40/500 | 154.6 ms | elapsed 9.22s
  Step 41/500 | 151.5 ms | elapsed 9.37s
  Step 42/500 | 148.8 ms | elapsed 9.52s
  Step 43/500 | 147.4 ms | elapsed 9.67s
  Step 44/500 | 155.9 ms | elapsed 9.82s
  Step 45/500 | 145.9 ms | elapsed 9.97s
  Step 46/500 | 144.8 ms | elapsed 10.11s
  Step 47/500 | 153.3 ms | elapsed 10.27s
  Step 48/500 | 145.0 ms | elapsed 10.41s
  Step 49/500 | 144.8 ms | elapsed 10.56s
  Step 50/500 | 147.9 ms | elapsed 10.70s
  Step 51/500 | 145.5 ms | elapsed 10.85s
  Step 52/500 | 142.2 ms | elapsed 10.99s
  Step 53/500 | 140.8 ms | elapsed 11.13s
  Step 54/500 | 151.8 ms | elapsed 11.28s
  Step 55/500 | 141.5 ms | elapsed 11.43s
  Step 56/500 | 149.0 ms | elapsed 11.57s
  Step 57/500 | 140.7 ms | elapsed 11.72s
  Step 58/500 | 144.1 ms | elapsed 11.86s
  Step 59/500 | 142.7 ms | elapsed 12.00s
  Step 60/500 | 150.7 ms | elapsed 12.15s
  Step 61/500 | 139.7 ms | elapsed 12.29s
  Step 62/500 | 144.8 ms | elapsed 12.44s
  Step 63/500 | 141.6 ms | elapsed 12.58s
  Step 64/500 | 140.0 ms | elapsed 12.72s
  Step 65/500 | 149.0 ms | elapsed 12.87s
  Step 66/500 | 139.3 ms | elapsed 13.01s
  Step 67/500 | 141.1 ms | elapsed 13.15s
  Step 68/500 | 140.5 ms | elapsed 13.29s
  Step 69/500 | 143.0 ms | elapsed 13.43s
  Step 70/500 | 151.5 ms | elapsed 13.58s
  Step 71/500 | 147.6 ms | elapsed 13.73s
  Step 72/500 | 140.9 ms | elapsed 13.87s
  Step 73/500 | 142.8 ms | elapsed 14.01s
  Step 74/500 | 148.2 ms | elapsed 14.16s
  Step 75/500 | 139.0 ms | elapsed 14.30s
  Step 76/500 | 137.4 ms | elapsed 14.44s
  Step 77/500 | 146.9 ms | elapsed 14.59s
  Step 78/500 | 138.4 ms | elapsed 14.72s
  Step 79/500 | 140.8 ms | elapsed 14.87s
  Step 80/500 | 142.6 ms | elapsed 15.01s
  Step 81/500 | 140.0 ms | elapsed 15.15s
  Step 82/500 | 139.7 ms | elapsed 15.29s
  Step 83/500 | 141.2 ms | elapsed 15.43s
  Step 84/500 | 141.3 ms | elapsed 15.57s
  Step 85/500 | 141.4 ms | elapsed 15.71s
  Step 86/500 | 147.4 ms | elapsed 15.86s
  Step 87/500 | 149.9 ms | elapsed 16.01s
  Step 88/500 | 141.9 ms | elapsed 16.15s
  Step 89/500 | 139.4 ms | elapsed 16.29s
  Step 90/500 | 139.1 ms | elapsed 16.43s
  Step 91/500 | 150.8 ms | elapsed 16.58s
  Step 92/500 | 142.3 ms | elapsed 16.72s
  Step 93/500 | 142.6 ms | elapsed 16.86s
  Step 94/500 | 152.0 ms | elapsed 17.02s
  Step 95/500 | 140.0 ms | elapsed 17.16s
  Step 96/500 | 140.9 ms | elapsed 17.30s
  Step 97/500 | 145.1 ms | elapsed 17.44s
  Step 98/500 | 139.5 ms | elapsed 17.58s
  Step 99/500 | 141.2 ms | elapsed 17.72s
  Step 100/500 | 139.9 ms | elapsed 17.86s
  Step 101/500 | 141.7 ms | elapsed 18.01s
  Step 102/500 | 140.2 ms | elapsed 18.15s
  Step 103/500 | 148.2 ms | elapsed 18.29s
  Step 104/500 | 142.4 ms | elapsed 18.44s
  Step 105/500 | 142.0 ms | elapsed 18.58s
  Step 106/500 | 148.2 ms | elapsed 18.73s
  Step 107/500 | 139.8 ms | elapsed 18.87s
  Step 108/500 | 147.0 ms | elapsed 19.01s
  Step 109/500 | 141.7 ms | elapsed 19.15s
  Step 110/500 | 146.5 ms | elapsed 19.30s
  Step 111/500 | 144.7 ms | elapsed 19.45s
  Step 112/500 | 140.4 ms | elapsed 19.59s
  Step 113/500 | 142.3 ms | elapsed 19.73s
  Step 114/500 | 136.7 ms | elapsed 19.87s
  Step 115/500 | 143.1 ms | elapsed 20.01s
  Step 116/500 | 157.4 ms | elapsed 20.17s
  Step 117/500 | 156.4 ms | elapsed 20.32s
  Step 118/500 | 160.6 ms | elapsed 20.48s
  Step 119/500 | 144.3 ms | elapsed 20.63s
  Step 120/500 | 143.8 ms | elapsed 20.77s
  Step 121/500 | 140.7 ms | elapsed 20.91s
  Step 122/500 | 146.0 ms | elapsed 21.06s
  Step 123/500 | 152.6 ms | elapsed 21.21s
  Step 124/500 | 155.8 ms | elapsed 21.37s
  Step 125/500 | 141.5 ms | elapsed 21.51s
  Step 126/500 | 142.5 ms | elapsed 21.65s
  Step 127/500 | 142.7 ms | elapsed 21.79s
  Step 128/500 | 154.4 ms | elapsed 21.95s
  Step 129/500 | 138.6 ms | elapsed 22.09s
  Step 130/500 | 139.2 ms | elapsed 22.22s
  Step 131/500 | 145.2 ms | elapsed 22.37s
  Step 132/500 | 137.4 ms | elapsed 22.51s
  Step 133/500 | 140.2 ms | elapsed 22.65s
  Step 134/500 | 142.2 ms | elapsed 22.79s
  Step 135/500 | 150.9 ms | elapsed 22.94s
  Step 136/500 | 136.8 ms | elapsed 23.08s
  Step 137/500 | 167.5 ms | elapsed 23.25s
  Step 138/500 | 141.0 ms | elapsed 23.39s
  Step 139/500 | 141.9 ms | elapsed 23.53s
  Step 140/500 | 139.1 ms | elapsed 23.67s
  Step 141/500 | 140.9 ms | elapsed 23.81s
  Step 142/500 | 151.9 ms | elapsed 23.96s
  Step 143/500 | 154.9 ms | elapsed 24.11s
  Step 144/500 | 148.4 ms | elapsed 24.26s
  Step 145/500 | 147.1 ms | elapsed 24.41s
  Step 146/500 | 141.4 ms | elapsed 24.55s
  Step 147/500 | 138.9 ms | elapsed 24.69s
  Step 148/500 | 149.5 ms | elapsed 24.84s
  Step 149/500 | 141.3 ms | elapsed 24.98s
  Step 150/500 | 144.6 ms | elapsed 25.13s
  Step 151/500 | 145.7 ms | elapsed 25.27s
  Step 152/500 | 144.0 ms | elapsed 25.42s
  Step 153/500 | 149.0 ms | elapsed 25.56s
  Step 154/500 | 140.4 ms | elapsed 25.71s
  Step 155/500 | 151.6 ms | elapsed 25.86s
  Step 156/500 | 142.8 ms | elapsed 26.00s
  Step 157/500 | 147.3 ms | elapsed 26.15s
  Step 158/500 | 144.3 ms | elapsed 26.29s
  Step 159/500 | 158.5 ms | elapsed 26.45s
  Step 160/500 | 139.3 ms | elapsed 26.59s
  Step 161/500 | 151.0 ms | elapsed 26.74s
  Step 162/500 | 147.2 ms | elapsed 26.89s
  Step 163/500 | 142.9 ms | elapsed 27.03s
  Step 164/500 | 135.0 ms | elapsed 27.17s
  Step 165/500 | 138.0 ms | elapsed 27.30s
  Step 166/500 | 134.0 ms | elapsed 27.44s
  Step 167/500 | 133.7 ms | elapsed 27.57s
  Step 168/500 | 143.5 ms | elapsed 27.71s
  Step 169/500 | 133.5 ms | elapsed 27.85s
  Step 170/500 | 139.4 ms | elapsed 27.99s
  Step 171/500 | 130.8 ms | elapsed 28.12s
  Step 172/500 | 134.5 ms | elapsed 28.25s
  Step 173/500 | 139.0 ms | elapsed 28.39s
  Step 174/500 | 139.0 ms | elapsed 28.53s
  Step 175/500 | 146.9 ms | elapsed 28.68s
  Step 176/500 | 148.6 ms | elapsed 28.83s
  Step 177/500 | 138.1 ms | elapsed 28.96s
  Step 178/500 | 140.1 ms | elapsed 29.10s
  Step 179/500 | 139.6 ms | elapsed 29.24s
  Step 180/500 | 139.5 ms | elapsed 29.38s
  Step 181/500 | 144.8 ms | elapsed 29.53s
  Step 182/500 | 136.8 ms | elapsed 29.66s
  Step 183/500 | 133.5 ms | elapsed 29.80s
  Step 184/500 | 135.6 ms | elapsed 29.93s
  Step 185/500 | 145.6 ms | elapsed 30.08s
  Step 186/500 | 138.3 ms | elapsed 30.22s
  Step 187/500 | 139.4 ms | elapsed 30.36s
  Step 188/500 | 135.1 ms | elapsed 30.49s
  Step 189/500 | 146.6 ms | elapsed 30.64s
  Step 190/500 | 140.0 ms | elapsed 30.78s
  Step 191/500 | 138.3 ms | elapsed 30.92s
  Step 192/500 | 136.2 ms | elapsed 31.05s
  Step 193/500 | 140.4 ms | elapsed 31.19s
  Step 194/500 | 147.3 ms | elapsed 31.34s
  Step 195/500 | 137.7 ms | elapsed 31.48s
  Step 196/500 | 138.3 ms | elapsed 31.62s
  Step 197/500 | 146.9 ms | elapsed 31.76s
  Step 198/500 | 137.9 ms | elapsed 31.90s
  Step 199/500 | 140.6 ms | elapsed 32.04s
  Step 200/500 | 145.5 ms | elapsed 32.19s
  Step 201/500 | 138.4 ms | elapsed 32.33s
  Step 202/500 | 137.1 ms | elapsed 32.46s
  Step 203/500 | 134.9 ms | elapsed 32.60s
  Step 204/500 | 145.8 ms | elapsed 32.74s
  Step 205/500 | 137.2 ms | elapsed 32.88s
  Step 206/500 | 137.7 ms | elapsed 33.02s
  Step 207/500 | 147.5 ms | elapsed 33.17s
  Step 208/500 | 139.9 ms | elapsed 33.31s
  Step 209/500 | 144.9 ms | elapsed 33.45s
  Step 210/500 | 139.4 ms | elapsed 33.59s
  Step 211/500 | 139.8 ms | elapsed 33.73s
  Step 212/500 | 138.0 ms | elapsed 33.87s
  Step 213/500 | 145.0 ms | elapsed 34.01s
  Step 214/500 | 138.1 ms | elapsed 34.15s
  Step 215/500 | 140.4 ms | elapsed 34.29s
  Step 216/500 | 140.3 ms | elapsed 34.43s
  Step 217/500 | 147.8 ms | elapsed 34.58s
  Step 218/500 | 138.3 ms | elapsed 34.72s
  Step 219/500 | 139.0 ms | elapsed 34.86s
  Step 220/500 | 139.1 ms | elapsed 35.00s
  Step 221/500 | 139.2 ms | elapsed 35.14s
  Step 222/500 | 137.6 ms | elapsed 35.27s
  Step 223/500 | 137.4 ms | elapsed 35.41s
  Step 224/500 | 143.3 ms | elapsed 35.55s
  Step 225/500 | 141.7 ms | elapsed 35.70s
  Step 226/500 | 134.9 ms | elapsed 35.83s
  Step 227/500 | 135.3 ms | elapsed 35.97s
  Step 228/500 | 140.4 ms | elapsed 36.11s
  Step 229/500 | 138.5 ms | elapsed 36.25s
  Step 230/500 | 139.0 ms | elapsed 36.38s
  Step 231/500 | 136.8 ms | elapsed 36.52s
  Step 232/500 | 135.5 ms | elapsed 36.66s
  Step 233/500 | 137.2 ms | elapsed 36.79s
  Step 234/500 | 138.2 ms | elapsed 36.93s
  Step 235/500 | 146.0 ms | elapsed 37.08s
  Step 236/500 | 137.4 ms | elapsed 37.22s
  Step 237/500 | 145.7 ms | elapsed 37.36s
  Step 238/500 | 137.3 ms | elapsed 37.50s
  Step 239/500 | 136.8 ms | elapsed 37.63s
  Step 240/500 | 137.5 ms | elapsed 37.77s
  Step 241/500 | 145.5 ms | elapsed 37.92s
  Step 242/500 | 132.5 ms | elapsed 38.05s
  Step 243/500 | 133.7 ms | elapsed 38.18s
  Step 244/500 | 142.9 ms | elapsed 38.33s
  Step 245/500 | 145.1 ms | elapsed 38.47s
  Step 246/500 | 145.2 ms | elapsed 38.62s
  Step 247/500 | 139.3 ms | elapsed 38.76s
  Step 248/500 | 140.0 ms | elapsed 38.90s
  Step 249/500 | 146.8 ms | elapsed 39.04s
  Step 250/500 | 139.4 ms | elapsed 39.18s
  Step 251/500 | 137.5 ms | elapsed 39.32s
  Step 252/500 | 137.3 ms | elapsed 39.46s
  Step 253/500 | 138.7 ms | elapsed 39.60s
  Step 254/500 | 146.4 ms | elapsed 39.74s
  Step 255/500 | 140.1 ms | elapsed 39.88s
  Step 256/500 | 139.1 ms | elapsed 40.02s
  Step 257/500 | 138.0 ms | elapsed 40.16s
  Step 258/500 | 138.2 ms | elapsed 40.30s
  Step 259/500 | 140.5 ms | elapsed 40.44s
  Step 260/500 | 145.9 ms | elapsed 40.58s
  Step 261/500 | 132.6 ms | elapsed 40.72s
  Step 262/500 | 134.3 ms | elapsed 40.85s
  Step 263/500 | 135.4 ms | elapsed 40.99s
  Step 264/500 | 137.8 ms | elapsed 41.12s
  Step 265/500 | 140.3 ms | elapsed 41.26s
  Step 266/500 | 138.4 ms | elapsed 41.40s
  Step 267/500 | 145.5 ms | elapsed 41.55s
  Step 268/500 | 147.1 ms | elapsed 41.70s
  Step 269/500 | 138.0 ms | elapsed 41.83s
  Step 270/500 | 138.1 ms | elapsed 41.97s
  Step 271/500 | 147.4 ms | elapsed 42.12s
  Step 272/500 | 139.1 ms | elapsed 42.26s
  Step 273/500 | 138.9 ms | elapsed 42.40s
  Step 274/500 | 139.4 ms | elapsed 42.54s
  Step 275/500 | 140.3 ms | elapsed 42.68s
  Step 276/500 | 143.4 ms | elapsed 42.82s
  Step 277/500 | 136.4 ms | elapsed 42.96s
  Step 278/500 | 138.4 ms | elapsed 43.10s
  Step 279/500 | 137.6 ms | elapsed 43.23s
  Step 280/500 | 142.7 ms | elapsed 43.38s
  Step 281/500 | 139.8 ms | elapsed 43.52s
  Step 282/500 | 141.1 ms | elapsed 43.66s
  Step 283/500 | 136.3 ms | elapsed 43.79s
  Step 284/500 | 140.1 ms | elapsed 43.93s
  Step 285/500 | 141.4 ms | elapsed 44.07s
  Step 286/500 | 149.9 ms | elapsed 44.22s
  Step 287/500 | 141.7 ms | elapsed 44.37s
  Step 288/500 | 142.1 ms | elapsed 44.51s
  Step 289/500 | 139.6 ms | elapsed 44.65s
  Step 290/500 | 140.1 ms | elapsed 44.79s
  Step 291/500 | 143.8 ms | elapsed 44.93s
  Step 292/500 | 136.8 ms | elapsed 45.07s
  Step 293/500 | 134.6 ms | elapsed 45.20s
  Step 294/500 | 134.7 ms | elapsed 45.34s
  Step 295/500 | 143.1 ms | elapsed 45.48s
  Step 296/500 | 139.3 ms | elapsed 45.62s
  Step 297/500 | 140.1 ms | elapsed 45.76s
  Step 298/500 | 135.8 ms | elapsed 45.90s
  Step 299/500 | 146.5 ms | elapsed 46.04s
  Step 300/500 | 139.7 ms | elapsed 46.18s
  Step 301/500 | 134.9 ms | elapsed 46.32s
  Step 302/500 | 140.7 ms | elapsed 46.46s
  Step 303/500 | 145.5 ms | elapsed 46.60s
  Step 304/500 | 136.9 ms | elapsed 46.74s
  Step 305/500 | 136.4 ms | elapsed 46.88s
  Step 306/500 | 140.2 ms | elapsed 47.02s
  Step 307/500 | 144.7 ms | elapsed 47.16s
  Step 308/500 | 139.9 ms | elapsed 47.30s
  Step 309/500 | 139.3 ms | elapsed 47.44s
  Step 310/500 | 147.0 ms | elapsed 47.59s
  Step 311/500 | 147.4 ms | elapsed 47.73s
  Step 312/500 | 137.4 ms | elapsed 47.87s
  Step 313/500 | 143.0 ms | elapsed 48.02s
  Step 314/500 | 144.2 ms | elapsed 48.16s
  Step 315/500 | 143.0 ms | elapsed 48.30s
  Step 316/500 | 138.4 ms | elapsed 48.44s
  Step 317/500 | 137.3 ms | elapsed 48.58s
  Step 318/500 | 144.3 ms | elapsed 48.72s
  Step 319/500 | 134.7 ms | elapsed 48.86s
  Step 320/500 | 140.5 ms | elapsed 49.00s
  Step 321/500 | 137.9 ms | elapsed 49.14s
  Step 322/500 | 137.9 ms | elapsed 49.27s
  Step 323/500 | 145.4 ms | elapsed 49.42s
  Step 324/500 | 136.7 ms | elapsed 49.56s
  Step 325/500 | 143.8 ms | elapsed 49.70s
  Step 326/500 | 133.5 ms | elapsed 49.83s
  Step 327/500 | 135.7 ms | elapsed 49.97s
  Step 328/500 | 135.5 ms | elapsed 50.10s
  Step 329/500 | 143.5 ms | elapsed 50.25s
  Step 330/500 | 134.0 ms | elapsed 50.38s
  Step 331/500 | 134.1 ms | elapsed 50.52s
  Step 332/500 | 134.9 ms | elapsed 50.65s
  Step 333/500 | 135.9 ms | elapsed 50.79s
  Step 334/500 | 132.4 ms | elapsed 50.92s
  Step 335/500 | 134.4 ms | elapsed 51.05s
  Step 336/500 | 138.7 ms | elapsed 51.19s
  Step 337/500 | 142.7 ms | elapsed 51.34s
  Step 338/500 | 146.6 ms | elapsed 51.48s
  Step 339/500 | 138.6 ms | elapsed 51.62s
  Step 340/500 | 137.0 ms | elapsed 51.76s
  Step 341/500 | 144.7 ms | elapsed 51.90s
  Step 342/500 | 134.5 ms | elapsed 52.04s
  Step 343/500 | 136.2 ms | elapsed 52.17s
  Step 344/500 | 132.9 ms | elapsed 52.31s
  Step 345/500 | 140.3 ms | elapsed 52.45s
  Step 346/500 | 142.8 ms | elapsed 52.59s
  Step 347/500 | 136.0 ms | elapsed 52.72s
  Step 348/500 | 136.7 ms | elapsed 52.86s
  Step 349/500 | 130.3 ms | elapsed 52.99s
  Step 350/500 | 137.9 ms | elapsed 53.13s
  Step 351/500 | 134.3 ms | elapsed 53.26s
  Step 352/500 | 145.1 ms | elapsed 53.41s
  Step 353/500 | 143.3 ms | elapsed 53.55s
  Step 354/500 | 136.4 ms | elapsed 53.69s
  Step 355/500 | 144.6 ms | elapsed 53.83s
  Step 356/500 | 138.4 ms | elapsed 53.97s
  Step 357/500 | 138.2 ms | elapsed 54.11s
  Step 358/500 | 146.2 ms | elapsed 54.26s
  Step 359/500 | 139.5 ms | elapsed 54.40s
  Step 360/500 | 136.9 ms | elapsed 54.53s
  Step 361/500 | 143.2 ms | elapsed 54.68s
  Step 362/500 | 135.0 ms | elapsed 54.81s
  Step 363/500 | 133.8 ms | elapsed 54.94s
  Step 364/500 | 133.6 ms | elapsed 55.08s
  Step 365/500 | 143.7 ms | elapsed 55.22s
  Step 366/500 | 132.5 ms | elapsed 55.35s
  Step 367/500 | 133.6 ms | elapsed 55.49s
  Step 368/500 | 135.6 ms | elapsed 55.62s
  Step 369/500 | 134.7 ms | elapsed 55.76s
  Step 370/500 | 141.1 ms | elapsed 55.90s
  Step 371/500 | 135.5 ms | elapsed 56.03s
  Step 372/500 | 137.1 ms | elapsed 56.17s
  Step 373/500 | 138.6 ms | elapsed 56.31s
  Step 374/500 | 135.3 ms | elapsed 56.45s
  Step 375/500 | 141.6 ms | elapsed 56.59s
  Step 376/500 | 138.0 ms | elapsed 56.73s
  Step 377/500 | 142.2 ms | elapsed 56.87s
  Step 378/500 | 138.3 ms | elapsed 57.01s
  Step 379/500 | 140.6 ms | elapsed 57.15s
  Step 380/500 | 136.4 ms | elapsed 57.28s
  Step 381/500 | 141.4 ms | elapsed 57.42s
  Step 382/500 | 133.7 ms | elapsed 57.56s
  Step 383/500 | 142.0 ms | elapsed 57.70s
  Step 384/500 | 133.5 ms | elapsed 57.83s
  Step 385/500 | 137.2 ms | elapsed 57.97s
  Step 386/500 | 136.9 ms | elapsed 58.11s
  Step 387/500 | 141.5 ms | elapsed 58.25s
  Step 388/500 | 134.8 ms | elapsed 58.38s
  Step 389/500 | 143.6 ms | elapsed 58.53s
  Step 390/500 | 136.4 ms | elapsed 58.66s
  Step 391/500 | 132.1 ms | elapsed 58.80s
  Step 392/500 | 132.6 ms | elapsed 58.93s
  Step 393/500 | 141.8 ms | elapsed 59.07s
  Step 394/500 | 139.5 ms | elapsed 59.21s
  Step 395/500 | 138.6 ms | elapsed 59.35s
  Step 396/500 | 138.8 ms | elapsed 59.49s
  Step 397/500 | 139.1 ms | elapsed 59.63s
  Step 398/500 | 138.3 ms | elapsed 59.76s
  Step 399/500 | 139.4 ms | elapsed 59.90s
  Step 400/500 | 145.9 ms | elapsed 60.05s
  Step 401/500 | 138.7 ms | elapsed 60.19s
  Step 402/500 | 140.3 ms | elapsed 60.33s
  Step 403/500 | 147.5 ms | elapsed 60.48s
  Step 404/500 | 138.8 ms | elapsed 60.62s
  Step 405/500 | 146.3 ms | elapsed 60.76s
  Step 406/500 | 138.3 ms | elapsed 60.90s
  Step 407/500 | 140.1 ms | elapsed 61.04s
  Step 408/500 | 143.4 ms | elapsed 61.18s
  Step 409/500 | 132.5 ms | elapsed 61.32s
  Step 410/500 | 137.1 ms | elapsed 61.45s
  Step 411/500 | 137.0 ms | elapsed 61.59s
  Step 412/500 | 140.1 ms | elapsed 61.73s
  Step 413/500 | 140.8 ms | elapsed 61.87s
  Step 414/500 | 138.1 ms | elapsed 62.01s
  Step 415/500 | 144.9 ms | elapsed 62.15s
  Step 416/500 | 146.8 ms | elapsed 62.30s
  Step 417/500 | 138.8 ms | elapsed 62.44s
  Step 418/500 | 138.0 ms | elapsed 62.58s
  Step 419/500 | 138.8 ms | elapsed 62.72s
  Step 420/500 | 137.3 ms | elapsed 62.85s
  Step 421/500 | 145.1 ms | elapsed 63.00s
  Step 422/500 | 136.3 ms | elapsed 63.13s
  Step 423/500 | 140.6 ms | elapsed 63.28s
  Step 424/500 | 137.5 ms | elapsed 63.41s
  Step 425/500 | 141.1 ms | elapsed 63.55s
  Step 426/500 | 139.2 ms | elapsed 63.69s
  Step 427/500 | 139.8 ms | elapsed 63.83s
  Step 428/500 | 136.7 ms | elapsed 63.97s
  Step 429/500 | 147.6 ms | elapsed 64.12s
  Step 430/500 | 137.5 ms | elapsed 64.25s
  Step 431/500 | 137.6 ms | elapsed 64.39s
  Step 432/500 | 147.4 ms | elapsed 64.54s
  Step 433/500 | 138.0 ms | elapsed 64.68s
  Step 434/500 | 148.2 ms | elapsed 64.83s
  Step 435/500 | 138.8 ms | elapsed 64.96s
  Step 436/500 | 137.1 ms | elapsed 65.10s
  Step 437/500 | 137.4 ms | elapsed 65.24s
  Step 438/500 | 143.6 ms | elapsed 65.38s
  Step 439/500 | 133.5 ms | elapsed 65.52s
  Step 440/500 | 133.6 ms | elapsed 65.65s
  Step 441/500 | 143.8 ms | elapsed 65.79s
  Step 442/500 | 138.0 ms | elapsed 65.93s
  Step 443/500 | 147.4 ms | elapsed 66.08s
  Step 444/500 | 147.8 ms | elapsed 66.23s
  Step 445/500 | 137.8 ms | elapsed 66.36s
  Step 446/500 | 141.1 ms | elapsed 66.51s
  Step 447/500 | 138.7 ms | elapsed 66.64s
  Step 448/500 | 139.7 ms | elapsed 66.78s
  Step 449/500 | 145.9 ms | elapsed 66.93s
  Step 450/500 | 145.8 ms | elapsed 67.08s
  Step 451/500 | 140.2 ms | elapsed 67.22s
  Step 452/500 | 136.8 ms | elapsed 67.35s
  Step 453/500 | 133.1 ms | elapsed 67.49s
  Step 454/500 | 142.2 ms | elapsed 67.63s
  Step 455/500 | 136.3 ms | elapsed 67.76s
  Step 456/500 | 137.2 ms | elapsed 67.90s
  Step 457/500 | 142.0 ms | elapsed 68.04s
  Step 458/500 | 135.0 ms | elapsed 68.18s
  Step 459/500 | 135.9 ms | elapsed 68.31s
  Step 460/500 | 143.4 ms | elapsed 68.46s
  Step 461/500 | 136.9 ms | elapsed 68.59s
  Step 462/500 | 142.9 ms | elapsed 68.74s
  Step 463/500 | 143.5 ms | elapsed 68.88s
  Step 464/500 | 135.0 ms | elapsed 69.02s
  Step 465/500 | 136.8 ms | elapsed 69.15s
  Step 466/500 | 143.2 ms | elapsed 69.30s
  Step 467/500 | 134.3 ms | elapsed 69.43s
  Step 468/500 | 133.9 ms | elapsed 69.56s
  Step 469/500 | 140.1 ms | elapsed 69.70s
  Step 470/500 | 136.1 ms | elapsed 69.84s
  Step 471/500 | 144.7 ms | elapsed 69.99s
  Step 472/500 | 137.2 ms | elapsed 70.12s
  Step 473/500 | 142.7 ms | elapsed 70.27s
  Step 474/500 | 137.4 ms | elapsed 70.40s
  Step 475/500 | 139.1 ms | elapsed 70.54s
  Step 476/500 | 142.0 ms | elapsed 70.68s
  Step 477/500 | 146.6 ms | elapsed 70.83s
  Step 478/500 | 140.9 ms | elapsed 70.97s
  Step 479/500 | 144.9 ms | elapsed 71.12s
  Step 480/500 | 150.5 ms | elapsed 71.27s
  Step 481/500 | 142.2 ms | elapsed 71.41s
  Step 482/500 | 149.5 ms | elapsed 71.56s
  Step 483/500 | 141.2 ms | elapsed 71.70s
  Step 484/500 | 143.8 ms | elapsed 71.84s
  Step 485/500 | 152.0 ms | elapsed 72.00s
  Step 486/500 | 140.4 ms | elapsed 72.14s
  Step 487/500 | 140.0 ms | elapsed 72.28s
  Step 488/500 | 146.8 ms | elapsed 72.42s
  Step 489/500 | 137.0 ms | elapsed 72.56s
  Step 490/500 | 146.3 ms | elapsed 72.71s
  Step 491/500 | 139.2 ms | elapsed 72.85s
  Step 492/500 | 139.0 ms | elapsed 72.98s
  Step 493/500 | 140.9 ms | elapsed 73.13s
