<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773232831.789484 3903869 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 21364 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
I0000 00:00:1773232834.023772 3903983 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x217e63b0
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
  Observations transformed (e.g. log-space mode)
Creating filter: LEDHParticleFlowFilter
Running LEDHParticleFlowFilter...

  Step 1/500 | 3800.0 ms | elapsed 3.80s
  Step 2/500 | 141.5 ms | elapsed 3.94s
  Step 3/500 | 135.0 ms | elapsed 4.08s
  Step 4/500 | 142.2 ms | elapsed 4.22s
  Step 5/500 | 135.1 ms | elapsed 4.35s
  Step 6/500 | 137.7 ms | elapsed 4.49s
  Step 7/500 | 133.7 ms | elapsed 4.63s
  Step 8/500 | 135.0 ms | elapsed 4.76s
  Step 9/500 | 132.7 ms | elapsed 4.89s
  Step 10/500 | 142.2 ms | elapsed 5.04s
  Step 11/500 | 134.5 ms | elapsed 5.17s
  Step 12/500 | 134.8 ms | elapsed 5.30s
  Step 13/500 | 133.9 ms | elapsed 5.44s
  Step 14/500 | 143.6 ms | elapsed 5.58s
  Step 15/500 | 133.5 ms | elapsed 5.72s
  Step 16/500 | 131.4 ms | elapsed 5.85s
  Step 17/500 | 132.8 ms | elapsed 5.98s
  Step 18/500 | 132.3 ms | elapsed 6.11s
  Step 19/500 | 130.4 ms | elapsed 6.24s
  Step 20/500 | 132.9 ms | elapsed 6.38s
  Step 21/500 | 132.0 ms | elapsed 6.51s
  Step 22/500 | 141.4 ms | elapsed 6.65s
  Step 23/500 | 135.4 ms | elapsed 6.78s
  Step 24/500 | 133.6 ms | elapsed 6.92s
  Step 25/500 | 134.5 ms | elapsed 7.05s
  Step 26/500 | 140.6 ms | elapsed 7.19s
  Step 27/500 | 134.6 ms | elapsed 7.33s
  Step 28/500 | 135.3 ms | elapsed 7.46s
  Step 29/500 | 134.5 ms | elapsed 7.60s
  Step 30/500 | 133.8 ms | elapsed 7.73s
  Step 31/500 | 132.2 ms | elapsed 7.86s
  Step 32/500 | 138.8 ms | elapsed 8.00s
  Step 33/500 | 131.2 ms | elapsed 8.13s
  Step 34/500 | 132.7 ms | elapsed 8.27s
  Step 35/500 | 132.1 ms | elapsed 8.40s
  Step 36/500 | 142.9 ms | elapsed 8.54s
  Step 37/500 | 146.1 ms | elapsed 8.69s
  Step 38/500 | 136.8 ms | elapsed 8.82s
  Step 39/500 | 131.0 ms | elapsed 8.95s
  Step 40/500 | 140.4 ms | elapsed 9.09s
  Step 41/500 | 133.5 ms | elapsed 9.23s
  Step 42/500 | 139.7 ms | elapsed 9.37s
  Step 43/500 | 133.3 ms | elapsed 9.50s
  Step 44/500 | 136.3 ms | elapsed 9.64s
  Step 45/500 | 136.0 ms | elapsed 9.77s
  Step 46/500 | 136.5 ms | elapsed 9.91s
  Step 47/500 | 144.3 ms | elapsed 10.05s
  Step 48/500 | 132.5 ms | elapsed 10.19s
  Step 49/500 | 132.7 ms | elapsed 10.32s
  Step 50/500 | 137.6 ms | elapsed 10.46s
  Step 51/500 | 135.8 ms | elapsed 10.59s
  Step 52/500 | 135.9 ms | elapsed 10.73s
  Step 53/500 | 136.7 ms | elapsed 10.87s
  Step 54/500 | 139.0 ms | elapsed 11.00s
  Step 55/500 | 133.5 ms | elapsed 11.14s
  Step 56/500 | 133.1 ms | elapsed 11.27s
  Step 57/500 | 141.9 ms | elapsed 11.41s
  Step 58/500 | 133.0 ms | elapsed 11.55s
  Step 59/500 | 134.5 ms | elapsed 11.68s
  Step 60/500 | 135.4 ms | elapsed 11.82s
  Step 61/500 | 139.1 ms | elapsed 11.95s
  Step 62/500 | 137.0 ms | elapsed 12.09s
  Step 63/500 | 138.7 ms | elapsed 12.23s
  Step 64/500 | 140.6 ms | elapsed 12.37s
  Step 65/500 | 143.4 ms | elapsed 12.51s
  Step 66/500 | 137.8 ms | elapsed 12.65s
  Step 67/500 | 137.7 ms | elapsed 12.79s
  Step 68/500 | 136.2 ms | elapsed 12.93s
  Step 69/500 | 129.1 ms | elapsed 13.06s
  Step 70/500 | 136.3 ms | elapsed 13.19s
  Step 71/500 | 130.9 ms | elapsed 13.32s
  Step 72/500 | 130.4 ms | elapsed 13.45s
  Step 73/500 | 133.2 ms | elapsed 13.59s
  Step 74/500 | 130.0 ms | elapsed 13.72s
  Step 75/500 | 134.8 ms | elapsed 13.85s
  Step 76/500 | 131.8 ms | elapsed 13.98s
  Step 77/500 | 133.2 ms | elapsed 14.12s
  Step 78/500 | 138.2 ms | elapsed 14.25s
  Step 79/500 | 128.7 ms | elapsed 14.38s
  Step 80/500 | 127.6 ms | elapsed 14.51s
  Step 81/500 | 129.5 ms | elapsed 14.64s
  Step 82/500 | 130.7 ms | elapsed 14.77s
  Step 83/500 | 129.9 ms | elapsed 14.90s
  Step 84/500 | 131.7 ms | elapsed 15.03s
  Step 85/500 | 131.6 ms | elapsed 15.16s
  Step 86/500 | 143.1 ms | elapsed 15.31s
  Step 87/500 | 140.0 ms | elapsed 15.45s
  Step 88/500 | 134.4 ms | elapsed 15.58s
  Step 89/500 | 138.8 ms | elapsed 15.72s
  Step 90/500 | 137.3 ms | elapsed 15.86s
  Step 91/500 | 141.9 ms | elapsed 16.00s
  Step 92/500 | 135.6 ms | elapsed 16.14s
  Step 93/500 | 136.6 ms | elapsed 16.27s
  Step 94/500 | 132.3 ms | elapsed 16.40s
  Step 95/500 | 129.8 ms | elapsed 16.53s
  Step 96/500 | 129.7 ms | elapsed 16.66s
  Step 97/500 | 136.1 ms | elapsed 16.80s
  Step 98/500 | 129.2 ms | elapsed 16.93s
  Step 99/500 | 134.5 ms | elapsed 17.06s
  Step 100/500 | 129.1 ms | elapsed 17.19s
  Step 101/500 | 126.8 ms | elapsed 17.32s
  Step 102/500 | 127.7 ms | elapsed 17.45s
  Step 103/500 | 127.5 ms | elapsed 17.57s
  Step 104/500 | 128.1 ms | elapsed 17.70s
  Step 105/500 | 127.4 ms | elapsed 17.83s
  Step 106/500 | 132.7 ms | elapsed 17.96s
  Step 107/500 | 127.2 ms | elapsed 18.09s
  Step 108/500 | 132.2 ms | elapsed 18.22s
  Step 109/500 | 127.0 ms | elapsed 18.35s
  Step 110/500 | 126.3 ms | elapsed 18.48s
  Step 111/500 | 123.4 ms | elapsed 18.60s
  Step 112/500 | 122.0 ms | elapsed 18.72s
  Step 113/500 | 128.9 ms | elapsed 18.85s
  Step 114/500 | 122.6 ms | elapsed 18.97s
  Step 115/500 | 130.2 ms | elapsed 19.10s
  Step 116/500 | 123.7 ms | elapsed 19.23s
  Step 117/500 | 122.9 ms | elapsed 19.35s
  Step 118/500 | 130.5 ms | elapsed 19.48s
  Step 119/500 | 126.0 ms | elapsed 19.61s
  Step 120/500 | 122.8 ms | elapsed 19.73s
  Step 121/500 | 122.9 ms | elapsed 19.85s
  Step 122/500 | 133.1 ms | elapsed 19.98s
  Step 123/500 | 129.0 ms | elapsed 20.11s
  Step 124/500 | 133.8 ms | elapsed 20.25s
  Step 125/500 | 125.6 ms | elapsed 20.37s
  Step 126/500 | 125.8 ms | elapsed 20.50s
  Step 127/500 | 124.8 ms | elapsed 20.62s
  Step 128/500 | 119.1 ms | elapsed 20.74s
  Step 129/500 | 118.6 ms | elapsed 20.86s
  Step 130/500 | 121.0 ms | elapsed 20.98s
  Step 131/500 | 121.8 ms | elapsed 21.10s
  Step 132/500 | 124.4 ms | elapsed 21.23s
  Step 133/500 | 122.0 ms | elapsed 21.35s
  Step 134/500 | 128.4 ms | elapsed 21.48s
  Step 135/500 | 120.3 ms | elapsed 21.60s
  Step 136/500 | 119.6 ms | elapsed 21.72s
  Step 137/500 | 120.6 ms | elapsed 21.84s
  Step 138/500 | 126.5 ms | elapsed 21.97s
  Step 139/500 | 118.4 ms | elapsed 22.08s
  Step 140/500 | 121.6 ms | elapsed 22.21s
  Step 141/500 | 116.8 ms | elapsed 22.32s
  Step 142/500 | 125.7 ms | elapsed 22.45s
  Step 143/500 | 117.7 ms | elapsed 22.57s
  Step 144/500 | 115.6 ms | elapsed 22.68s
  Step 145/500 | 122.9 ms | elapsed 22.80s
  Step 146/500 | 115.8 ms | elapsed 22.92s
  Step 147/500 | 115.7 ms | elapsed 23.04s
  Step 148/500 | 124.0 ms | elapsed 23.16s
  Step 149/500 | 119.0 ms | elapsed 23.28s
  Step 150/500 | 117.3 ms | elapsed 23.40s
  Step 151/500 | 118.7 ms | elapsed 23.51s
  Step 152/500 | 116.5 ms | elapsed 23.63s
  Step 153/500 | 122.1 ms | elapsed 23.75s
  Step 154/500 | 115.8 ms | elapsed 23.87s
  Step 155/500 | 115.2 ms | elapsed 23.98s
  Step 156/500 | 122.3 ms | elapsed 24.11s
  Step 157/500 | 117.9 ms | elapsed 24.22s
  Step 158/500 | 117.7 ms | elapsed 24.34s
  Step 159/500 | 127.2 ms | elapsed 24.47s
  Step 160/500 | 120.1 ms | elapsed 24.59s
  Step 161/500 | 127.8 ms | elapsed 24.72s
  Step 162/500 | 122.2 ms | elapsed 24.84s
  Step 163/500 | 120.7 ms | elapsed 24.96s
  Step 164/500 | 120.4 ms | elapsed 25.08s
  Step 165/500 | 121.2 ms | elapsed 25.20s
  Step 166/500 | 121.4 ms | elapsed 25.32s
  Step 167/500 | 128.8 ms | elapsed 25.45s
  Step 168/500 | 121.2 ms | elapsed 25.57s
  Step 169/500 | 121.0 ms | elapsed 25.69s
  Step 170/500 | 131.7 ms | elapsed 25.83s
  Step 171/500 | 123.3 ms | elapsed 25.95s
  Step 172/500 | 121.7 ms | elapsed 26.07s
  Step 173/500 | 124.1 ms | elapsed 26.20s
  Step 174/500 | 125.2 ms | elapsed 26.32s
  Step 175/500 | 131.7 ms | elapsed 26.45s
  Step 176/500 | 129.2 ms | elapsed 26.58s
  Step 177/500 | 124.8 ms | elapsed 26.71s
  Step 178/500 | 123.4 ms | elapsed 26.83s
  Step 179/500 | 123.6 ms | elapsed 26.95s
  Step 180/500 | 123.0 ms | elapsed 27.08s
  Step 181/500 | 130.5 ms | elapsed 27.21s
  Step 182/500 | 123.6 ms | elapsed 27.33s
  Step 183/500 | 122.7 ms | elapsed 27.45s
  Step 184/500 | 124.0 ms | elapsed 27.58s
  Step 185/500 | 129.2 ms | elapsed 27.71s
  Step 186/500 | 123.0 ms | elapsed 27.83s
  Step 187/500 | 123.5 ms | elapsed 27.95s
  Step 188/500 | 123.1 ms | elapsed 28.08s
  Step 189/500 | 131.2 ms | elapsed 28.21s
  Step 190/500 | 123.8 ms | elapsed 28.33s
  Step 191/500 | 124.3 ms | elapsed 28.45s
  Step 192/500 | 124.1 ms | elapsed 28.58s
  Step 193/500 | 123.6 ms | elapsed 28.70s
  Step 194/500 | 130.0 ms | elapsed 28.83s
  Step 195/500 | 122.9 ms | elapsed 28.96s
  Step 196/500 | 131.0 ms | elapsed 29.09s
  Step 197/500 | 122.2 ms | elapsed 29.21s
  Step 198/500 | 132.0 ms | elapsed 29.34s
  Step 199/500 | 122.1 ms | elapsed 29.46s
  Step 200/500 | 130.2 ms | elapsed 29.59s
  Step 201/500 | 125.0 ms | elapsed 29.72s
  Step 202/500 | 124.5 ms | elapsed 29.84s
  Step 203/500 | 123.9 ms | elapsed 29.97s
  Step 204/500 | 131.1 ms | elapsed 30.10s
  Step 205/500 | 125.1 ms | elapsed 30.22s
  Step 206/500 | 124.6 ms | elapsed 30.35s
  Step 207/500 | 131.7 ms | elapsed 30.48s
  Step 208/500 | 124.4 ms | elapsed 30.60s
  Step 209/500 | 124.1 ms | elapsed 30.73s
  Step 210/500 | 125.1 ms | elapsed 30.85s
  Step 211/500 | 130.6 ms | elapsed 30.98s
  Step 212/500 | 124.1 ms | elapsed 31.11s
  Step 213/500 | 130.9 ms | elapsed 31.24s
  Step 214/500 | 126.0 ms | elapsed 31.36s
  Step 215/500 | 120.2 ms | elapsed 31.48s
  Step 216/500 | 130.0 ms | elapsed 31.61s
  Step 217/500 | 122.4 ms | elapsed 31.74s
  Step 218/500 | 122.4 ms | elapsed 31.86s
  Step 219/500 | 121.8 ms | elapsed 31.98s
  Step 220/500 | 129.8 ms | elapsed 32.11s
  Step 221/500 | 124.9 ms | elapsed 32.24s
  Step 222/500 | 122.2 ms | elapsed 32.36s
  Step 223/500 | 121.9 ms | elapsed 32.48s
  Step 224/500 | 128.3 ms | elapsed 32.61s
  Step 225/500 | 130.1 ms | elapsed 32.74s
  Step 226/500 | 122.3 ms | elapsed 32.86s
  Step 227/500 | 123.2 ms | elapsed 32.98s
  Step 228/500 | 130.4 ms | elapsed 33.11s
  Step 229/500 | 130.7 ms | elapsed 33.24s
  Step 230/500 | 123.2 ms | elapsed 33.37s
  Step 231/500 | 124.3 ms | elapsed 33.49s
  Step 232/500 | 121.4 ms | elapsed 33.61s
  Step 233/500 | 129.5 ms | elapsed 33.74s
  Step 234/500 | 126.2 ms | elapsed 33.87s
  Step 235/500 | 122.5 ms | elapsed 33.99s
  Step 236/500 | 124.0 ms | elapsed 34.12s
  Step 237/500 | 130.4 ms | elapsed 34.25s
  Step 238/500 | 124.5 ms | elapsed 34.37s
  Step 239/500 | 122.6 ms | elapsed 34.49s
  Step 240/500 | 122.3 ms | elapsed 34.62s
  Step 241/500 | 123.7 ms | elapsed 34.74s
  Step 242/500 | 122.1 ms | elapsed 34.86s
  Step 243/500 | 123.4 ms | elapsed 34.98s
  Step 244/500 | 130.8 ms | elapsed 35.12s
  Step 245/500 | 129.0 ms | elapsed 35.24s
  Step 246/500 | 130.1 ms | elapsed 35.37s
  Step 247/500 | 124.5 ms | elapsed 35.50s
  Step 248/500 | 131.9 ms | elapsed 35.63s
  Step 249/500 | 131.4 ms | elapsed 35.76s
  Step 250/500 | 121.9 ms | elapsed 35.88s
  Step 251/500 | 122.6 ms | elapsed 36.01s
  Step 252/500 | 123.1 ms | elapsed 36.13s
  Step 253/500 | 122.8 ms | elapsed 36.25s
  Step 254/500 | 128.8 ms | elapsed 36.38s
  Step 255/500 | 121.3 ms | elapsed 36.50s
  Step 256/500 | 120.7 ms | elapsed 36.62s
  Step 257/500 | 121.4 ms | elapsed 36.75s
  Step 258/500 | 127.7 ms | elapsed 36.87s
  Step 259/500 | 120.9 ms | elapsed 36.99s
  Step 260/500 | 121.0 ms | elapsed 37.11s
  Step 261/500 | 126.0 ms | elapsed 37.24s
  Step 262/500 | 123.4 ms | elapsed 37.36s
  Step 263/500 | 126.5 ms | elapsed 37.49s
  Step 264/500 | 125.8 ms | elapsed 37.62s
  Step 265/500 | 126.9 ms | elapsed 37.74s
  Step 266/500 | 128.0 ms | elapsed 37.87s
  Step 267/500 | 132.2 ms | elapsed 38.00s
  Step 268/500 | 132.8 ms | elapsed 38.14s
  Step 269/500 | 126.0 ms | elapsed 38.26s
  Step 270/500 | 126.2 ms | elapsed 38.39s
  Step 271/500 | 132.4 ms | elapsed 38.52s
  Step 272/500 | 125.3 ms | elapsed 38.65s
  Step 273/500 | 127.2 ms | elapsed 38.77s
  Step 274/500 | 126.6 ms | elapsed 38.90s
  Step 275/500 | 126.7 ms | elapsed 39.03s
  Step 276/500 | 134.4 ms | elapsed 39.16s
  Step 277/500 | 127.0 ms | elapsed 39.29s
  Step 278/500 | 126.9 ms | elapsed 39.42s
  Step 279/500 | 127.0 ms | elapsed 39.54s
  Step 280/500 | 126.4 ms | elapsed 39.67s
  Step 281/500 | 122.4 ms | elapsed 39.79s
  Step 282/500 | 128.0 ms | elapsed 39.92s
  Step 283/500 | 121.2 ms | elapsed 40.04s
  Step 284/500 | 121.9 ms | elapsed 40.16s
  Step 285/500 | 129.1 ms | elapsed 40.29s
  Step 286/500 | 122.0 ms | elapsed 40.41s
  Step 287/500 | 121.0 ms | elapsed 40.53s
  Step 288/500 | 122.0 ms | elapsed 40.66s
  Step 289/500 | 127.8 ms | elapsed 40.78s
  Step 290/500 | 126.2 ms | elapsed 40.91s
  Step 291/500 | 132.7 ms | elapsed 41.04s
  Step 292/500 | 126.1 ms | elapsed 41.17s
  Step 293/500 | 126.8 ms | elapsed 41.30s
  Step 294/500 | 127.1 ms | elapsed 41.42s
  Step 295/500 | 134.1 ms | elapsed 41.56s
  Step 296/500 | 126.8 ms | elapsed 41.68s
  Step 297/500 | 134.2 ms | elapsed 41.82s
  Step 298/500 | 126.3 ms | elapsed 41.94s
  Step 299/500 | 125.5 ms | elapsed 42.07s
  Step 300/500 | 126.1 ms | elapsed 42.20s
  Step 301/500 | 133.6 ms | elapsed 42.33s
  Step 302/500 | 123.9 ms | elapsed 42.45s
  Step 303/500 | 122.4 ms | elapsed 42.58s
  Step 304/500 | 121.6 ms | elapsed 42.70s
  Step 305/500 | 123.2 ms | elapsed 42.82s
  Step 306/500 | 120.7 ms | elapsed 42.94s
  Step 307/500 | 126.4 ms | elapsed 43.07s
  Step 308/500 | 119.4 ms | elapsed 43.19s
  Step 309/500 | 120.0 ms | elapsed 43.31s
  Step 310/500 | 127.9 ms | elapsed 43.43s
  Step 311/500 | 126.6 ms | elapsed 43.56s
  Step 312/500 | 121.2 ms | elapsed 43.68s
