<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING:tensorflow:From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
Creating filter: UnscentedKalmanFilter
Initialized UnscentedKalmanFilter with sampled initial state from model distribution
Running UnscentedKalmanFilter...
[2026-03-13 13:20:41,166][tensorflow][WARNING] - From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773379241.405012 4050714 service.cc:145] XLA service 0x7db3e00060c0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773379241.405056 4050714 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773379241.432904 4050714 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.

  Step 1/500 | 2322.4 ms | elapsed 2.32s
  Step 2/500 | 4.6 ms | elapsed 2.33s
  Step 3/500 | 4.6 ms | elapsed 2.33s
  Step 4/500 | 4.4 ms | elapsed 2.34s
  Step 5/500 | 4.4 ms | elapsed 2.34s
  Step 6/500 | 4.7 ms | elapsed 2.35s
  Step 7/500 | 3.7 ms | elapsed 2.35s
  Step 8/500 | 4.6 ms | elapsed 2.35s
  Step 9/500 | 4.8 ms | elapsed 2.36s
  Step 10/500 | 4.7 ms | elapsed 2.36s
  Step 11/500 | 7.0 ms | elapsed 2.37s
  Step 12/500 | 4.1 ms | elapsed 2.37s
  Step 13/500 | 8.6 ms | elapsed 2.38s
  Step 14/500 | 4.2 ms | elapsed 2.39s
  Step 15/500 | 4.2 ms | elapsed 2.39s
  Step 16/500 | 3.6 ms | elapsed 2.39s
  Step 17/500 | 4.8 ms | elapsed 2.40s
  Step 18/500 | 5.4 ms | elapsed 2.40s
  Step 19/500 | 3.7 ms | elapsed 2.41s
  Step 20/500 | 3.6 ms | elapsed 2.41s
  Step 21/500 | 3.3 ms | elapsed 2.42s
  Step 22/500 | 3.3 ms | elapsed 2.42s
  Step 23/500 | 4.0 ms | elapsed 2.42s
  Step 24/500 | 5.1 ms | elapsed 2.43s
  Step 25/500 | 5.7 ms | elapsed 2.43s
  Step 26/500 | 5.4 ms | elapsed 2.44s
  Step 27/500 | 6.0 ms | elapsed 2.44s
  Step 28/500 | 4.9 ms | elapsed 2.45s
  Step 29/500 | 4.8 ms | elapsed 2.45s
  Step 30/500 | 4.4 ms | elapsed 2.46s
  Step 31/500 | 5.6 ms | elapsed 2.46s
  Step 32/500 | 5.7 ms | elapsed 2.47s
  Step 33/500 | 4.3 ms | elapsed 2.47s
  Step 34/500 | 6.0 ms | elapsed 2.48s
  Step 35/500 | 5.5 ms | elapsed 2.49s
  Step 36/500 | 5.5 ms | elapsed 2.49s
  Step 37/500 | 5.3 ms | elapsed 2.50s
  Step 38/500 | 6.6 ms | elapsed 2.50s
  Step 39/500 | 7.0 ms | elapsed 2.51s
  Step 40/500 | 5.8 ms | elapsed 2.52s
  Step 41/500 | 9.2 ms | elapsed 2.53s
  Step 42/500 | 4.9 ms | elapsed 2.53s
  Step 43/500 | 5.2 ms | elapsed 2.54s
  Step 44/500 | 4.4 ms | elapsed 2.54s
  Step 45/500 | 4.6 ms | elapsed 2.54s
  Step 46/500 | 5.4 ms | elapsed 2.55s
  Step 47/500 | 7.4 ms | elapsed 2.56s
  Step 48/500 | 4.8 ms | elapsed 2.56s
  Step 49/500 | 5.2 ms | elapsed 2.57s
  Step 50/500 | 7.4 ms | elapsed 2.57s
  Step 51/500 | 6.1 ms | elapsed 2.58s
  Step 52/500 | 5.6 ms | elapsed 2.59s
  Step 53/500 | 5.5 ms | elapsed 2.59s
  Step 54/500 | 4.7 ms | elapsed 2.60s
  Step 55/500 | 6.3 ms | elapsed 2.60s
  Step 56/500 | 7.2 ms | elapsed 2.61s
  Step 57/500 | 6.9 ms | elapsed 2.62s
  Step 58/500 | 5.3 ms | elapsed 2.62s
  Step 59/500 | 6.4 ms | elapsed 2.63s
  Step 60/500 | 6.9 ms | elapsed 2.64s
