<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773377720.625583 4037022 service.cc:145] XLA service 0x13af87e0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773377720.625624 4037022 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773377720.682266 4037022 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: ExactDaumHuangFlow
Running ExactDaumHuangFlow...
[2026-03-13 12:55:21,370][tensorflow][WARNING] - From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead

  Step 1/500 | 3753.5 ms | elapsed 3.75s
  Step 2/500 | 124.2 ms | elapsed 3.88s
  Step 3/500 | 139.1 ms | elapsed 4.02s
  Step 4/500 | 141.0 ms | elapsed 4.16s
  Step 5/500 | 133.5 ms | elapsed 4.29s
  Step 6/500 | 97.7 ms | elapsed 4.39s
  Step 7/500 | 90.2 ms | elapsed 4.48s
  Step 8/500 | 73.6 ms | elapsed 4.55s
  Step 9/500 | 110.6 ms | elapsed 4.66s
  Step 10/500 | 100.0 ms | elapsed 4.76s
  Step 11/500 | 79.8 ms | elapsed 4.84s
  Step 12/500 | 92.5 ms | elapsed 4.94s
  Step 13/500 | 87.8 ms | elapsed 5.02s
  Step 14/500 | 91.0 ms | elapsed 5.11s
  Step 15/500 | 100.6 ms | elapsed 5.22s
  Step 16/500 | 74.2 ms | elapsed 5.29s
  Step 17/500 | 74.7 ms | elapsed 5.36s
  Step 18/500 | 77.1 ms | elapsed 5.44s
  Step 19/500 | 75.7 ms | elapsed 5.52s
  Step 20/500 | 73.8 ms | elapsed 5.59s
  Step 21/500 | 75.4 ms | elapsed 5.67s
  Step 22/500 | 93.7 ms | elapsed 5.76s
  Step 23/500 | 76.1 ms | elapsed 5.84s
  Step 24/500 | 75.0 ms | elapsed 5.91s
  Step 25/500 | 81.8 ms | elapsed 5.99s
  Step 26/500 | 81.0 ms | elapsed 6.07s
  Step 27/500 | 78.1 ms | elapsed 6.15s
  Step 28/500 | 76.3 ms | elapsed 6.23s
  Step 29/500 | 97.1 ms | elapsed 6.32s
  Step 30/500 | 96.1 ms | elapsed 6.42s
  Step 31/500 | 79.8 ms | elapsed 6.50s
  Step 32/500 | 75.6 ms | elapsed 6.58s
  Step 33/500 | 75.4 ms | elapsed 6.65s
  Step 34/500 | 115.4 ms | elapsed 6.77s
  Step 35/500 | 114.4 ms | elapsed 6.88s
  Step 36/500 | 105.0 ms | elapsed 6.99s
  Step 37/500 | 110.2 ms | elapsed 7.10s
  Step 38/500 | 77.7 ms | elapsed 7.17s
  Step 39/500 | 90.3 ms | elapsed 7.26s
  Step 40/500 | 76.0 ms | elapsed 7.34s
  Step 41/500 | 75.9 ms | elapsed 7.42s
  Step 42/500 | 120.6 ms | elapsed 7.54s
  Step 43/500 | 86.7 ms | elapsed 7.62s
  Step 44/500 | 74.7 ms | elapsed 7.70s
  Step 45/500 | 76.2 ms | elapsed 7.77s
  Step 46/500 | 74.9 ms | elapsed 7.85s
  Step 47/500 | 77.2 ms | elapsed 7.93s
  Step 48/500 | 73.9 ms | elapsed 8.00s
  Step 49/500 | 75.0 ms | elapsed 8.08s
  Step 50/500 | 85.2 ms | elapsed 8.16s
  Step 51/500 | 119.5 ms | elapsed 8.28s
  Step 52/500 | 78.1 ms | elapsed 8.36s
  Step 53/500 | 76.2 ms | elapsed 8.43s
  Step 54/500 | 76.8 ms | elapsed 8.51s
  Step 55/500 | 75.0 ms | elapsed 8.59s
  Step 56/500 | 75.8 ms | elapsed 8.66s
  Step 57/500 | 75.8 ms | elapsed 8.74s
  Step 58/500 | 76.4 ms | elapsed 8.81s
  Step 59/500 | 76.0 ms | elapsed 8.89s
  Step 60/500 | 76.6 ms | elapsed 8.97s
  Step 61/500 | 76.5 ms | elapsed 9.04s
  Step 62/500 | 76.7 ms | elapsed 9.12s
  Step 63/500 | 102.3 ms | elapsed 9.22s
  Step 64/500 | 74.7 ms | elapsed 9.30s
  Step 65/500 | 76.3 ms | elapsed 9.37s
  Step 66/500 | 76.2 ms | elapsed 9.45s
  Step 67/500 | 77.8 ms | elapsed 9.53s
  Step 68/500 | 118.6 ms | elapsed 9.65s
  Step 69/500 | 77.3 ms | elapsed 9.72s
  Step 70/500 | 73.7 ms | elapsed 9.80s
  Step 71/500 | 116.8 ms | elapsed 9.91s
  Step 72/500 | 97.5 ms | elapsed 10.01s
  Step 73/500 | 77.1 ms | elapsed 10.09s
  Step 74/500 | 78.4 ms | elapsed 10.17s
  Step 75/500 | 77.1 ms | elapsed 10.24s
  Step 76/500 | 96.5 ms | elapsed 10.34s
  Step 77/500 | 79.3 ms | elapsed 10.42s
  Step 78/500 | 75.9 ms | elapsed 10.50s
  Step 79/500 | 76.2 ms | elapsed 10.57s
  Step 80/500 | 76.6 ms | elapsed 10.65s
  Step 81/500 | 76.8 ms | elapsed 10.73s
  Step 82/500 | 78.1 ms | elapsed 10.80s
  Step 83/500 | 78.2 ms | elapsed 10.88s
  Step 84/500 | 76.2 ms | elapsed 10.96s
  Step 85/500 | 76.4 ms | elapsed 11.03s
  Step 86/500 | 76.1 ms | elapsed 11.11s
  Step 87/500 | 73.9 ms | elapsed 11.18s
  Step 88/500 | 74.7 ms | elapsed 11.26s
  Step 89/500 | 76.3 ms | elapsed 11.34s
  Step 90/500 | 113.2 ms | elapsed 11.45s
  Step 91/500 | 76.5 ms | elapsed 11.53s
  Step 92/500 | 76.8 ms | elapsed 11.60s
  Step 93/500 | 78.6 ms | elapsed 11.68s
  Step 94/500 | 75.4 ms | elapsed 11.76s
  Step 95/500 | 75.7 ms | elapsed 11.83s
  Step 96/500 | 76.8 ms | elapsed 11.91s
  Step 97/500 | 98.4 ms | elapsed 12.01s
  Step 98/500 | 105.2 ms | elapsed 12.11s
  Step 99/500 | 79.0 ms | elapsed 12.19s
  Step 100/500 | 76.7 ms | elapsed 12.27s
  Step 101/500 | 76.4 ms | elapsed 12.34s
  Step 102/500 | 75.5 ms | elapsed 12.42s
  Step 103/500 | 114.3 ms | elapsed 12.53s
  Step 104/500 | 85.6 ms | elapsed 12.62s
  Step 105/500 | 89.4 ms | elapsed 12.71s
  Step 106/500 | 93.1 ms | elapsed 12.80s
  Step 107/500 | 81.7 ms | elapsed 12.88s
  Step 108/500 | 81.6 ms | elapsed 12.97s
  Step 109/500 | 80.2 ms | elapsed 13.05s
