<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773377720.797321 4037018 service.cc:145] XLA service 0x3d8e2da0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773377720.797361 4037018 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773377720.849954 4037018 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: EDHParticleFlowFilter
Running EDHParticleFlowFilter...

  Step 1/500 | 3960.6 ms | elapsed 3.96s
  Step 2/500 | 164.1 ms | elapsed 4.12s
  Step 3/500 | 149.5 ms | elapsed 4.27s
  Step 4/500 | 116.0 ms | elapsed 4.39s
  Step 5/500 | 106.7 ms | elapsed 4.50s
  Step 6/500 | 108.3 ms | elapsed 4.61s
  Step 7/500 | 146.3 ms | elapsed 4.75s
  Step 8/500 | 129.2 ms | elapsed 4.88s
  Step 9/500 | 182.7 ms | elapsed 5.06s
  Step 10/500 | 149.7 ms | elapsed 5.21s
  Step 11/500 | 113.7 ms | elapsed 5.33s
  Step 12/500 | 106.7 ms | elapsed 5.43s
  Step 13/500 | 111.0 ms | elapsed 5.54s
  Step 14/500 | 109.4 ms | elapsed 5.65s
  Step 15/500 | 133.7 ms | elapsed 5.79s
  Step 16/500 | 154.5 ms | elapsed 5.94s
  Step 17/500 | 107.3 ms | elapsed 6.05s
  Step 18/500 | 165.3 ms | elapsed 6.21s
  Step 19/500 | 166.9 ms | elapsed 6.38s
  Step 20/500 | 113.5 ms | elapsed 6.50s
  Step 21/500 | 109.4 ms | elapsed 6.60s
  Step 22/500 | 123.0 ms | elapsed 6.73s
  Step 23/500 | 109.5 ms | elapsed 6.84s
  Step 24/500 | 108.9 ms | elapsed 6.95s
  Step 25/500 | 109.7 ms | elapsed 7.06s
  Step 26/500 | 102.0 ms | elapsed 7.16s
  Step 27/500 | 106.3 ms | elapsed 7.26s
  Step 28/500 | 116.2 ms | elapsed 7.38s
  Step 29/500 | 107.4 ms | elapsed 7.49s
  Step 30/500 | 103.4 ms | elapsed 7.59s
  Step 31/500 | 107.4 ms | elapsed 7.70s
  Step 32/500 | 124.8 ms | elapsed 7.82s
  Step 33/500 | 108.1 ms | elapsed 7.93s
  Step 34/500 | 110.1 ms | elapsed 8.04s
  Step 35/500 | 109.6 ms | elapsed 8.15s
  Step 36/500 | 103.0 ms | elapsed 8.25s
  Step 37/500 | 117.2 ms | elapsed 8.37s
  Step 38/500 | 157.7 ms | elapsed 8.53s
