<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773377720.588886 4037028 service.cc:145] XLA service 0x3a5cee70 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773377720.588918 4037028 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773377720.625695 4037028 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: EDHParticleFlowFilter
Running EDHParticleFlowFilter...
[2026-03-13 12:55:21,035][tensorflow][WARNING] - From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead

  Step 1/500 | 5335.4 ms | elapsed 5.34s
  Step 2/500 | 124.9 ms | elapsed 5.46s
  Step 3/500 | 129.1 ms | elapsed 5.59s
  Step 4/500 | 102.0 ms | elapsed 5.69s
  Step 5/500 | 106.7 ms | elapsed 5.80s
  Step 6/500 | 128.5 ms | elapsed 5.93s
  Step 7/500 | 101.3 ms | elapsed 6.03s
  Step 8/500 | 109.6 ms | elapsed 6.14s
  Step 9/500 | 148.1 ms | elapsed 6.29s
  Step 10/500 | 109.2 ms | elapsed 6.39s
  Step 11/500 | 104.0 ms | elapsed 6.50s
  Step 12/500 | 111.9 ms | elapsed 6.61s
  Step 13/500 | 105.5 ms | elapsed 6.72s
  Step 14/500 | 147.8 ms | elapsed 6.86s
  Step 15/500 | 105.4 ms | elapsed 6.97s
  Step 16/500 | 128.6 ms | elapsed 7.10s
  Step 17/500 | 113.5 ms | elapsed 7.21s
  Step 18/500 | 110.0 ms | elapsed 7.32s
  Step 19/500 | 171.9 ms | elapsed 7.49s
  Step 20/500 | 172.3 ms | elapsed 7.67s
  Step 21/500 | 173.6 ms | elapsed 7.84s
  Step 22/500 | 133.1 ms | elapsed 7.97s
  Step 23/500 | 127.1 ms | elapsed 8.10s
  Step 24/500 | 136.7 ms | elapsed 8.24s
  Step 25/500 | 107.6 ms | elapsed 8.34s
  Step 26/500 | 104.9 ms | elapsed 8.45s
  Step 27/500 | 111.2 ms | elapsed 8.56s
  Step 28/500 | 104.4 ms | elapsed 8.66s
  Step 29/500 | 120.7 ms | elapsed 8.78s
  Step 30/500 | 109.4 ms | elapsed 8.89s
  Step 31/500 | 109.7 ms | elapsed 9.00s
  Step 32/500 | 114.9 ms | elapsed 9.12s
  Step 33/500 | 108.3 ms | elapsed 9.23s
  Step 34/500 | 101.7 ms | elapsed 9.33s
  Step 35/500 | 108.1 ms | elapsed 9.44s
  Step 36/500 | 102.7 ms | elapsed 9.54s
  Step 37/500 | 112.9 ms | elapsed 9.65s
  Step 38/500 | 162.9 ms | elapsed 9.82s
  Step 39/500 | 124.7 ms | elapsed 9.94s
  Step 40/500 | 145.1 ms | elapsed 10.09s
  Step 41/500 | 112.8 ms | elapsed 10.20s
  Step 42/500 | 127.8 ms | elapsed 10.33s
  Step 43/500 | 111.3 ms | elapsed 10.44s
  Step 44/500 | 124.5 ms | elapsed 10.56s
  Step 45/500 | 111.0 ms | elapsed 10.67s
  Step 46/500 | 121.0 ms | elapsed 10.79s
  Step 47/500 | 125.7 ms | elapsed 10.92s
  Step 48/500 | 111.9 ms | elapsed 11.03s
  Step 49/500 | 110.2 ms | elapsed 11.14s
  Step 50/500 | 141.1 ms | elapsed 11.28s
  Step 51/500 | 112.0 ms | elapsed 11.39s
  Step 52/500 | 109.2 ms | elapsed 11.50s
  Step 53/500 | 144.7 ms | elapsed 11.65s
  Step 54/500 | 168.6 ms | elapsed 11.82s
  Step 55/500 | 114.8 ms | elapsed 11.93s
  Step 56/500 | 129.2 ms | elapsed 12.06s
  Step 57/500 | 144.7 ms | elapsed 12.21s
  Step 58/500 | 124.9 ms | elapsed 12.33s
  Step 59/500 | 108.5 ms | elapsed 12.44s
  Step 60/500 | 102.2 ms | elapsed 12.54s
  Step 61/500 | 107.9 ms | elapsed 12.65s
  Step 62/500 | 102.9 ms | elapsed 12.75s
  Step 63/500 | 110.9 ms | elapsed 12.86s
  Step 64/500 | 120.8 ms | elapsed 12.98s
  Step 65/500 | 110.1 ms | elapsed 13.09s
  Step 66/500 | 123.2 ms | elapsed 13.22s
  Step 67/500 | 115.5 ms | elapsed 13.33s
