<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773377720.450775 4037014 service.cc:145] XLA service 0x1934ba20 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773377720.450814 4037014 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773377720.487738 4037014 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: LocalExactDaumHuangFlow
Running LocalExactDaumHuangFlow...

  Step 1/500 | 3137.1 ms | elapsed 3.14s
  Step 2/500 | 121.7 ms | elapsed 3.26s
  Step 3/500 | 167.6 ms | elapsed 3.43s
  Step 4/500 | 181.7 ms | elapsed 3.61s
  Step 5/500 | 128.3 ms | elapsed 3.74s
  Step 6/500 | 143.6 ms | elapsed 3.88s
  Step 7/500 | 148.0 ms | elapsed 4.03s
  Step 8/500 | 130.5 ms | elapsed 4.16s
  Step 9/500 | 126.2 ms | elapsed 4.28s
  Step 10/500 | 131.5 ms | elapsed 4.42s
  Step 11/500 | 124.6 ms | elapsed 4.54s
  Step 12/500 | 136.5 ms | elapsed 4.68s
  Step 13/500 | 105.6 ms | elapsed 4.78s
  Step 14/500 | 106.1 ms | elapsed 4.89s
  Step 15/500 | 110.0 ms | elapsed 5.00s
  Step 16/500 | 140.4 ms | elapsed 5.14s
  Step 17/500 | 132.8 ms | elapsed 5.27s
  Step 18/500 | 132.8 ms | elapsed 5.40s
  Step 19/500 | 114.0 ms | elapsed 5.52s
  Step 20/500 | 110.2 ms | elapsed 5.63s
  Step 21/500 | 112.6 ms | elapsed 5.74s
  Step 22/500 | 120.7 ms | elapsed 5.86s
  Step 23/500 | 112.0 ms | elapsed 5.97s
  Step 24/500 | 116.2 ms | elapsed 6.09s
  Step 25/500 | 110.6 ms | elapsed 6.20s
  Step 26/500 | 116.2 ms | elapsed 6.32s
  Step 27/500 | 118.4 ms | elapsed 6.44s
  Step 28/500 | 108.4 ms | elapsed 6.54s
  Step 29/500 | 107.9 ms | elapsed 6.65s
  Step 30/500 | 112.7 ms | elapsed 6.76s
  Step 31/500 | 119.8 ms | elapsed 6.88s
  Step 32/500 | 108.4 ms | elapsed 6.99s
  Step 33/500 | 108.8 ms | elapsed 7.10s
  Step 34/500 | 109.8 ms | elapsed 7.21s
  Step 35/500 | 111.0 ms | elapsed 7.32s
  Step 36/500 | 133.9 ms | elapsed 7.46s
  Step 37/500 | 130.4 ms | elapsed 7.59s
  Step 38/500 | 167.2 ms | elapsed 7.75s
  Step 39/500 | 159.6 ms | elapsed 7.91s
  Step 40/500 | 134.5 ms | elapsed 8.05s
  Step 41/500 | 144.6 ms | elapsed 8.19s
  Step 42/500 | 141.9 ms | elapsed 8.33s
  Step 43/500 | 165.7 ms | elapsed 8.50s
  Step 44/500 | 112.7 ms | elapsed 8.61s
  Step 45/500 | 135.4 ms | elapsed 8.75s
  Step 46/500 | 151.3 ms | elapsed 8.90s
  Step 47/500 | 118.2 ms | elapsed 9.02s
