<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773377720.698220 4037024 service.cc:145] XLA service 0x103170e0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773377720.698260 4037024 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773377720.752645 4037024 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: LocalExactDaumHuangFlow
Running LocalExactDaumHuangFlow...
[2026-03-13 12:55:21,433][tensorflow][WARNING] - From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead

  Step 1/500 | 3647.9 ms | elapsed 3.65s
  Step 2/500 | 128.1 ms | elapsed 3.78s
  Step 3/500 | 143.2 ms | elapsed 3.92s
  Step 4/500 | 182.1 ms | elapsed 4.10s
  Step 5/500 | 151.6 ms | elapsed 4.25s
  Step 6/500 | 129.7 ms | elapsed 4.38s
  Step 7/500 | 110.2 ms | elapsed 4.49s
  Step 8/500 | 120.9 ms | elapsed 4.61s
  Step 9/500 | 109.9 ms | elapsed 4.72s
  Step 10/500 | 130.9 ms | elapsed 4.85s
  Step 11/500 | 204.9 ms | elapsed 5.06s
  Step 12/500 | 179.6 ms | elapsed 5.24s
  Step 13/500 | 135.6 ms | elapsed 5.37s
  Step 14/500 | 110.6 ms | elapsed 5.49s
  Step 15/500 | 107.3 ms | elapsed 5.59s
  Step 16/500 | 111.0 ms | elapsed 5.70s
  Step 17/500 | 124.5 ms | elapsed 5.83s
  Step 18/500 | 110.9 ms | elapsed 5.94s
  Step 19/500 | 114.6 ms | elapsed 6.05s
  Step 20/500 | 111.3 ms | elapsed 6.16s
  Step 21/500 | 152.4 ms | elapsed 6.32s
  Step 22/500 | 123.3 ms | elapsed 6.44s
  Step 23/500 | 133.3 ms | elapsed 6.57s
  Step 24/500 | 167.7 ms | elapsed 6.74s
  Step 25/500 | 112.9 ms | elapsed 6.85s
  Step 26/500 | 120.9 ms | elapsed 6.98s
  Step 27/500 | 111.8 ms | elapsed 7.09s
  Step 28/500 | 112.6 ms | elapsed 7.20s
  Step 29/500 | 110.4 ms | elapsed 7.31s
  Step 30/500 | 109.7 ms | elapsed 7.42s
  Step 31/500 | 142.3 ms | elapsed 7.56s
  Step 32/500 | 117.2 ms | elapsed 7.68s
  Step 33/500 | 109.1 ms | elapsed 7.79s
  Step 34/500 | 153.2 ms | elapsed 7.94s
  Step 35/500 | 108.9 ms | elapsed 8.05s
  Step 36/500 | 109.6 ms | elapsed 8.16s
  Step 37/500 | 112.6 ms | elapsed 8.27s
  Step 38/500 | 109.8 ms | elapsed 8.38s
  Step 39/500 | 109.0 ms | elapsed 8.49s
  Step 40/500 | 107.8 ms | elapsed 8.60s
  Step 41/500 | 112.0 ms | elapsed 8.71s
  Step 42/500 | 110.4 ms | elapsed 8.82s
  Step 43/500 | 111.5 ms | elapsed 8.93s
  Step 44/500 | 149.5 ms | elapsed 9.08s
  Step 45/500 | 121.5 ms | elapsed 9.20s
  Step 46/500 | 114.6 ms | elapsed 9.32s
  Step 47/500 | 113.5 ms | elapsed 9.43s
  Step 48/500 | 129.1 ms | elapsed 9.56s
  Step 49/500 | 134.7 ms | elapsed 9.70s
  Step 50/500 | 112.7 ms | elapsed 9.81s
  Step 51/500 | 148.1 ms | elapsed 9.96s
  Step 52/500 | 113.0 ms | elapsed 10.07s
  Step 53/500 | 133.8 ms | elapsed 10.20s
  Step 54/500 | 109.7 ms | elapsed 10.31s
  Step 55/500 | 108.4 ms | elapsed 10.42s
  Step 56/500 | 109.7 ms | elapsed 10.53s
  Step 57/500 | 110.6 ms | elapsed 10.64s
