<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773377720.632021 4037020 service.cc:145] XLA service 0x23665cf0 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773377720.632076 4037020 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773377720.670521 4037020 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: LEDHParticleFlowFilter
Running LEDHParticleFlowFilter...

  Step 1/500 | 3792.5 ms | elapsed 3.79s
  Step 2/500 | 185.6 ms | elapsed 3.98s
  Step 3/500 | 136.6 ms | elapsed 4.11s
  Step 4/500 | 161.3 ms | elapsed 4.28s
  Step 5/500 | 178.3 ms | elapsed 4.45s
  Step 6/500 | 172.1 ms | elapsed 4.63s
  Step 7/500 | 121.9 ms | elapsed 4.75s
  Step 8/500 | 137.5 ms | elapsed 4.89s
  Step 9/500 | 192.5 ms | elapsed 5.08s
  Step 10/500 | 149.0 ms | elapsed 5.23s
  Step 11/500 | 111.1 ms | elapsed 5.34s
  Step 12/500 | 130.9 ms | elapsed 5.47s
  Step 13/500 | 162.2 ms | elapsed 5.63s
  Step 14/500 | 149.4 ms | elapsed 5.78s
  Step 15/500 | 119.6 ms | elapsed 5.90s
  Step 16/500 | 121.0 ms | elapsed 6.02s
  Step 17/500 | 117.2 ms | elapsed 6.14s
  Step 18/500 | 114.0 ms | elapsed 6.25s
  Step 19/500 | 110.2 ms | elapsed 6.36s
  Step 20/500 | 141.6 ms | elapsed 6.50s
  Step 21/500 | 111.6 ms | elapsed 6.62s
  Step 22/500 | 114.0 ms | elapsed 6.73s
  Step 23/500 | 113.0 ms | elapsed 6.84s
  Step 24/500 | 113.3 ms | elapsed 6.96s
  Step 25/500 | 119.3 ms | elapsed 7.08s
  Step 26/500 | 136.3 ms | elapsed 7.21s
  Step 27/500 | 121.0 ms | elapsed 7.33s
  Step 28/500 | 111.8 ms | elapsed 7.44s
  Step 29/500 | 107.6 ms | elapsed 7.55s
  Step 30/500 | 111.3 ms | elapsed 7.66s
  Step 31/500 | 123.3 ms | elapsed 7.79s
  Step 32/500 | 165.7 ms | elapsed 7.95s
  Step 33/500 | 147.0 ms | elapsed 8.10s
  Step 34/500 | 125.6 ms | elapsed 8.23s
  Step 35/500 | 116.4 ms | elapsed 8.34s
  Step 36/500 | 115.0 ms | elapsed 8.46s
  Step 37/500 | 105.4 ms | elapsed 8.56s
  Step 38/500 | 109.0 ms | elapsed 8.67s
  Step 39/500 | 114.5 ms | elapsed 8.79s
  Step 40/500 | 136.5 ms | elapsed 8.92s
  Step 41/500 | 112.0 ms | elapsed 9.03s
  Step 42/500 | 104.2 ms | elapsed 9.14s
  Step 43/500 | 123.4 ms | elapsed 9.26s
  Step 44/500 | 113.6 ms | elapsed 9.38s
  Step 45/500 | 107.4 ms | elapsed 9.48s
  Step 46/500 | 137.3 ms | elapsed 9.62s
  Step 47/500 | 130.5 ms | elapsed 9.75s
  Step 48/500 | 136.4 ms | elapsed 9.89s
  Step 49/500 | 111.7 ms | elapsed 10.00s
  Step 50/500 | 106.9 ms | elapsed 10.11s
  Step 51/500 | 115.6 ms | elapsed 10.22s
  Step 52/500 | 137.4 ms | elapsed 10.36s
  Step 53/500 | 150.4 ms | elapsed 10.51s
  Step 54/500 | 114.8 ms | elapsed 10.62s
  Step 55/500 | 114.4 ms | elapsed 10.74s
  Step 56/500 | 111.0 ms | elapsed 10.85s
  Step 57/500 | 112.1 ms | elapsed 10.96s
  Step 58/500 | 109.6 ms | elapsed 11.07s
  Step 59/500 | 135.6 ms | elapsed 11.21s
  Step 60/500 | 126.2 ms | elapsed 11.33s
  Step 61/500 | 158.5 ms | elapsed 11.49s
  Step 62/500 | 110.4 ms | elapsed 11.60s
  Step 63/500 | 136.6 ms | elapsed 11.74s
  Step 64/500 | 165.0 ms | elapsed 11.90s
  Step 65/500 | 131.6 ms | elapsed 12.03s
  Step 66/500 | 120.1 ms | elapsed 12.15s
  Step 67/500 | 116.0 ms | elapsed 12.27s
  Step 68/500 | 133.9 ms | elapsed 12.40s
  Step 69/500 | 115.9 ms | elapsed 12.52s
  Step 70/500 | 114.1 ms | elapsed 12.63s
  Step 71/500 | 107.7 ms | elapsed 12.74s
  Step 72/500 | 114.3 ms | elapsed 12.86s
  Step 73/500 | 109.5 ms | elapsed 12.97s
  Step 74/500 | 132.0 ms | elapsed 13.10s
  Step 75/500 | 119.6 ms | elapsed 13.22s
  Step 76/500 | 128.9 ms | elapsed 13.35s
  Step 77/500 | 109.5 ms | elapsed 13.46s
