<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773377720.586039 4037016 service.cc:145] XLA service 0xefd5380 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773377720.586088 4037016 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773377720.641323 4037016 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: StochasticEDHFlow
Running StochasticEDHFlow...

  Step 1/500 | 1992.5 ms | elapsed 1.99s
  Step 2/500 | 70.2 ms | elapsed 2.06s
  Step 3/500 | 83.5 ms | elapsed 2.15s
  Step 4/500 | 109.5 ms | elapsed 2.26s
  Step 5/500 | 112.0 ms | elapsed 2.37s
  Step 6/500 | 111.6 ms | elapsed 2.48s
  Step 7/500 | 119.7 ms | elapsed 2.60s
  Step 8/500 | 123.4 ms | elapsed 2.72s
  Step 9/500 | 113.6 ms | elapsed 2.84s
  Step 10/500 | 110.1 ms | elapsed 2.95s
  Step 11/500 | 113.4 ms | elapsed 3.06s
  Step 12/500 | 116.4 ms | elapsed 3.18s
  Step 13/500 | 79.0 ms | elapsed 3.25s
  Step 14/500 | 77.6 ms | elapsed 3.33s
  Step 15/500 | 110.7 ms | elapsed 3.44s
  Step 16/500 | 109.8 ms | elapsed 3.55s
  Step 17/500 | 109.9 ms | elapsed 3.66s
  Step 18/500 | 114.6 ms | elapsed 3.78s
  Step 19/500 | 81.1 ms | elapsed 3.86s
  Step 20/500 | 72.1 ms | elapsed 3.93s
  Step 21/500 | 77.3 ms | elapsed 4.01s
  Step 22/500 | 74.3 ms | elapsed 4.08s
  Step 23/500 | 80.5 ms | elapsed 4.16s
  Step 24/500 | 86.1 ms | elapsed 4.25s
  Step 25/500 | 111.4 ms | elapsed 4.36s
  Step 26/500 | 108.8 ms | elapsed 4.47s
  Step 27/500 | 70.3 ms | elapsed 4.54s
  Step 28/500 | 69.2 ms | elapsed 4.61s
  Step 29/500 | 100.0 ms | elapsed 4.71s
  Step 30/500 | 90.1 ms | elapsed 4.80s
  Step 31/500 | 80.7 ms | elapsed 4.88s
  Step 32/500 | 81.6 ms | elapsed 4.96s
  Step 33/500 | 77.2 ms | elapsed 5.04s
  Step 34/500 | 83.0 ms | elapsed 5.12s
  Step 35/500 | 82.5 ms | elapsed 5.20s
  Step 36/500 | 74.1 ms | elapsed 5.28s
  Step 37/500 | 67.6 ms | elapsed 5.35s
  Step 38/500 | 67.4 ms | elapsed 5.41s
  Step 39/500 | 67.5 ms | elapsed 5.48s
  Step 40/500 | 68.9 ms | elapsed 5.55s
  Step 41/500 | 65.3 ms | elapsed 5.61s
  Step 42/500 | 64.6 ms | elapsed 5.68s
  Step 43/500 | 84.7 ms | elapsed 5.76s
  Step 44/500 | 73.4 ms | elapsed 5.84s
  Step 45/500 | 104.4 ms | elapsed 5.94s
  Step 46/500 | 102.6 ms | elapsed 6.04s
  Step 47/500 | 106.7 ms | elapsed 6.15s
  Step 48/500 | 98.5 ms | elapsed 6.25s
  Step 49/500 | 103.3 ms | elapsed 6.35s
  Step 50/500 | 102.2 ms | elapsed 6.45s
  Step 51/500 | 103.8 ms | elapsed 6.56s
  Step 52/500 | 103.2 ms | elapsed 6.66s
  Step 53/500 | 94.1 ms | elapsed 6.76s
  Step 54/500 | 100.4 ms | elapsed 6.86s
  Step 55/500 | 79.9 ms | elapsed 6.94s
  Step 56/500 | 85.4 ms | elapsed 7.02s
  Step 57/500 | 65.6 ms | elapsed 7.09s
  Step 58/500 | 65.0 ms | elapsed 7.15s
  Step 59/500 | 66.2 ms | elapsed 7.22s
  Step 60/500 | 66.5 ms | elapsed 7.29s
  Step 61/500 | 65.8 ms | elapsed 7.35s
  Step 62/500 | 65.3 ms | elapsed 7.42s
  Step 63/500 | 64.8 ms | elapsed 7.48s
  Step 64/500 | 79.6 ms | elapsed 7.56s
  Step 65/500 | 75.7 ms | elapsed 7.64s
  Step 66/500 | 67.8 ms | elapsed 7.70s
  Step 67/500 | 65.5 ms | elapsed 7.77s
  Step 68/500 | 65.0 ms | elapsed 7.83s
  Step 69/500 | 64.7 ms | elapsed 7.90s
  Step 70/500 | 67.6 ms | elapsed 7.97s
  Step 71/500 | 87.5 ms | elapsed 8.05s
  Step 72/500 | 66.3 ms | elapsed 8.12s
  Step 73/500 | 67.0 ms | elapsed 8.19s
  Step 74/500 | 66.5 ms | elapsed 8.25s
  Step 75/500 | 66.6 ms | elapsed 8.32s
  Step 76/500 | 68.0 ms | elapsed 8.39s
  Step 77/500 | 67.3 ms | elapsed 8.46s
  Step 78/500 | 68.4 ms | elapsed 8.52s
  Step 79/500 | 104.5 ms | elapsed 8.63s
  Step 80/500 | 91.2 ms | elapsed 8.72s
  Step 81/500 | 66.3 ms | elapsed 8.79s
  Step 82/500 | 66.2 ms | elapsed 8.85s
  Step 83/500 | 76.4 ms | elapsed 8.93s
  Step 84/500 | 66.3 ms | elapsed 9.00s
  Step 85/500 | 66.2 ms | elapsed 9.06s
  Step 86/500 | 66.6 ms | elapsed 9.13s
  Step 87/500 | 67.2 ms | elapsed 9.20s
  Step 88/500 | 64.7 ms | elapsed 9.26s
  Step 89/500 | 67.7 ms | elapsed 9.33s
  Step 90/500 | 67.5 ms | elapsed 9.40s
  Step 91/500 | 67.1 ms | elapsed 9.46s
  Step 92/500 | 66.3 ms | elapsed 9.53s
  Step 93/500 | 69.1 ms | elapsed 9.60s
  Step 94/500 | 69.7 ms | elapsed 9.67s
  Step 95/500 | 69.0 ms | elapsed 9.74s
  Step 96/500 | 88.5 ms | elapsed 9.82s
  Step 97/500 | 91.8 ms | elapsed 9.92s
  Step 98/500 | 103.3 ms | elapsed 10.02s
  Step 99/500 | 79.7 ms | elapsed 10.10s
  Step 100/500 | 66.2 ms | elapsed 10.17s
  Step 101/500 | 66.4 ms | elapsed 10.23s
  Step 102/500 | 66.2 ms | elapsed 10.30s
  Step 103/500 | 66.3 ms | elapsed 10.36s
  Step 104/500 | 66.6 ms | elapsed 10.43s
  Step 105/500 | 65.1 ms | elapsed 10.50s
  Step 106/500 | 67.1 ms | elapsed 10.56s
  Step 107/500 | 71.7 ms | elapsed 10.64s
  Step 108/500 | 69.6 ms | elapsed 10.70s
  Step 109/500 | 104.0 ms | elapsed 10.81s
  Step 110/500 | 71.6 ms | elapsed 10.88s
  Step 111/500 | 68.9 ms | elapsed 10.95s
  Step 112/500 | 77.9 ms | elapsed 11.03s
  Step 113/500 | 71.4 ms | elapsed 11.10s
  Step 114/500 | 84.7 ms | elapsed 11.18s
  Step 115/500 | 67.3 ms | elapsed 11.25s
  Step 116/500 | 80.3 ms | elapsed 11.33s
  Step 117/500 | 84.4 ms | elapsed 11.42s
  Step 118/500 | 68.0 ms | elapsed 11.48s
  Step 119/500 | 68.1 ms | elapsed 11.55s
  Step 120/500 | 68.7 ms | elapsed 11.62s
  Step 121/500 | 68.6 ms | elapsed 11.69s
  Step 122/500 | 67.3 ms | elapsed 11.76s
  Step 123/500 | 73.3 ms | elapsed 11.83s
  Step 124/500 | 82.7 ms | elapsed 11.91s
  Step 125/500 | 83.7 ms | elapsed 12.00s
  Step 126/500 | 77.9 ms | elapsed 12.07s
  Step 127/500 | 80.7 ms | elapsed 12.15s
  Step 128/500 | 70.7 ms | elapsed 12.23s
  Step 129/500 | 67.9 ms | elapsed 12.29s
  Step 130/500 | 68.6 ms | elapsed 12.36s
  Step 131/500 | 83.7 ms | elapsed 12.45s
  Step 132/500 | 68.8 ms | elapsed 12.51s
  Step 133/500 | 83.6 ms | elapsed 12.60s
  Step 134/500 | 67.4 ms | elapsed 12.67s
  Step 135/500 | 67.4 ms | elapsed 12.73s
  Step 136/500 | 67.6 ms | elapsed 12.80s
  Step 137/500 | 97.0 ms | elapsed 12.90s
  Step 138/500 | 66.1 ms | elapsed 12.96s
  Step 139/500 | 66.9 ms | elapsed 13.03s
  Step 140/500 | 79.1 ms | elapsed 13.11s
  Step 141/500 | 80.3 ms | elapsed 13.19s
  Step 142/500 | 83.9 ms | elapsed 13.27s
  Step 143/500 | 88.3 ms | elapsed 13.36s
  Step 144/500 | 70.3 ms | elapsed 13.43s
  Step 145/500 | 98.2 ms | elapsed 13.53s
  Step 146/500 | 103.0 ms | elapsed 13.63s
  Step 147/500 | 70.0 ms | elapsed 13.70s
  Step 148/500 | 86.1 ms | elapsed 13.79s
  Step 149/500 | 66.3 ms | elapsed 13.86s
  Step 150/500 | 68.0 ms | elapsed 13.92s
  Step 151/500 | 75.5 ms | elapsed 14.00s
  Step 152/500 | 77.2 ms | elapsed 14.08s
  Step 153/500 | 79.7 ms | elapsed 14.16s
  Step 154/500 | 70.8 ms | elapsed 14.23s
  Step 155/500 | 82.2 ms | elapsed 14.31s
  Step 156/500 | 66.7 ms | elapsed 14.38s
  Step 157/500 | 94.3 ms | elapsed 14.47s
  Step 158/500 | 66.3 ms | elapsed 14.54s
  Step 159/500 | 69.5 ms | elapsed 14.61s
  Step 160/500 | 74.7 ms | elapsed 14.68s
  Step 161/500 | 65.3 ms | elapsed 14.75s
  Step 162/500 | 66.6 ms | elapsed 14.81s
  Step 163/500 | 66.3 ms | elapsed 14.88s
  Step 164/500 | 66.1 ms | elapsed 14.95s
  Step 165/500 | 66.1 ms | elapsed 15.01s
  Step 166/500 | 66.2 ms | elapsed 15.08s
  Step 167/500 | 66.5 ms | elapsed 15.14s
  Step 168/500 | 66.2 ms | elapsed 15.21s
  Step 169/500 | 65.8 ms | elapsed 15.28s
  Step 170/500 | 84.3 ms | elapsed 15.36s
  Step 171/500 | 66.5 ms | elapsed 15.43s
  Step 172/500 | 68.2 ms | elapsed 15.49s
  Step 173/500 | 66.9 ms | elapsed 15.56s
  Step 174/500 | 67.1 ms | elapsed 15.63s
  Step 175/500 | 67.3 ms | elapsed 15.70s
  Step 176/500 | 67.8 ms | elapsed 15.76s
  Step 177/500 | 90.0 ms | elapsed 15.85s
  Step 178/500 | 82.1 ms | elapsed 15.94s
  Step 179/500 | 66.3 ms | elapsed 16.00s
  Step 180/500 | 103.3 ms | elapsed 16.11s
  Step 181/500 | 85.6 ms | elapsed 16.19s
  Step 182/500 | 90.5 ms | elapsed 16.28s
  Step 183/500 | 66.9 ms | elapsed 16.35s
  Step 184/500 | 68.6 ms | elapsed 16.42s
  Step 185/500 | 80.2 ms | elapsed 16.50s
  Step 186/500 | 79.0 ms | elapsed 16.58s
  Step 187/500 | 79.2 ms | elapsed 16.66s
  Step 188/500 | 65.0 ms | elapsed 16.72s
  Step 189/500 | 73.4 ms | elapsed 16.79s
  Step 190/500 | 80.1 ms | elapsed 16.87s
  Step 191/500 | 65.0 ms | elapsed 16.94s
  Step 192/500 | 65.6 ms | elapsed 17.00s
  Step 193/500 | 65.8 ms | elapsed 17.07s
  Step 194/500 | 76.7 ms | elapsed 17.15s
  Step 195/500 | 67.7 ms | elapsed 17.22s
  Step 196/500 | 68.5 ms | elapsed 17.28s
  Step 197/500 | 94.7 ms | elapsed 17.38s
  Step 198/500 | 67.0 ms | elapsed 17.45s
  Step 199/500 | 76.7 ms | elapsed 17.52s
  Step 200/500 | 79.7 ms | elapsed 17.60s
  Step 201/500 | 67.1 ms | elapsed 17.67s
  Step 202/500 | 66.9 ms | elapsed 17.74s
  Step 203/500 | 66.3 ms | elapsed 17.80s
  Step 204/500 | 69.4 ms | elapsed 17.87s
  Step 205/500 | 105.8 ms | elapsed 17.98s
  Step 206/500 | 74.2 ms | elapsed 18.05s
  Step 207/500 | 67.9 ms | elapsed 18.12s
  Step 208/500 | 81.4 ms | elapsed 18.20s
  Step 209/500 | 69.5 ms | elapsed 18.27s
  Step 210/500 | 68.1 ms | elapsed 18.34s
  Step 211/500 | 67.5 ms | elapsed 18.41s
  Step 212/500 | 67.3 ms | elapsed 18.47s
  Step 213/500 | 67.6 ms | elapsed 18.54s
  Step 214/500 | 66.6 ms | elapsed 18.61s
  Step 215/500 | 105.2 ms | elapsed 18.71s
  Step 216/500 | 93.3 ms | elapsed 18.81s
  Step 217/500 | 66.0 ms | elapsed 18.87s
  Step 218/500 | 99.2 ms | elapsed 18.97s
  Step 219/500 | 103.8 ms | elapsed 19.07s
  Step 220/500 | 96.7 ms | elapsed 19.17s
  Step 221/500 | 92.5 ms | elapsed 19.26s
  Step 222/500 | 81.2 ms | elapsed 19.35s
  Step 223/500 | 67.3 ms | elapsed 19.41s
  Step 224/500 | 65.5 ms | elapsed 19.48s
  Step 225/500 | 90.5 ms | elapsed 19.57s
  Step 226/500 | 66.8 ms | elapsed 19.64s
  Step 227/500 | 85.6 ms | elapsed 19.72s
  Step 228/500 | 87.3 ms | elapsed 19.81s
  Step 229/500 | 67.4 ms | elapsed 19.88s
  Step 230/500 | 68.9 ms | elapsed 19.94s
  Step 231/500 | 67.2 ms | elapsed 20.01s
  Step 232/500 | 67.6 ms | elapsed 20.08s
  Step 233/500 | 95.0 ms | elapsed 20.17s
  Step 234/500 | 65.4 ms | elapsed 20.24s
  Step 235/500 | 67.4 ms | elapsed 20.31s
  Step 236/500 | 69.0 ms | elapsed 20.38s
  Step 237/500 | 96.9 ms | elapsed 20.47s
  Step 238/500 | 69.4 ms | elapsed 20.54s
  Step 239/500 | 86.8 ms | elapsed 20.63s
  Step 240/500 | 73.0 ms | elapsed 20.70s
  Step 241/500 | 105.5 ms | elapsed 20.81s
  Step 242/500 | 85.4 ms | elapsed 20.89s
  Step 243/500 | 95.0 ms | elapsed 20.99s
  Step 244/500 | 67.7 ms | elapsed 21.06s
  Step 245/500 | 107.4 ms | elapsed 21.16s
  Step 246/500 | 72.9 ms | elapsed 21.24s
  Step 247/500 | 67.7 ms | elapsed 21.30s
  Step 248/500 | 67.8 ms | elapsed 21.37s
  Step 249/500 | 67.1 ms | elapsed 21.44s
  Step 250/500 | 69.0 ms | elapsed 21.51s
  Step 251/500 | 69.0 ms | elapsed 21.58s
  Step 252/500 | 70.1 ms | elapsed 21.65s
  Step 253/500 | 66.6 ms | elapsed 21.71s
  Step 254/500 | 81.0 ms | elapsed 21.79s
  Step 255/500 | 78.2 ms | elapsed 21.87s
  Step 256/500 | 105.1 ms | elapsed 21.98s
  Step 257/500 | 103.0 ms | elapsed 22.08s
  Step 258/500 | 83.3 ms | elapsed 22.16s
  Step 259/500 | 66.3 ms | elapsed 22.23s
  Step 260/500 | 65.8 ms | elapsed 22.30s
  Step 261/500 | 66.4 ms | elapsed 22.36s
