<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773377720.444444 4037026 service.cc:145] XLA service 0x10918450 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
I0000 00:00:1773377720.444478 4037026 service.cc:153]   StreamExecutor device (0): Host, Default Version
I0000 00:00:1773377720.481515 4037026 device_compiler.h:188] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
WARNING:tensorflow:From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: StochasticEDHFlow
Running StochasticEDHFlow...
[2026-03-13 12:55:20,902][tensorflow][WARNING] - From /home/haowu/JPML-jit/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead

  Step 1/500 | 2702.6 ms | elapsed 2.70s
  Step 2/500 | 114.9 ms | elapsed 2.82s
  Step 3/500 | 95.8 ms | elapsed 2.91s
  Step 4/500 | 106.2 ms | elapsed 3.02s
  Step 5/500 | 105.4 ms | elapsed 3.12s
  Step 6/500 | 89.5 ms | elapsed 3.21s
  Step 7/500 | 80.9 ms | elapsed 3.30s
  Step 8/500 | 110.9 ms | elapsed 3.41s
  Step 9/500 | 108.4 ms | elapsed 3.51s
  Step 10/500 | 103.5 ms | elapsed 3.62s
  Step 11/500 | 113.8 ms | elapsed 3.73s
  Step 12/500 | 112.9 ms | elapsed 3.84s
  Step 13/500 | 118.3 ms | elapsed 3.96s
  Step 14/500 | 120.0 ms | elapsed 4.08s
  Step 15/500 | 107.0 ms | elapsed 4.19s
  Step 16/500 | 119.5 ms | elapsed 4.31s
  Step 17/500 | 99.4 ms | elapsed 4.41s
  Step 18/500 | 71.7 ms | elapsed 4.48s
  Step 19/500 | 74.2 ms | elapsed 4.56s
  Step 20/500 | 68.2 ms | elapsed 4.62s
  Step 21/500 | 67.9 ms | elapsed 4.69s
  Step 22/500 | 67.3 ms | elapsed 4.76s
  Step 23/500 | 65.6 ms | elapsed 4.82s
  Step 24/500 | 67.0 ms | elapsed 4.89s
  Step 25/500 | 66.6 ms | elapsed 4.96s
  Step 26/500 | 68.8 ms | elapsed 5.03s
  Step 27/500 | 110.8 ms | elapsed 5.14s
  Step 28/500 | 82.6 ms | elapsed 5.22s
  Step 29/500 | 77.9 ms | elapsed 5.30s
  Step 30/500 | 78.7 ms | elapsed 5.38s
  Step 31/500 | 68.4 ms | elapsed 5.44s
  Step 32/500 | 66.9 ms | elapsed 5.51s
  Step 33/500 | 68.9 ms | elapsed 5.58s
  Step 34/500 | 87.7 ms | elapsed 5.67s
  Step 35/500 | 93.7 ms | elapsed 5.76s
  Step 36/500 | 101.5 ms | elapsed 5.86s
  Step 37/500 | 67.6 ms | elapsed 5.93s
  Step 38/500 | 67.0 ms | elapsed 6.00s
  Step 39/500 | 67.3 ms | elapsed 6.07s
  Step 40/500 | 74.7 ms | elapsed 6.14s
  Step 41/500 | 193.1 ms | elapsed 6.33s
  Step 42/500 | 67.3 ms | elapsed 6.40s
  Step 43/500 | 74.4 ms | elapsed 6.47s
  Step 44/500 | 66.7 ms | elapsed 6.54s
  Step 45/500 | 68.3 ms | elapsed 6.61s
  Step 46/500 | 81.9 ms | elapsed 6.69s
  Step 47/500 | 74.2 ms | elapsed 6.77s
  Step 48/500 | 68.4 ms | elapsed 6.83s
  Step 49/500 | 77.6 ms | elapsed 6.91s
  Step 50/500 | 69.8 ms | elapsed 6.98s
  Step 51/500 | 66.6 ms | elapsed 7.05s
  Step 52/500 | 67.9 ms | elapsed 7.12s
  Step 53/500 | 66.1 ms | elapsed 7.18s
  Step 54/500 | 70.5 ms | elapsed 7.25s
  Step 55/500 | 75.7 ms | elapsed 7.33s
  Step 56/500 | 67.2 ms | elapsed 7.40s
  Step 57/500 | 67.3 ms | elapsed 7.46s
  Step 58/500 | 104.6 ms | elapsed 7.57s
  Step 59/500 | 104.2 ms | elapsed 7.67s
