<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773233546.478651 3906440 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 20831 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
I0000 00:00:1773233546.510389 3906440 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x1fde5520
WARNING:tensorflow:From /home/haowu/JPML/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead
Creating model: src.models.stochastic_volatility_2d.StochasticVolatility2DModel
Generating 500 time steps...
Creating filter: UnscentedKalmanFilter
Initialized UnscentedKalmanFilter with sampled initial state from model distribution
Running UnscentedKalmanFilter...
[2026-03-11 20:52:30,856][tensorflow][WARNING] - From /home/haowu/JPML/code/.venv/lib/python3.12/site-packages/tensorflow/python/util/deprecation.py:660: calling map_fn_v2 (from tensorflow.python.ops.map_fn) with dtype is deprecated and will be removed in a future version.
Instructions for updating:
Use fn_output_signature instead

  Step 1/500 | 3005.6 ms | elapsed 3.01s
  Step 2/500 | 11.4 ms | elapsed 3.02s
  Step 3/500 | 15.7 ms | elapsed 3.03s
  Step 4/500 | 16.0 ms | elapsed 3.05s
  Step 5/500 | 15.0 ms | elapsed 3.06s
  Step 6/500 | 12.3 ms | elapsed 3.08s
  Step 7/500 | 11.6 ms | elapsed 3.09s
  Step 8/500 | 12.0 ms | elapsed 3.10s
  Step 9/500 | 10.6 ms | elapsed 3.11s
  Step 10/500 | 11.7 ms | elapsed 3.12s
  Step 11/500 | 12.3 ms | elapsed 3.13s
  Step 12/500 | 8.9 ms | elapsed 3.14s
  Step 13/500 | 9.9 ms | elapsed 3.15s
  Step 14/500 | 11.3 ms | elapsed 3.16s
  Step 15/500 | 13.0 ms | elapsed 3.18s
  Step 16/500 | 9.9 ms | elapsed 3.19s
  Step 17/500 | 11.2 ms | elapsed 3.20s
  Step 18/500 | 9.0 ms | elapsed 3.21s
  Step 19/500 | 9.6 ms | elapsed 3.22s
  Step 20/500 | 9.5 ms | elapsed 3.23s
  Step 21/500 | 9.3 ms | elapsed 3.24s
  Step 22/500 | 11.3 ms | elapsed 3.25s
  Step 23/500 | 15.0 ms | elapsed 3.26s
  Step 24/500 | 8.8 ms | elapsed 3.27s
  Step 25/500 | 10.2 ms | elapsed 3.28s
  Step 26/500 | 9.0 ms | elapsed 3.29s
  Step 27/500 | 7.6 ms | elapsed 3.30s
  Step 28/500 | 7.7 ms | elapsed 3.31s
  Step 29/500 | 8.3 ms | elapsed 3.31s
  Step 30/500 | 9.2 ms | elapsed 3.32s
  Step 31/500 | 9.0 ms | elapsed 3.33s
  Step 32/500 | 7.9 ms | elapsed 3.34s
  Step 33/500 | 7.5 ms | elapsed 3.35s
  Step 34/500 | 9.6 ms | elapsed 3.36s
  Step 35/500 | 9.0 ms | elapsed 3.37s
  Step 36/500 | 7.7 ms | elapsed 3.37s
  Step 37/500 | 7.8 ms | elapsed 3.38s
  Step 38/500 | 6.6 ms | elapsed 3.39s
  Step 39/500 | 6.0 ms | elapsed 3.39s
  Step 40/500 | 5.5 ms | elapsed 3.40s
  Step 41/500 | 5.5 ms | elapsed 3.41s
  Step 42/500 | 6.0 ms | elapsed 3.41s
  Step 43/500 | 6.0 ms | elapsed 3.42s
  Step 44/500 | 4.7 ms | elapsed 3.42s
  Step 45/500 | 5.9 ms | elapsed 3.43s
  Step 46/500 | 7.1 ms | elapsed 3.43s
  Step 47/500 | 6.3 ms | elapsed 3.44s
  Step 48/500 | 7.0 ms | elapsed 3.45s
  Step 49/500 | 7.2 ms | elapsed 3.46s
  Step 50/500 | 7.0 ms | elapsed 3.46s
  Step 51/500 | 6.9 ms | elapsed 3.47s
  Step 52/500 | 6.7 ms | elapsed 3.48s
  Step 53/500 | 5.7 ms | elapsed 3.48s
  Step 54/500 | 5.4 ms | elapsed 3.49s
  Step 55/500 | 7.5 ms | elapsed 3.49s
  Step 56/500 | 6.1 ms | elapsed 3.50s
  Step 57/500 | 6.4 ms | elapsed 3.51s
  Step 58/500 | 6.1 ms | elapsed 3.51s
  Step 59/500 | 8.8 ms | elapsed 3.52s
  Step 60/500 | 9.7 ms | elapsed 3.53s
  Step 61/500 | 10.8 ms | elapsed 3.54s
  Step 62/500 | 11.9 ms | elapsed 3.55s
  Step 63/500 | 15.2 ms | elapsed 3.57s
  Step 64/500 | 9.2 ms | elapsed 3.58s
  Step 65/500 | 7.7 ms | elapsed 3.59s
  Step 66/500 | 8.8 ms | elapsed 3.60s
  Step 67/500 | 8.3 ms | elapsed 3.60s
  Step 68/500 | 9.6 ms | elapsed 3.61s
  Step 69/500 | 8.2 ms | elapsed 3.62s
  Step 70/500 | 9.1 ms | elapsed 3.63s
  Step 71/500 | 9.0 ms | elapsed 3.64s
  Step 72/500 | 9.1 ms | elapsed 3.65s
  Step 73/500 | 9.7 ms | elapsed 3.66s
  Step 74/500 | 8.3 ms | elapsed 3.67s
  Step 75/500 | 8.4 ms | elapsed 3.68s
