=== Running 4 PGibbs experiments ===

========================================
[1/4] pgibbs/kitagawa_bpf_mh (1000 burn-in + 2000 samples)
========================================
Creating true model: src.models.kitagawa.KitagawaModel
Generating 100 time steps with true params: {'sigma_V': 3.162, 'sigma_W': 1.0}
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1771687487.280086 2118346 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22322 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Creating inference model
Trainable params: ['sigma_V', 'sigma_W']

Running PGIBBS inference...
PGibbs + MH: 1000 burn-in + 2000 sampling = 3000 total iterations
  MH: 1 steps/iter, proposal_std=0.1
Initializing trajectory...
  Initial trajectory shape: (101, 1)
I0000 00:00:1771687491.526043 2118346 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x19101550
  [burn-in 1/1000] 4.3s | theta_accept=100% | proposal_std=0.1000 | sigma_V=2.0326, sigma_W=1.9048 | ETA 13027s
  [burn-in 2/1000] 2.9s | theta_accept=50% | proposal_std=0.1000 | sigma_V=2.0326, sigma_W=1.9048 | ETA 10806s
  [burn-in 3/1000] 2.9s | theta_accept=33% | proposal_std=0.1000 | sigma_V=2.0326, sigma_W=1.9048 | ETA 10059s
  [burn-in 4/1000] 2.9s | theta_accept=25% | proposal_std=0.1000 | sigma_V=2.0326, sigma_W=1.9048 | ETA 9687s
  [burn-in 5/1000] 2.9s | theta_accept=20% | proposal_std=0.1000 | sigma_V=2.0326, sigma_W=1.9048 | ETA 9474s
  [burn-in 6/1000] 2.9s | theta_accept=17% | proposal_std=0.1000 | sigma_V=2.0326, sigma_W=1.9048 | ETA 9339s
  [burn-in 7/1000] 2.9s | theta_accept=14% | proposal_std=0.1000 | sigma_V=2.0326, sigma_W=1.9048 | ETA 9241s
  [burn-in 8/1000] 2.9s | theta_accept=25% | proposal_std=0.1000 | sigma_V=2.0786, sigma_W=1.9190 | ETA 9170s
  [burn-in 9/1000] 2.9s | theta_accept=22% | proposal_std=0.1000 | sigma_V=2.0786, sigma_W=1.9190 | ETA 9116s
  [burn-in 10/1000] 2.9s | theta_accept=30% | proposal_std=0.1000 | sigma_V=2.1680, sigma_W=1.9455 | ETA 9079s
  [burn-in 11/1000] 2.9s | theta_accept=36% | proposal_std=0.1000 | sigma_V=2.1360, sigma_W=2.0387 | ETA 8657s
