=== Running 6 BPF experiments (Cubic Sensor + Stochastic Volatility) ===

========================================
[1/6] hmc/cubic_sensor/bpf_sys
========================================
Creating true model: src.models.cubic_sensor.CubicSensorModel
Generating 50 time steps with true params: {'sigma_V': 1.0, 'sigma_W': 1.0}
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1771739646.544352 2186196 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22322 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Creating inference model
Trainable params: ['sigma_V', 'sigma_W']

Running HMC inference...
Using HMC sampler (num_leapfrog_steps=5)
Running HMC: 100 burn-in + 200 sampling = 300 total steps
  [grad check] lp=-160.7081, |grad|=9.49333477487508, grad=[-8.8520786  -3.42988478]
  [burn-in 1/100] 0.8s | accept=100% | step_size=0.0120 | sigma_V=4.9994, sigma_W=2.0023 | ETA 238s
  [burn-in 2/100] 0.8s | accept=50% | step_size=0.0088 | sigma_V=4.9994, sigma_W=2.0023 | ETA 236s
  [burn-in 3/100] 0.8s | accept=67% | step_size=0.0040 | sigma_V=5.0129, sigma_W=1.9806 | ETA 235s
  [burn-in 4/100] 0.8s | accept=75% | step_size=0.0049 | sigma_V=4.9833, sigma_W=1.9428 | ETA 235s
  [burn-in 5/100] 0.8s | accept=60% | step_size=0.0030 | sigma_V=4.9833, sigma_W=1.9428 | ETA 234s
  [burn-in 6/100] 0.8s | accept=67% | step_size=0.0039 | sigma_V=4.9903, sigma_W=1.9589 | ETA 233s
  [burn-in 7/100] 0.8s | accept=71% | step_size=0.0012 | sigma_V=5.0101, sigma_W=1.9591 | ETA 232s
  [burn-in 8/100] 0.8s | accept=75% | step_size=0.0013 | sigma_V=5.0081, sigma_W=1.9543 | ETA 232s
  [burn-in 9/100] 0.8s | accept=78% | step_size=0.0018 | sigma_V=4.9963, sigma_W=1.9468 | ETA 231s
  [burn-in 10/100] 0.8s | accept=70% | step_size=0.0007 | sigma_V=4.9963, sigma_W=1.9468 | ETA 230s
  [burn-in 11/100] 0.8s | accept=64% | step_size=0.0004 | sigma_V=4.9963, sigma_W=1.9468 | ETA 229s
  [burn-in 12/100] 0.8s | accept=67% | step_size=0.0001 | sigma_V=4.9932, sigma_W=1.9474 | ETA 228s
  [burn-in 13/100] 0.8s | accept=69% | step_size=0.0002 | sigma_V=4.9930, sigma_W=1.9480 | ETA 227s
  [burn-in 14/100] 0.8s | accept=71% | step_size=0.0003 | sigma_V=4.9921, sigma_W=1.9486 | ETA 227s
  [burn-in 15/100] 0.8s | accept=73% | step_size=0.0002 | sigma_V=4.9928, sigma_W=1.9503 | ETA 225s
  [burn-in 16/100] 0.8s | accept=75% | step_size=0.0003 | sigma_V=4.9926, sigma_W=1.9517 | ETA 224s
  [burn-in 17/100] 0.8s | accept=76% | step_size=0.0002 | sigma_V=4.9918, sigma_W=1.9504 | ETA 223s
